source,target
BTC,ETH
LTC,BTC
BTC,BNB
NEO,BTC
ETH,QTUM
EOS,ETH
SNT,ETH
BNT,ETH
BTC,BCC
BTC,GAS
ETH,BNB
BTC,USDT
USDT,ETH
OAX,ETH
DNT,ETH
ETH,MCO
BTC,MCO
BTC,WTC
WTC,ETH
BTC,LRC
LRC,ETH
BTC,QTUM
BTC,YOYO
BTC,OMG
ETH,OMG
BTC,ZRX
ZRX,ETH
STRAT,BTC
STRAT,ETH
BTC,KNC
KNC,ETH
FUN,BTC
FUN,ETH
BTC,SNM
SNM,ETH
NEO,ETH
BTC,IOTA
ETH,IOTA
LINK,BTC
LINK,ETH
XVG,BTC
XVG,ETH
MTL,BTC
MTL,ETH
EOS,BTC
BTC,SNT
ETH,ETC
BTC,ETC
DNT,BTC
ZEC,BTC
ZEC,ETH
BTC,BNT
BTC,AST
ETH,AST
DASH,BTC
DASH,ETH
OAX,BTC
BTC,BTG
ETH,BTG
BTC,REQ
ETH,REQ
VIB,BTC
VIB,ETH
TRX,BTC
TRX,ETH
BTC,POWR
ETH,POWR
ARK,BTC
ARK,ETH
ETH,YOYO
XRP,BTC
XRP,ETH
ENJ,BTC
ENJ,ETH
STORJ,BTC
STORJ,ETH
USDT,BNB
VEN,BNB
YOYO,BNB
BNB,POWR
VEN,BTC
VEN,ETH
BTC,KMD
ETH,KMD
NULS,BNB
RCN,BTC
RCN,ETH
RCN,BNB
NULS,BTC
NULS,ETH
RDN,BTC
RDN,ETH
RDN,BNB
BTC,XMR
ETH,XMR
BNB,DLT
WTC,BNB
BTC,DLT
ETH,DLT
AMB,BTC
AMB,ETH
AMB,BNB
ETH,BCC
USDT,BCC
BCC,BNB
BAT,BTC
BAT,ETH
BAT,BNB
BTC,BCPT
ETH,BCPT
BNB,BCPT
BTC,GXS
ETH,GXS
NEO,USDT
NEO,BNB
QSP,BTC
QSP,ETH
QSP,BNB
BTC,BTS
BTS,ETH
BTS,BNB
XZC,BTC
XZC,ETH
XZC,BNB
LSK,BTC
LSK,ETH
LSK,BNB
MANA,BTC
MANA,ETH
BNB,IOTA
BTC,ADX
ETH,ADX
ADX,BNB
BTC,ADA
ETH,ADA
CMT,BTC
CMT,ETH
CMT,BNB
BTC,XLM
XLM,ETH
XLM,BNB
BTC,CND
CND,ETH
CND,BNB
BTC,LEND
LEND,ETH
BTC,WABI
ETH,WABI
WABI,BNB
LTC,ETH
LTC,USDT
LTC,BNB
BTC,WAVES
ETH,WAVES
WAVES,BNB
BTC,GTO
ETH,GTO
BNB,GTO
BTC,ICX
ETH,ICX
ICX,BNB
BTC,OST
ETH,OST
BNB,OST
BTC,ELF
ETH,ELF
BTC,AION
ETH,AION
BNB,AION
NEBL,BTC
NEBL,BNB
BRD,BTC
BRD,ETH
BRD,BNB
BNB,MCO
NAV,BTC
NAV,ETH
NAV,BNB
BTC,TRIG
ETH,TRIG
BNB,TRIG
APPC,BTC
APPC,ETH
APPC,BNB
BTC,RLC
RLC,ETH
RLC,BNB
BTC,PIVX
BNB,PIVX
IOST,BTC
IOST,ETH
BTC,STEEM
ETH,STEEM
BNB,STEEM
BTC,NANO
ETH,NANO
BNB,NANO
BTC,VIA
VIA,ETH
VIA,BNB
BTC,BLZ
ETH,BLZ
BLZ,BNB
BTC,AE
ETH,AE
BNB,AE
RPX,BTC
RPX,ETH
RPX,BNB
BTC,NCASH
ETH,NCASH
NCASH,BNB
POA,BTC
POA,ETH
POA,BNB
BTC,ZIL
ETH,ZIL
ZIL,BNB
BTC,ONT
ETH,ONT
ONT,BNB
BTC,STORM
ETH,STORM
BNB,STORM
BNB,QTUM
USDT,QTUM
BTC,XEM
ETH,XEM
BNB,XEM
WAN,BTC
WAN,ETH
WAN,BNB
BTC,QLC
ETH,QLC
BTC,SYS
SYS,ETH
SYS,BNB
QLC,BNB
USDT,ADA
BNB,ADA
BTC,GNT
ETH,GNT
BNB,GNT
LOOM,BTC
LOOM,ETH
LOOM,BNB
XRP,USDT
BCN,BTC
BCN,ETH
BCN,BNB
BTC,REP
REP,BNB
TUSD,BTC
TUSD,BTC
TUSD,ETH
TUSD,ETH
TUSD,BNB
BTC,ZEN
ETH,ZEN
BNB,ZEN
BTC,SKY
SKY,ETH
SKY,BNB
EOS,USDT
EOS,BNB
BTC,CVC
ETH,CVC
CVC,BNB
BTC,THETA
THETA,ETH
THETA,BNB
XRP,BNB
TUSD,USDT
USDT,IOTA
USDT,XLM
IOTX,BTC
IOTX,ETH
QKC,BTC
QKC,ETH
BTC,AGI
ETH,AGI
BNB,AGI
BTC,NXS
ETH,NXS
NXS,BNB
ENJ,BNB
DATA,BTC
DATA,ETH
USDT,ONT
TRX,BNB
TRX,USDT
USDT,ETC
BNB,ETC
USDT,ICX
BTC,SC
ETH,SC
BTC,NPXS
NPXS,ETH
VEN,USDT
BTC,KEY
ETH,KEY
BTC,NAS
ETH,NAS
BNB,NAS
MFT,BTC
MFT,ETH
MFT,BNB
DENT,BTC
DENT,ETH
ARDR,BTC
ARDR,ETH
ARDR,BNB
NULS,USDT
BTC,HOT
HOT,ETH
VET,BTC
VET,ETH
VET,USDT
VET,BNB
BTC,DOCK
ETH,DOCK
BTC,POLY
BNB,POLY
BTC,PHX
ETH,PHX
BNB,PHX
BTC,HC
ETH,HC
BTC,PAX
PAX,BNB
USDT,PAX
ETH,PAX
RVN,BTC
DCR,BTC
DCR,BNB
BNB,USDC
BTC,MITH
BNB,MITH
BTC,BCHABC
BCHSV,BTC
USDT,BCHABC
BCHSV,USDT
PAX,BNB
BTC,PAX
ETH,PAX
XRP,PAX
EOS,PAX
XLM,PAX
REN,BTC
REN,BNB
TUSD,BNB
TUSD,XRP
TUSD,EOS
TUSD,XLM
BNB,USDC
BTC,USDC
ETH,USDC
XRP,USDC
EOS,USDC
XLM,USDC
USDT,USDC
TUSD,ADA
TUSD,TRX
TUSD,NEO
TRX,XRP
XRP,XZC
TUSD,PAX
TUSD,USDC
PAX,USDC
LINK,USDT
LINK,TUSD
LINK,PAX
LINK,USDC
USDT,WAVES
TUSD,WAVES
PAX,WAVES
WAVES,USDC
TUSD,BCHABC
PAX,BCHABC
BCHABC,USDC
TUSD,BCHSV
BCHSV,PAX
BCHSV,USDC
LTC,TUSD
LTC,PAX
LTC,USDC
TRX,PAX
TRX,USDC
BTT,BTC
BTT,BNB
BTT,USDT
BNB,USDS
BTC,USDS
USDT,USDS
PAX,USDS
TUSD,USDS
USDS,USDC
BTT,PAX
BTT,TUSD
BTT,USDC
ONG,BNB
BTC,ONG
USDT,ONG
HOT,BNB
HOT,USDT
USDT,ZIL
ZRX,BNB
USDT,ZRX
FET,BNB
FET,BTC
FET,USDT
BAT,USDT
XMR,BNB
USDT,XMR
ZEC,BNB
ZEC,USDT
ZEC,PAX
ZEC,TUSD
ZEC,USDC
IOST,USDT
CELR,BNB
BTC,CELR
USDT,CELR
PAX,ADA
USDC,ADA
NEO,PAX
NEO,USDC
DASH,BNB
DASH,USDT
USDT,NANO
BNB,OMG
USDT,OMG
USDT,THETA
ENJ,USDT
USDT,MITH
MATIC,BNB
BTC,MATIC
USDT,MATIC
ATOM,BNB
BTC,ATOM
USDT,ATOM
ATOM,USDC
ATOM,PAX
TUSD,ATOM
ETC,USDC
PAX,ETC
TUSD,ETC
BAT,USDC
BAT,PAX
BAT,TUSD
PHB,BNB
BTC,PHB
PHB,USDC
TUSD,PHB
PHB,PAX
TFUEL,BNB
BTC,TFUEL
USDT,TFUEL
TFUEL,USDC
TUSD,TFUEL
TFUEL,PAX
ONE,BNB
BTC,ONE
USDT,ONE
TUSD,ONE
ONE,PAX
ONE,USDC
FTM,BNB
BTC,FTM
USDT,FTM
TUSD,FTM
FTM,PAX
FTM,USDC
TUSD,BCPT
PAX,BCPT
USDC,BCPT
ALGO,BNB
BTC,ALGO
USDT,ALGO
TUSD,ALGO
ALGO,PAX
ALGO,USDC
USDT,GTO
PAX,GTO
TUSD,GTO
GTO,USDC
BNB,ERD
BTC,ERD
USDT,ERD
PAX,ERD
ERD,USDC
DOGE,BNB
BTC,DOGE
USDT,DOGE
DOGE,PAX
DOGE,USDC
DUSK,BNB
BTC,DUSK
USDT,DUSK
DUSK,USDC
DUSK,PAX
ANKR,BNB
ANKR,BTC
ANKR,USDT
ANKR,TUSD
ANKR,PAX
ANKR,USDC
ONT,PAX
ONT,USDC
WIN,BNB
BTC,WIN
WIN,USDT
WIN,USDC
COS,BNB
BTC,COS
USDT,COS
USDT,NPXS
NPXS,USDC
BNB,COCOS
BTC,COCOS
USDT,COCOS
MTL,USDT
TOMO,BNB
TOMO,BTC
TOMO,USDT
TOMO,USDC
BNB,PERL
BTC,PERL
PERL,USDC
USDT,PERL
DENT,USDT
MFT,USDT
USDT,KEY
USDT,STORM
USDT,DOCK
WAN,USDT
FUN,USDT
USDT,CVC
BTT,TRX
TRX,WIN
CHZ,BNB
CHZ,BTC
CHZ,USDT
BAND,BNB
BTC,BAND
USDT,BAND
BUSD,BNB
BTC,BUSD
USDT,BUSD
BEAM,BNB
BEAM,BTC
BEAM,USDT
BNB,XTZ
BTC,XTZ
USDT,XTZ
REN,USDT
RVN,USDT
USDT,HC
HBAR,BNB
BTC,HBAR
USDT,HBAR
NKN,BNB
NKN,BTC
NKN,USDT
XRP,BUSD
BUSD,ETH
BUSD,BCHABC
LTC,BUSD
LINK,BUSD
BUSD,ETC
STX,BNB
STX,BTC
STX,USDT
KAVA,BNB
KAVA,BTC
KAVA,USDT
BUSD,NGN
NGN,BNB
BTC,NGN
ARPA,BNB
ARPA,BTC
ARPA,USDT
TRX,BUSD
EOS,BUSD
IOTX,USDT
USDT,RLC
USDT,MCO
BUSD,XLM
BUSD,ADA
BNB,CTXC
BTC,CTXC
USDT,CTXC
BNB,BCH
BTC,BCH
USDT,BCH
BCH,USDC
TUSD,BCH
PAX,BCH
BUSD,BCH
RUB,BTC
RUB,ETH
RUB,XRP
RUB,BNB
TROY,BNB
TROY,BTC
TROY,USDT
RUB,BUSD
BUSD,QTUM
VET,BUSD
VITE,BNB
BTC,VITE
USDT,VITE
FTT,BNB
FTT,BTC
FTT,USDT
TRY,BTC
TRY,BNB
TRY,BUSD
TRY,ETH
TRY,XRP
TRY,USDT
RUB,USDT
BTC,EUR
