node,classification,pagerank,x_position,y_position,size
MANA,Crypto,0.001505568839990208,0.0,0.0,12.546347482275497
POLY,Crypto,0.0009273970751314504,1.0,0.0,10.0
STRAT,Crypto,0.0010812036735140733,2.0,0.0,11.45458244209678
BIFI,Crypto,0.0007695085284195178,3.0,0.0,1.0
GALA,Crypto,0.0019174084277331998,4.0,0.0,13.415060135179061
TVK,Crypto,0.0007739639988423718,5.0,0.0,1.0
TNSR,Crypto,0.0010458451909604771,6.0,0.0,11.350817682125117
REQ,Crypto,0.0009277705972253256,7.0,0.0,10.0
XMR,Crypto,0.0010812036735130804,8.0,0.0,11.4545824420939
XEC,Crypto,0.0007633991672727826,9.0,0.0,1.0
TRX,Crypto,0.0025044812674882926,10.0,0.0,14.450851382515534
GNT,Crypto,0.0007663330406608137,11.0,0.0,1.0
ANKR,Crypto,0.0014859222029017306,12.0,0.0,12.500937928626133
SUSD,Crypto,0.0007703302553396029,13.0,0.0,1.0
FUN,Crypto,0.0009237633316280204,14.0,0.0,10.0
EIGEN,Crypto,0.0009074822196738604,15.0,0.0,10.0
BNX,Crypto,0.001074720790271807,16.0,0.0,11.43573717964948
KSM,Crypto,0.0012158366358943694,17.0,0.0,11.829215733706306
MC,Crypto,0.0009273970751304577,18.0,0.0,10.0
DGB,Crypto,0.00077396399884204,19.0,0.0,1.0
CELR,Crypto,0.0010812036735130804,20.0,0.0,11.4545824420939
POND,Crypto,0.00077396399884204,21.0,0.0,1.0
ALPHA,Crypto,0.0009273970751304577,22.0,0.0,10.0
RAY,Crypto,0.001060467091136398,0.0,1.0,11.394021161415303
TWT,Crypto,0.0009212877139833896,1.0,1.0,10.0
PROM,Crypto,0.0009273970751304577,2.0,1.0,10.0
BETA,Crypto,0.0010812036735130804,3.0,1.0,11.4545824420939
SKL,Crypto,0.0009212877139833896,4.0,1.0,10.0
RARE,Crypto,0.0013492541602255204,5.0,1.0,12.172813968671688
RSR,Crypto,0.001074720790271807,6.0,1.0,11.43573717964948
PIVX,Crypto,0.0007699567332453977,7.0,1.0,1.0
STG,Crypto,0.00077396399884204,8.0,1.0,1.0
MIR,Crypto,0.00077396399884204,9.0,1.0,1.0
BEAM,Crypto,0.0007699567332453977,10.0,1.0,1.0
XVG,Crypto,0.0012118119381550312,11.0,1.0,11.81844909541256
JPY,AES,0.0018940430519875213,12.0,1.0,13.369478550546521
FTM,Crypto,0.0024693887065739923,13.0,1.0,14.394030242828457
1000SATS,Crypto,0.0008879566442488613,14.0,1.0,10.0
VAI,Crypto,0.00077396399884204,15.0,1.0,1.0
TLM,Crypto,0.001074720790271807,16.0,1.0,11.43573717964948
QUICK,Crypto,0.0010641147009194767,17.0,1.0,11.404733736938502
AMP,Crypto,0.001074720790271807,18.0,1.0,11.43573717964948
FET,Crypto,0.0014928890078010513,19.0,1.0,12.517088233446163
DREP,Crypto,0.0009273970751304577,20.0,1.0,10.0
AI,Crypto,0.001197632921751297,21.0,1.0,11.780317595987832
AMB,Crypto,0.0010812036735130804,22.0,1.0,11.4545824420939
AAVE,Crypto,0.0017961311969031959,0.0,2.0,13.174071687151404
UAH,EMDE,0.0013621027491950543,1.0,2.0,12.204626877235423
EUR,AES,0.010726294781257343,2.0,2.0,21.809869482090626
PUNDIX,Crypto,0.0007698820505137231,3.0,2.0,1.0
POA,Crypto,0.0007663330406608137,4.0,2.0,1.0
OCEAN,Crypto,0.001074720790271807,5.0,2.0,11.43573717964948
BURGER,Crypto,0.0009233151268021404,6.0,2.0,10.0
C98,Crypto,0.0010635674737982303,7.0,2.0,11.403128239636436
HIGH,Crypto,0.001074720790271807,8.0,2.0,11.43573717964948
FRONT,Crypto,0.0013501749094409717,9.0,2.0,12.17510076619304
BTG,Crypto,0.0009277705972246628,10.0,2.0,10.0
BTTC,Crypto,0.0009017621385583903,11.0,2.0,10.0
SNM,Crypto,0.0007703403062574561,12.0,2.0,1.0
PENDLE,Crypto,0.0011825628167488203,13.0,2.0,11.739441675132268
MLN,Crypto,0.0009273970751304577,14.0,2.0,10.0
ONT,Crypto,0.0015030111754946321,15.0,2.0,12.540459490018348
BKRW,Crypto,0.0022854855051220972,16.0,2.0,14.086634688199412
AUDIO,Crypto,0.0009212877139833896,17.0,2.0,10.0
JASMY,Crypto,0.0013646072478193086,18.0,2.0,12.210803488859906
MBOX,Crypto,0.001074720790271807,19.0,2.0,11.43573717964948
THETA,Crypto,0.001508242095394839,20.0,2.0,12.552494097224512
STORJ,Crypto,0.0010750943123660121,21.0,2.0,11.436825137853434
ASTR,Crypto,0.0009277705972246628,22.0,2.0,10.0
ARK,Crypto,0.0010750943123660121,0.0,3.0,11.436825137853434
KMD,Crypto,0.0009277705972246628,1.0,3.0,10.0
DCR,Crypto,0.0009273970751304577,2.0,3.0,10.0
BCHSV,Crypto,0.0010277250695862016,3.0,3.0,11.29668728155864
PIXEL,Crypto,0.0011992782672482184,4.0,3.0,11.784758562284225
CHR,Crypto,0.0010812036735130804,5.0,3.0,11.4545824420939
COCOS,Crypto,0.001074720790271807,6.0,3.0,11.43573717964948
GTC,Crypto,0.0009273970751304577,7.0,3.0,10.0
PERL,Crypto,0.0009083197045313384,8.0,3.0,10.0
CITY,Crypto,0.001074720790271807,9.0,3.0,11.43573717964948
ALT,Crypto,0.0011992782672482184,10.0,3.0,11.784758562284225
RON,EMDE,0.0009351775801188316,11.0,3.0,10.0
GAS,Crypto,0.00106492256155892,12.0,3.0,11.407102844981793
KDA,Crypto,0.00077396399884204,13.0,3.0,1.0
NEO,Crypto,0.0017779995861174121,14.0,3.0,13.137072175983539
NEXO,Crypto,0.00077396399884204,15.0,3.0,1.0
EOS,Crypto,0.0019104416228298189,16.0,3.0,13.401510045108532
NEBL,Crypto,0.0009273970751304577,17.0,3.0,10.0
TIA,Crypto,0.0011825628167488203,18.0,3.0,11.739441675132268
SCRT,Crypto,0.0009277705972246628,19.0,3.0,10.0
ONG,Crypto,0.0007699567332453977,20.0,3.0,1.0
MULTI,Crypto,0.00077396399884204,21.0,3.0,1.0
QKC,Crypto,0.0009277705972246628,22.0,3.0,10.0
SC,Crypto,0.0009277705972246628,0.0,4.0,10.0
ERD,Crypto,0.0012018808619706598,1.0,4.0,11.791774547671706
VET,Crypto,0.0015000097349271207,2.0,4.0,12.533540930610831
USDS,Crypto,0.001181158145874619,3.0,4.0,11.735613128398612
HC,Crypto,0.0007703302553396029,4.0,4.0,1.0
DOGS,Crypto,0.0011775601192050515,5.0,4.0,11.725791850063885
VGX,Crypto,0.0007703302553396029,6.0,4.0,1.0
ETC,Crypto,0.0021910163937996457,7.0,4.0,13.9219520766111
GHST,Crypto,0.0007698820505137231,8.0,4.0,1.0
MAGIC,Crypto,0.00106492256155892,9.0,4.0,11.407102844981793
ZIL,Crypto,0.001505478300484648,10.0,4.0,12.546139171123917
ARB,Crypto,0.001610720059129721,11.0,4.0,12.782581652806957
MTL,Crypto,0.0010750943123660121,12.0,4.0,11.436825137853434
PERP,Crypto,0.00077396399884204,13.0,4.0,1.0
ZRX,Crypto,0.0010812036735130804,14.0,4.0,11.4545824420939
BRL,EMDE,0.00833042438910713,15.0,4.0,20.290104306214168
DOGE,Crypto,0.002737672049946545,16.0,4.0,14.8149355939232
CATI,Crypto,0.001039197147919111,17.0,4.0,11.331034735781502
QI,Crypto,0.0009273970751304577,18.0,4.0,10.0
BTCST,Crypto,0.00077396399884204,19.0,4.0,1.0
NEAR,Crypto,0.0020674041223806322,20.0,4.0,13.698781519673194
GLMR,Crypto,0.0009273970751304577,21.0,4.0,10.0
CTK,Crypto,0.0009273970751304577,22.0,4.0,10.0
FIS,Crypto,0.0011983291653165015,0.0,5.0,11.782197353945909
NULS,Crypto,0.0010812036735130804,1.0,5.0,11.4545824420939
ICP,Crypto,0.0017848758515141793,2.0,5.0,13.151134891570898
FLOW,Crypto,0.0009273970751304577,3.0,5.0,10.0
AEVO,Crypto,0.0010609152959622779,4.0,5.0,11.395338871745603
QLC,Crypto,0.0007663330406608137,5.0,5.0,1.0
JUP,Crypto,0.0008879566442488613,6.0,5.0,10.0
UNFI,Crypto,0.00122852738865443,7.0,5.0,11.86300278385729
ZEC,Crypto,0.0014924050861423017,8.0,5.0,12.515968123208149
USDT,Crypto,0.08704969029969674,9.0,5.0,40.0
APE,Crypto,0.0017708130959765524,10.0,5.0,13.122334271979405
BRD,Crypto,0.0007663330406608137,11.0,5.0,1.0
GTO,Crypto,0.0014924050861423017,12.0,5.0,12.515968123208149
STRK,Crypto,0.001045845190959801,13.0,5.0,11.350817682123107
IDEX,Crypto,0.0009273970751304577,14.0,5.0,10.0
REN,Crypto,0.0009273970751304577,15.0,5.0,10.0
VIB,Crypto,0.0009277705972246628,16.0,5.0,10.0
LIT,Crypto,0.0009277705972246628,17.0,5.0,10.0
BLZ,Crypto,0.0012248385210886109,18.0,5.0,11.853207064827185
LRC,Crypto,0.00122852738865443,19.0,5.0,11.86300278385729
XEM,Crypto,0.0010812036735130804,20.0,5.0,11.4545824420939
PORTO,Crypto,0.0010573675731482685,21.0,5.0,11.384897973959035
RAD,Crypto,0.001074720790271807,22.0,5.0,11.43573717964948
OST,Crypto,0.0007663330406608137,0.0,6.0,1.0
VIA,Crypto,0.0007663330406608137,1.0,6.0,1.0
WING,Crypto,0.0010812036735130804,2.0,6.0,11.4545824420939
TKO,Crypto,0.0009148350515073793,3.0,6.0,10.0
ALCX,Crypto,0.00077396399884204,4.0,6.0,1.0
IQ,Crypto,0.0007695085284195178,5.0,6.0,1.0
XAI,Crypto,0.001197632921751297,6.0,6.0,11.780317595987832
W,Crypto,0.0009074822196738604,7.0,6.0,10.0
PYR,Crypto,0.00077396399884204,8.0,6.0,1.0
BAND,Crypto,0.001074720790271807,9.0,6.0,11.43573717964948
DEGO,Crypto,0.00077396399884204,10.0,6.0,1.0
OXT,Crypto,0.00077396399884204,11.0,6.0,1.0
FLM,Crypto,0.0009273970751304577,12.0,6.0,10.0
JTO,Crypto,0.0008879566442488613,13.0,6.0,10.0
NCASH,Crypto,0.0007663330406608137,14.0,6.0,1.0
ACA,Crypto,0.0009212877139833896,15.0,6.0,10.0
APT,Crypto,0.0016293423890601354,16.0,6.0,12.823284630811056
RCN,Crypto,0.0007663330406608137,17.0,6.0,1.0
NAV,Crypto,0.0007663330406608137,18.0,6.0,1.0
ATOM,Crypto,0.0021964849593575355,19.0,6.0,13.931619220034062
YFI,Crypto,0.0010634769342953362,20.0,6.0,11.402862552085574
