Month,ARS,BRL,MXN,NGN,PLN,RON,RUB,TRY,UAH,ZAR,AUD,CZK,EUR,GBP,JPY
2020-08,0.0,0.0,0.0,299198.3219261663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,0.0,0.0,0.0,7114097.719712677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,0.0,0.0,0.0,4911690.653923086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,0.0,0.0,0.0,11259801.262926849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,0.0,0.0,0.0,12687626.234301453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,0.0,0.0,0.0,74775149.36387227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,0.0,0.0,0.0,23152718.261106007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,0.0,0.0,0.0,7402092.879110652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,0.0,0.0,0.0,19131393.803667013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,0.0,0.0,0.0,37044547.698024444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,16673219.715346701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,0.0,0.0,0.0,6448908.614846078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,0.0,0.0,0.0,4662272.0913523985,0.0,0.0,0.0,0.0,0.0,0.0,635111994.6434504,0.0,0.0,0.0,0.0
2022-02,0.0,0.0,0.0,3261199.9383403384,0.0,0.0,0.0,0.0,0.0,0.0,998819222.7119821,0.0,0.0,0.0,0.0
2022-03,0.0,0.0,0.0,2464292.1587838475,0.0,0.0,0.0,0.0,0.0,0.0,1234428950.468434,0.0,0.0,0.0,0.0
2022-04,0.0,0.0,0.0,10792.978476131137,0.0,0.0,0.0,0.0,0.0,0.0,1064044579.5254428,0.0,0.0,0.0,0.0
2022-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1301046722.8920147,0.0,0.0,0.0,0.0
