timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-03-01,1.32900000,1.39200000,1.29500000,1.32800000,1228896.10000000,1646179199999,1640519.94050000,2290,617588.40000000,825042.22160000,0
2022-03-02,1.32300000,1.34300000,1.26800000,1.28800000,967858.10000000,1646265599999,1270612.58130000,1677,412452.30000000,541823.29470000,0
2022-03-03,1.28800000,1.29800000,1.21000000,1.23200000,1074136.60000000,1646351999999,1345110.63940000,1899,521401.60000000,653055.76670000,0
2022-03-04,1.23300000,1.23300000,1.12600000,1.14800000,1038408.10000000,1646438399999,1229997.48390000,1861,484963.50000000,575231.17850000,0
2022-03-05,1.15300000,1.19900000,1.11600000,1.17800000,983841.00000000,1646524799999,1139863.92380000,1425,472406.30000000,546526.02200000,0
2022-03-06,1.18000000,1.18700000,1.11300000,1.11500000,897444.70000000,1646611199999,1031876.95300000,1199,361203.10000000,414145.94090000,0
2022-03-07,1.11700000,1.15400000,1.06200000,1.08500000,1320303.50000000,1646697599999,1456286.99730000,1873,656768.60000000,725585.34220000,0
2022-03-08,1.08600000,1.12600000,1.07600000,1.10500000,1593385.10000000,1646783999999,1753059.98090000,1803,799345.40000000,880166.14720000,0
2022-03-09,1.10600000,1.17700000,1.10000000,1.16000000,1179642.00000000,1646870399999,1356558.79280000,1472,611566.40000000,702684.66380000,0
2022-03-10,1.16300000,1.17500000,1.07300000,1.09700000,1172009.60000000,1646956799999,1302616.01930000,1513,566315.70000000,631345.95530000,0
2022-03-11,1.09900000,1.12000000,1.07300000,1.08500000,750448.20000000,1647043199999,819541.46110000,1130,365304.40000000,399723.98070000,0
2022-03-12,1.08000000,1.22200000,1.08000000,1.08400000,1174471.00000000,1647129599999,1286760.98740000,1076,626074.00000000,688766.77010000,0
2022-03-13,1.08600000,1.12700000,1.07400000,1.08300000,830904.50000000,1647215999999,909751.16880000,1102,389637.00000000,427356.67870000,0
2022-03-14,1.08200000,1.12300000,1.06600000,1.11400000,811143.20000000,1647302399999,893506.03440000,1220,401158.90000000,442727.22920000,0
2022-03-15,1.11400000,1.13400000,1.09000000,1.11200000,916115.10000000,1647388799999,1015390.29000000,1220,454322.50000000,503589.21660000,0
2022-03-16,1.11200000,1.15500000,1.10300000,1.15200000,867677.10000000,1647475199999,976022.58630000,1473,427362.90000000,480657.02910000,0
2022-03-17,1.15100000,1.17300000,1.12500000,1.13500000,705288.80000000,1647561599999,812219.25670000,1167,349032.50000000,402090.17060000,0
2022-03-18,1.13600000,1.16000000,1.11500000,1.14900000,613141.90000000,1647647999999,695959.54050000,956,312370.10000000,355381.87880000,0
2022-03-19,1.15200000,1.23500000,1.15100000,1.22000000,726630.00000000,1647734399999,864283.80790000,1382,392119.00000000,466662.31970000,0
2022-03-20,1.21900000,1.23600000,1.16800000,1.18500000,962005.50000000,1647820799999,1157864.14820000,1279,434134.20000000,523650.66280000,0
2022-03-21,1.18900000,1.26800000,1.16800000,1.24300000,3176808.50000000,1647907199999,3910507.47450000,2248,1579814.20000000,1960212.57590000,0
2022-03-22,1.24100000,1.33000000,1.22900000,1.31000000,6046146.50000000,1647993599999,7733547.60090000,3036,3008729.30000000,3869460.53240000,0
2022-03-23,1.30900000,1.48200000,1.28100000,1.47900000,2167742.00000000,1648079999999,2995686.10370000,3874,1133381.50000000,1570793.02760000,0
2022-03-24,1.47600000,1.58500000,1.44300000,1.50700000,1719300.10000000,1648166399999,2600498.67930000,3751,871535.90000000,1317862.47940000,0
2022-03-25,1.50800000,1.55300000,1.43000000,1.46500000,1205949.40000000,1648252799999,1803626.11850000,2283,579874.70000000,868185.16600000,0
2022-03-26,1.46100000,1.54800000,1.44000000,1.54200000,819174.20000000,1648339199999,1232800.02610000,1621,421310.30000000,634879.64460000,0
2022-03-27,1.54000000,1.57900000,1.46900000,1.57600000,661205.70000000,1648425599999,1006744.70000000,1480,315056.80000000,481368.35370000,0
2022-03-28,1.57700000,1.66500000,1.54800000,1.56400000,1109422.40000000,1648511999999,1777156.72650000,2628,576114.40000000,924164.88710000,0
2022-03-29,1.56400000,1.66400000,1.55800000,1.58800000,622948.30000000,1648598399999,1003948.34190000,1717,288169.40000000,465080.26170000,0
2022-03-30,1.58600000,1.62300000,1.55000000,1.59400000,497889.20000000,1648684799999,788366.43940000,1184,238640.40000000,377987.87540000,0
2022-03-31,1.58900000,1.64100000,1.51700000,1.52700000,647340.70000000,1648771199999,1025475.03210000,1720,334450.60000000,531624.29540000,0
