timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-12-01,0.67900000,0.68300000,0.67680000,0.68030000,3829612.00000000,1669939199999,2603732.40290000,7224,2235969.00000000,1519912.65170000,0
2022-12-02,0.68020000,0.68180000,0.67350000,0.67830000,4922556.00000000,1670025599999,3341364.59730000,6108,2062595.00000000,1399096.44390000,0
2022-12-03,0.67830000,0.68360000,0.67580000,0.67840000,8090728.00000000,1670111999999,5492453.30060000,8198,3683152.00000000,2501132.93190000,0
2022-12-04,0.67840000,0.68290000,0.67760000,0.68060000,5003531.00000000,1670198399999,3397746.77540000,6958,2220564.00000000,1508711.23990000,0
2022-12-05,0.68060000,0.68500000,0.66930000,0.67140000,5643686.00000000,1670284799999,3833449.36240000,8927,3264976.00000000,2216807.69630000,0
2022-12-06,0.67120000,0.67490000,0.66880000,0.67090000,3814826.00000000,1670371199999,2564812.66880000,6612,1648136.00000000,1108364.97190000,0
2022-12-07,0.67080000,0.67420000,0.66710000,0.67310000,4247284.00000000,1670457599999,2850141.23900000,5756,2492077.00000000,1673037.22130000,0
2022-12-08,0.67300000,0.67800000,0.67030000,0.67780000,5079078.00000000,1670543999999,3422164.91550000,5828,2400458.00000000,1617169.99080000,0
2022-12-09,0.67770000,0.68090000,0.67570000,0.67870000,3376296.00000000,1670630399999,2290139.71030000,4895,1604506.00000000,1088062.48280000,0
2022-12-10,0.67870000,0.67950000,0.67810000,0.67840000,3269624.00000000,1670716799999,2218888.95480000,6311,1309702.00000000,889096.25460000,0
2022-12-11,0.67830000,0.67990000,0.67730000,0.67850000,2779217.00000000,1670803199999,1885357.12510000,6715,1106093.00000000,750716.63960000,0
2022-12-12,0.67840000,0.68020000,0.67470000,0.67780000,7394932.00000000,1670889599999,5009282.03670000,7446,4323515.00000000,2929003.16780000,0
2022-12-13,0.67780000,0.69700000,0.67470000,0.68720000,12928878.00000000,1670975999999,8823128.10990000,12849,6122531.00000000,4181065.08420000,0
2022-12-14,0.68720000,0.69200000,0.68230000,0.68780000,6150119.00000000,1671062399999,4217881.86460000,10267,3197865.00000000,2192624.25020000,0
2022-12-15,0.68750000,0.68810000,0.66960000,0.67240000,4837987.00000000,1671148799999,3281573.20250000,7272,2197937.00000000,1490485.67580000,0
2022-12-16,0.67250000,0.67650000,0.66730000,0.66820000,6848506.00000000,1671235199999,4589770.40160000,8316,3030043.00000000,2031118.72590000,0
2022-12-17,0.66840000,0.67150000,0.66770000,0.67130000,5305020.00000000,1671321599999,3553026.45630000,8194,2352365.00000000,1575759.28850000,0
2022-12-18,0.67130000,0.67180000,0.66930000,0.67000000,3645796.00000000,1671407999999,2443671.19800000,4545,2404843.00000000,1612086.05350000,0
2022-12-19,0.67000000,0.67310000,0.66950000,0.67050000,4361934.00000000,1671494399999,2927612.38260000,7206,2401385.00000000,1611703.08030000,0
2022-12-20,0.67050000,0.67440000,0.66330000,0.66910000,6830288.00000000,1671580799999,4564849.41330000,8963,3482758.00000000,2326980.27060000,0
2022-12-21,0.66910000,0.67280000,0.66620000,0.67150000,3986804.00000000,1671667199999,2667449.35540000,6556,1687679.00000000,1129515.32740000,0
2022-12-22,0.67150000,0.67870000,0.66550000,0.66810000,3595634.00000000,1671753599999,2416905.75660000,5785,1701343.00000000,1144482.37990000,0
2022-12-23,0.66810000,0.67380000,0.66700000,0.67120000,3710440.00000000,1671839999999,2487945.99820000,4910,1769957.00000000,1186678.34950000,0
2022-12-24,0.67120000,0.67160000,0.66980000,0.67010000,1690363.00000000,1671926399999,1133671.48000000,3113,382593.00000000,256700.00840000,0
2022-12-25,0.67010000,0.67030000,0.66880000,0.66930000,1611549.00000000,1672012799999,1079245.88150000,2563,259630.00000000,173891.34750000,0
2022-12-26,0.66930000,0.67570000,0.66840000,0.67480000,2032053.00000000,1672099199999,1362380.67610000,3607,826993.00000000,555015.47650000,0
2022-12-27,0.67480000,0.67700000,0.67190000,0.67220000,2110177.00000000,1672185599999,1422934.82320000,3154,837165.00000000,564341.64550000,0
2022-12-28,0.67230000,0.67850000,0.67140000,0.67320000,3441718.00000000,1672271999999,2321887.46610000,4458,860415.00000000,580512.76390000,0
2022-12-29,0.67320000,0.67770000,0.67000000,0.67570000,2579062.00000000,1672358399999,1739020.72030000,3795,936612.00000000,631640.72990000,0
2022-12-30,0.67570000,0.68120000,0.67480000,0.68070000,2537318.00000000,1672444799999,1720043.37830000,4963,1403622.00000000,951561.44010000,0
2022-12-31,0.68060000,0.68110000,0.67900000,0.67940000,1662294.00000000,1672531199999,1130343.91230000,2371,432111.00000000,293899.48900000,0
