timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-07-01,0.09564000,0.09887000,0.09404000,0.09733000,1524794.00000000,1656719999999,147404.39372000,310,789475.00000000,76269.22018000,0
2022-07-02,0.09773000,0.09969000,0.09602000,0.09743000,981488.00000000,1656806399999,95980.65224000,234,674689.00000000,66082.68825000,0
2022-07-03,0.09759000,0.09886000,0.09500000,0.09850000,478092.00000000,1656892799999,46447.99471000,143,277663.00000000,27017.13221000,0
2022-07-04,0.09852000,0.10128000,0.09600000,0.10128000,988787.00000000,1656979199999,97889.59276000,225,735760.00000000,72899.69410000,0
2022-07-05,0.10100000,0.10169000,0.09624000,0.09853000,1105731.00000000,1657065599999,109560.04905000,287,498466.00000000,49634.01931000,0
2022-07-06,0.09876000,0.10155000,0.09705000,0.10071000,1233713.00000000,1657151999999,122513.56752000,295,760628.00000000,75563.11132000,0
2022-07-07,0.10072000,0.10425000,0.09970000,0.10291000,1433998.00000000,1657238399999,146571.00020000,271,875969.00000000,89725.00911000,0
2022-07-08,0.10291000,0.10729000,0.10000000,0.10076000,1910083.00000000,1657324799999,197241.88881000,354,1286494.00000000,133285.90575000,0
2022-07-09,0.10100000,0.10216000,0.10034000,0.10164000,416009.00000000,1657411199999,42137.81460000,111,283290.00000000,28714.77782000,0
2022-07-10,0.10107000,0.10107000,0.09700000,0.09798000,742958.00000000,1657497599999,73368.27855000,168,239372.00000000,23675.77758000,0
2022-07-11,0.09696000,0.09726000,0.09069000,0.09167000,840637.00000000,1657583999999,79873.21136000,207,385460.00000000,36698.15094000,0
2022-07-12,0.09136000,0.09373000,0.08648000,0.08934000,1693235.00000000,1657670399999,154702.28462000,222,364023.00000000,33537.61878000,0
2022-07-13,0.08773000,0.09205000,0.08565000,0.09205000,1565985.00000000,1657756799999,138616.60434000,274,717906.00000000,63363.45535000,0
2022-07-14,0.09187000,0.09267000,0.08845000,0.09239000,834428.00000000,1657843199999,75408.90904000,184,430879.00000000,38999.45503000,0
2022-07-15,0.09249000,0.09534000,0.09142000,0.09252000,1437181.00000000,1657929599999,134160.44887000,262,634391.00000000,59394.93095000,0
2022-07-16,0.09252000,0.09538000,0.09104000,0.09505000,334408.00000000,1658015999999,30998.65585000,129,205118.00000000,18976.46415000,0
2022-07-17,0.09515000,0.09646000,0.09241000,0.09241000,298415.00000000,1658102399999,28251.38746000,136,146540.00000000,13876.69493000,0
2022-07-18,0.09282000,0.10081000,0.09280000,0.09991000,1060896.00000000,1658188799999,103902.23063000,325,566500.00000000,55578.75631000,0
2022-07-19,0.09848000,0.10189000,0.09556000,0.10033000,2307155.00000000,1658275199999,226787.62648000,477,1038097.00000000,102530.44894000,0
2022-07-20,0.09981000,0.11157000,0.09799000,0.10169000,4950300.00000000,1658361599999,521701.13097000,1014,2432442.00000000,257311.82165000,0
2022-07-21,0.10142000,0.10315000,0.09716000,0.10125000,1482813.00000000,1658447999999,148414.96644000,235,396809.00000000,39800.49336000,0
2022-07-22,0.10137000,0.10305000,0.09680000,0.09774000,704507.00000000,1658534399999,70790.63880000,220,328079.00000000,33030.60627000,0
2022-07-23,0.09700000,0.10038000,0.09539000,0.09853000,799193.00000000,1658620799999,78063.17308000,243,280926.00000000,27513.96416000,0
2022-07-24,0.09840000,0.09968000,0.09766000,0.09801000,553167.00000000,1658707199999,54659.17254000,191,233037.00000000,23020.06305000,0
2022-07-25,0.09808000,0.09808000,0.09000000,0.09008000,1384866.00000000,1658793599999,129442.78369000,320,365170.00000000,34151.94147000,0
2022-07-26,0.08932000,0.09001000,0.08700000,0.09001000,1047585.00000000,1658879999999,92812.99073000,256,401840.00000000,35706.85952000,0
2022-07-27,0.09027000,0.09549000,0.08970000,0.09549000,986271.00000000,1658966399999,92087.77634000,227,702378.00000000,65673.29847000,0
2022-07-28,0.09518000,0.10129000,0.09364000,0.09883000,1293851.00000000,1659052799999,125411.77700000,339,727717.00000000,70966.38025000,0
2022-07-29,0.09930000,0.10310000,0.09672000,0.09864000,1484835.00000000,1659139199999,147769.34193000,404,623097.00000000,62357.51673000,0
2022-07-30,0.09925000,0.10677000,0.09757000,0.09968000,2180429.00000000,1659225599999,224916.90108000,495,1057766.00000000,109040.49157000,0
2022-07-31,0.09996000,0.10310000,0.09733000,0.09849000,975789.00000000,1659311999999,97979.88318000,242,475285.00000000,47775.98039000,0
