timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-08-01,12.37000000,12.81000000,11.46000000,11.60000000,5031.80000000,1659398399999,60940.57230000,215,1694.60000000,20666.98160000,0
2022-08-02,11.60000000,11.77000000,10.97000000,11.50000000,8390.81000000,1659484799999,95616.69340000,348,4553.28000000,52240.16370000,0
2022-08-03,11.45000000,12.10000000,11.19000000,11.53000000,5467.83000000,1659571199999,64119.51980000,241,3199.67000000,37673.55170000,0
2022-08-04,11.52000000,11.85000000,11.38000000,11.64000000,5002.80000000,1659657599999,58198.20520000,212,1883.60000000,21978.95960000,0
2022-08-05,11.69000000,12.75000000,11.69000000,12.73000000,5612.44000000,1659743999999,68816.38000000,240,3068.54000000,37675.43460000,0
2022-08-06,12.62000000,12.85000000,12.32000000,12.36000000,3376.83000000,1659830399999,42419.18600000,164,1353.29000000,17049.43210000,0
2022-08-07,12.32000000,12.89000000,12.10000000,12.55000000,4138.44000000,1659916799999,51266.26070000,222,2168.52000000,27014.52350000,0
2022-08-08,12.54000000,13.46000000,12.54000000,13.26000000,8245.54000000,1660003199999,108518.43800000,282,3693.57000000,48409.86260000,0
2022-08-09,13.24000000,13.55000000,12.44000000,12.79000000,7355.61000000,1660089599999,95344.76790000,248,2158.26000000,28166.65440000,0
2022-08-10,12.84000000,13.60000000,12.30000000,13.40000000,11431.37000000,1660175999999,148616.00330000,348,5369.50000000,69859.52950000,0
2022-08-11,13.45000000,13.62000000,12.87000000,12.97000000,6807.98000000,1660262399999,90187.30890000,253,3209.57000000,42645.74000000,0
2022-08-12,12.98000000,13.34000000,12.77000000,13.31000000,5444.17000000,1660348799999,71043.87640000,166,2903.84000000,37886.98430000,0
2022-08-13,13.30000000,13.57000000,13.03000000,13.06000000,4254.11000000,1660435199999,56694.87570000,168,1641.26000000,21885.31430000,0
2022-08-14,13.08000000,13.42000000,12.49000000,12.62000000,6463.66000000,1660521599999,84052.12260000,232,3068.07000000,40017.07660000,0
2022-08-15,12.60000000,13.22000000,12.35000000,12.54000000,5591.69000000,1660607999999,70628.50410000,267,2774.24000000,35071.81420000,0
2022-08-16,12.57000000,12.78000000,12.30000000,12.60000000,5302.05000000,1660694399999,66537.53780000,169,2335.05000000,29372.81500000,0
2022-08-17,12.63000000,13.09000000,12.04000000,12.05000000,9851.27000000,1660780799999,123964.09080000,280,3241.75000000,40764.05620000,0
2022-08-18,12.11000000,12.31000000,11.65000000,11.71000000,10690.43000000,1660867199999,129203.55880000,245,5113.73000000,61716.13830000,0
2022-08-19,11.71000000,11.71000000,10.54000000,10.65000000,13628.40000000,1660953599999,149662.42030000,493,5254.08000000,57947.20680000,0
2022-08-20,10.67000000,10.94000000,10.24000000,10.50000000,7736.51000000,1661039999999,82329.19610000,224,2887.33000000,31088.48310000,0
2022-08-21,10.56000000,11.00000000,10.45000000,10.81000000,6106.30000000,1661126399999,65607.28220000,178,3302.51000000,35599.82600000,0
2022-08-22,10.79000000,10.79000000,10.19000000,10.63000000,5196.07000000,1661212799999,54779.54110000,145,2668.67000000,28263.76380000,0
2022-08-23,10.75000000,11.13000000,10.48000000,11.03000000,4463.05000000,1661299199999,48785.42460000,130,2396.29000000,26271.93380000,0
2022-08-24,11.04000000,11.20000000,10.77000000,10.96000000,3321.18000000,1661385599999,36551.44610000,135,1910.63000000,21053.33140000,0
2022-08-25,11.00000000,11.13000000,10.74000000,10.96000000,3420.72000000,1661471999999,37600.45890000,151,1764.60000000,19430.91860000,0
2022-08-26,10.77000000,11.01000000,10.00000000,10.07000000,7450.55000000,1661558399999,78481.39890000,293,3499.89000000,37100.45110000,0
2022-08-27,10.06000000,10.30000000,9.92000000,10.30000000,5760.24000000,1661644799999,58444.38890000,229,2897.32000000,29418.96150000,0
2022-08-28,10.24000000,10.94000000,9.97000000,10.01000000,2493.40000000,1661731199999,25580.12900000,121,1266.51000000,13084.63630000,0
2022-08-29,10.00000000,10.57000000,9.93000000,10.57000000,5597.61000000,1661817599999,57149.59490000,163,3135.34000000,32279.38870000,0
2022-08-30,10.51000000,10.70000000,10.13000000,10.30000000,4186.54000000,1661903999999,43768.69420000,133,1983.65000000,20915.81470000,0
2022-08-31,10.26000000,10.58000000,10.23000000,10.37000000,5120.35000000,1661990399999,53563.22980000,137,2458.16000000,25697.03330000,0
