timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-02-01,0.78480000,0.81780000,0.73120000,0.81000000,246019.60000000,1675295999999,189099.85592000,1738,156918.30000000,120993.27523000,0
2023-02-02,0.81090000,0.83180000,0.77000000,0.78280000,139472.30000000,1675382399999,113555.61639000,806,72911.00000000,59402.11458000,0
2023-02-03,0.78610000,0.81910000,0.76550000,0.80750000,95511.50000000,1675468799999,74811.85407000,636,59608.80000000,46650.57660000,0
2023-02-04,0.80710000,0.82760000,0.79100000,0.80710000,69550.90000000,1675555199999,56326.50713000,384,31780.50000000,25693.11144000,0
2023-02-05,0.80850000,0.82470000,0.70020000,0.74880000,115279.90000000,1675641599999,87820.15027000,630,40225.60000000,30794.04635000,0
2023-02-06,0.75070000,0.76710000,0.72410000,0.73390000,168703.20000000,1675727999999,126481.18459000,879,99563.30000000,75077.00765000,0
2023-02-07,0.73410000,0.78090000,0.73000000,0.77810000,220650.30000000,1675814399999,165943.94542000,1172,138814.30000000,105077.17690000,0
2023-02-08,0.77980000,0.80150000,0.72390000,0.74160000,285940.10000000,1675900799999,219436.68703000,2070,181061.00000000,139196.80067000,0
2023-02-09,0.74340000,0.75130000,0.60510000,0.61930000,356530.00000000,1675987199999,246521.70983000,2587,183414.00000000,126021.08980000,0
2023-02-10,0.61950000,0.63720000,0.60020000,0.62640000,185099.20000000,1676073599999,114207.99243000,1161,96641.80000000,59755.70894000,0
2023-02-11,0.62640000,0.63520000,0.60040000,0.63340000,108606.60000000,1676159999999,67926.95144000,440,36930.80000000,23120.28614000,0
2023-02-12,0.63300000,0.65030000,0.59900000,0.60990000,122644.20000000,1676246399999,77354.62696000,378,58721.40000000,37133.55040000,0
2023-02-13,0.61440000,0.61500000,0.56040000,0.57380000,157382.40000000,1676332799999,92235.76986000,317,90590.70000000,53284.61081000,0
2023-02-14,0.58220000,0.61940000,0.56680000,0.61710000,38936.00000000,1676419199999,22759.83442000,221,15082.60000000,8914.46110000,0
2023-02-15,0.61750000,0.70260000,0.60620000,0.69210000,211044.70000000,1676505599999,140307.98707000,498,136185.70000000,89547.38259000,0
2023-02-16,0.69120000,0.72120000,0.62640000,0.62640000,162086.40000000,1676591999999,112490.31576000,694,68917.80000000,47683.39533000,0
2023-02-17,0.62500000,0.68250000,0.62500000,0.66810000,117457.80000000,1676678399999,76331.49834000,370,76547.00000000,49637.90384000,0
2023-02-18,0.66670000,0.68200000,0.65650000,0.66790000,36367.80000000,1676764799999,24273.59719000,223,15663.40000000,10511.94014000,0
2023-02-19,0.66580000,0.69850000,0.63050000,0.64130000,139782.90000000,1676851199999,92038.83397000,616,48945.20000000,32519.16940000,0
2023-02-20,0.64250000,0.68240000,0.61160000,0.65560000,225838.10000000,1676937599999,146707.64841000,1026,144721.50000000,94124.79717000,0
2023-02-21,0.66230000,0.67840000,0.62390000,0.64000000,303611.30000000,1677023999999,195133.70395000,1586,191813.00000000,123734.67863000,0
2023-02-22,0.64140000,0.65520000,0.60170000,0.62880000,280306.80000000,1677110399999,176644.02529000,1034,175659.00000000,110602.63900000,0
2023-02-23,0.62870000,0.64390000,0.60610000,0.61550000,117569.20000000,1677196799999,73517.16502000,585,48827.70000000,30584.97247000,0
2023-02-24,0.61490000,0.62940000,0.55080000,0.56950000,677764.90000000,1677283199999,412521.87748000,1593,90558.30000000,54942.34372000,0
2023-02-25,0.57070000,0.57330000,0.52480000,0.55510000,44752.80000000,1677369599999,24784.27307000,344,20465.70000000,11370.07474000,0
2023-02-26,0.55330000,0.57060000,0.54610000,0.56020000,72868.70000000,1677455999999,40491.63522000,231,50562.90000000,28108.81919000,0
2023-02-27,0.56120000,0.59240000,0.55510000,0.57460000,124983.40000000,1677542399999,71791.83520000,673,79774.30000000,45757.21313000,0
2023-02-28,0.57570000,0.57570000,0.54010000,0.54340000,64272.50000000,1677628799999,35894.28836000,346,25636.20000000,14446.38732000,0
