timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-01,1.24360000,1.24920000,1.15990000,1.23090000,33277.00000000,1635811199999,40150.04080000,156,15054.00000000,18259.11950000,0
2021-11-02,1.21000000,1.27960000,1.18590000,1.25060000,44555.00000000,1635897599999,55137.57990000,220,21000.00000000,26139.98670000,0
2021-11-03,1.24590000,1.26700000,1.18020000,1.22180000,294579.00000000,1635983999999,362185.57980000,414,120110.00000000,149474.07720000,0
2021-11-04,1.22170000,1.31870000,1.21790000,1.28270000,306388.00000000,1636070399999,386001.46280000,830,142359.00000000,180465.64260000,0
2021-11-05,1.27710000,1.28600000,1.22090000,1.24830000,390352.00000000,1636156799999,485275.50970000,503,188863.00000000,235597.92680000,0
2021-11-06,1.25460000,1.35000000,1.21430000,1.26690000,150128.00000000,1636243199999,188411.72010000,373,76393.00000000,96458.42430000,0
2021-11-07,1.25830000,1.29000000,1.22640000,1.24570000,1383397.00000000,1636329599999,1733829.28570000,950,575546.00000000,727795.62980000,0
2021-11-08,1.24120000,1.24120000,1.21100000,1.23740000,87616.00000000,1636415999999,107357.53480000,199,46107.00000000,56651.61180000,0
2021-11-09,1.22750000,1.24030000,1.21090000,1.22150000,27962.00000000,1636502399999,34300.79890000,110,18160.00000000,22298.79800000,0
2021-11-10,1.22150000,1.25910000,1.10100000,1.16910000,63730.00000000,1636588799999,76725.62950000,330,17372.00000000,21143.80010000,0
2021-11-11,1.16070000,1.21780000,1.14540000,1.19640000,24316.00000000,1636675199999,28796.28300000,152,12083.00000000,14378.26160000,0
2021-11-12,1.19160000,1.20520000,1.13990000,1.17390000,142543.00000000,1636761599999,167688.93190000,319,70483.00000000,83189.30950000,0
2021-11-13,1.17400000,1.85280000,1.16830000,1.52920000,344987.00000000,1636847999999,500812.88730000,2064,179443.00000000,259221.07670000,0
2021-11-14,1.53660000,1.73170000,1.38250000,1.41960000,329788.00000000,1636934399999,499300.49330000,1499,166556.00000000,251288.43110000,0
2021-11-15,1.40980000,1.44800000,1.29840000,1.31110000,66773.00000000,1637020799999,89816.50390000,296,33893.00000000,45774.35000000,0
2021-11-16,1.30900000,1.30900000,1.12860000,1.22110000,108599.00000000,1637107199999,130759.32080000,482,28806.00000000,35022.27400000,0
2021-11-17,1.20950000,1.27960000,1.15110000,1.23400000,19866.00000000,1637193599999,23984.90570000,209,10341.00000000,12564.51140000,0
2021-11-18,1.23360000,1.26730000,1.08760000,1.11700000,65482.00000000,1637279999999,74786.21700000,338,36438.00000000,41617.03060000,0
2021-11-19,1.11960000,1.24280000,1.08480000,1.17240000,200926.00000000,1637366399999,226422.00800000,411,113776.00000000,129813.99460000,0
2021-11-20,1.17250000,1.35000000,1.15750000,1.23980000,230075.00000000,1637452799999,284295.11920000,734,117087.00000000,146757.54590000,0
2021-11-21,1.25460000,1.33160000,1.23360000,1.23360000,52456.00000000,1637539199999,67288.78910000,441,27775.00000000,36016.71030000,0
2021-11-22,1.23360000,1.23360000,1.14080000,1.15680000,503710.00000000,1637625599999,601134.87770000,742,252684.00000000,303646.90740000,0
2021-11-23,1.16480000,1.19090000,1.13290000,1.17500000,20836.00000000,1637711999999,24090.72690000,163,9222.00000000,10747.83290000,0
2021-11-24,1.17640000,1.17640000,1.11730000,1.14930000,29291.00000000,1637798399999,33356.05530000,115,15978.00000000,18139.61550000,0
2021-11-25,1.14110000,1.20780000,1.12860000,1.16110000,484336.00000000,1637884799999,566583.44840000,614,253687.00000000,299126.84360000,0
2021-11-26,1.16690000,1.23600000,1.05830000,1.11960000,176589.00000000,1637971199999,206424.14400000,812,91179.00000000,106814.30660000,0
2021-11-27,1.12510000,1.89960000,1.12510000,1.38990000,479435.00000000,1638057599999,712982.72770000,4571,216853.00000000,320548.74820000,0
2021-11-28,1.38990000,1.58350000,1.22750000,1.30750000,79506.00000000,1638143999999,109760.24750000,1238,38394.00000000,52862.51880000,0
2021-11-29,1.29680000,1.36460000,1.25830000,1.28830000,69016.00000000,1638230399999,89716.27900000,523,25609.00000000,33531.70180000,0
2021-11-30,1.29620000,1.31810000,1.21550000,1.27720000,445930.00000000,1638316799999,569425.76490000,1301,212287.00000000,272407.69310000,0
