timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-01,129.00000000,129.70000000,120.50000000,122.00000000,1454.96000000,1725235199999,183640.77400000,202,835.74000000,105538.23900000,0
2024-09-02,122.00000000,127.30000000,121.80000000,126.50000000,2593.48000000,1725321599999,325072.31700000,482,1284.11000000,160867.20000000,0
2024-09-03,126.50000000,129.10000000,121.70000000,121.70000000,956.88000000,1725407999999,119251.30400000,273,541.71000000,67523.63700000,0
2024-09-04,122.10000000,126.10000000,117.30000000,123.80000000,1442.59000000,1725494399999,174860.64800000,270,653.67000000,79582.40900000,0
2024-09-05,124.70000000,125.20000000,119.10000000,119.80000000,2465.02000000,1725580799999,298919.86700000,328,1649.03000000,199279.91600000,0
2024-09-06,119.90000000,123.90000000,116.00000000,119.20000000,3296.29000000,1725667199999,395121.74600000,641,1844.40000000,221011.39000000,0
2024-09-07,120.00000000,124.60000000,119.20000000,123.30000000,351.86000000,1725753599999,42754.89800000,126,196.57000000,23913.93800000,0
2024-09-08,123.50000000,133.00000000,123.50000000,131.10000000,1610.15000000,1725839999999,207452.20200000,456,988.43000000,127264.76500000,0
2024-09-09,132.00000000,137.40000000,131.30000000,134.30000000,1983.90000000,1725926399999,265818.16200000,465,1243.05000000,166663.99500000,0
2024-09-10,133.70000000,139.10000000,132.40000000,138.30000000,1348.38000000,1726012799999,183119.72500000,274,829.37000000,112644.57800000,0
2024-09-11,138.40000000,139.00000000,130.00000000,132.10000000,2458.63000000,1726099199999,326522.26200000,419,1643.81000000,217570.35700000,0
2024-09-12,132.10000000,136.20000000,132.10000000,135.90000000,1098.68000000,1726185599999,147457.72400000,326,732.17000000,98294.13600000,0
2024-09-13,136.10000000,140.20000000,133.30000000,139.50000000,1678.54000000,1726271999999,227923.52500000,523,1124.15000000,152550.02600000,0
2024-09-14,139.50000000,144.90000000,137.60000000,141.80000000,1231.47000000,1726358399999,173845.86700000,307,720.12000000,101456.87600000,0
2024-09-15,141.80000000,141.80000000,133.20000000,133.60000000,1003.49000000,1726444799999,138516.56400000,449,519.18000000,71654.65200000,0
2024-09-16,133.50000000,134.90000000,129.00000000,130.40000000,1124.43000000,1726531199999,148317.05400000,332,578.63000000,76269.84500000,0
2024-09-17,130.40000000,135.00000000,129.00000000,130.60000000,728.98000000,1726617599999,96029.32600000,174,385.60000000,50823.82800000,0
2024-09-18,130.60000000,131.40000000,126.00000000,128.00000000,825.88000000,1726703999999,105987.09400000,253,423.59000000,54437.17900000,0
