timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-01,19838.95000000,20210.01000000,19783.04000000,20131.06000000,618.67880000,1717286399999,12378373.17770500,7019,326.95670000,6542201.21872800,0
2024-06-02,20131.09000000,20246.94000000,19818.55000000,19980.00000000,713.72640000,1717372799999,14284402.57772700,6414,341.04570000,6826841.40061800,0
2024-06-03,19975.81000000,20265.03000000,19715.24000000,19774.16000000,1135.85410000,1717459199999,22634066.67385000,11083,540.79160000,10778535.52842900,0
2024-06-04,19774.16000000,20220.77000000,19598.75000000,20133.93000000,1114.18680000,1717545599999,22243720.98388400,11756,581.88660000,11627093.10859200,0
2024-06-05,20134.96000000,20649.26000000,19900.00000000,20479.08000000,819.24940000,1717631999999,16576402.63805400,9582,469.67000000,9504619.89666100,0
2024-06-06,20478.47000000,20565.93000000,19900.00000000,20173.70000000,973.79470000,1717718399999,19726599.30343400,9695,478.52380000,9689641.93757900,0
2024-06-07,20173.35000000,20283.59000000,19120.41000000,19800.99000000,1443.14070000,1717804799999,28608412.72998200,12563,644.54260000,12780452.56515200,0
2024-06-08,19800.00000000,19950.00000000,19731.82000000,19848.84000000,474.52980000,1717891199999,9420168.23416100,5026,221.46850000,4396810.65200200,0
2024-06-09,19850.61000000,20056.78000000,19771.50000000,19971.27000000,434.80150000,1717977599999,8653325.10386100,4436,213.64890000,4252695.91614700,0
2024-06-10,19971.27000000,19999.69000000,19635.76000000,19723.93000000,718.86950000,1718063999999,14240191.31300300,7134,316.70550000,6274588.56766100,0
2024-06-11,19724.43000000,19775.20000000,18500.00000000,18902.10000000,2385.68800000,1718150399999,45287906.45841700,17714,1122.03320000,21300209.45867100,0
2024-06-12,18903.44000000,19731.97000000,18730.49000000,19296.27000000,1366.99270000,1718236799999,26454683.88103600,10366,691.95580000,13390947.57177500,0
2024-06-13,19296.53000000,19329.26000000,18548.92000000,18763.81000000,1514.16630000,1718323199999,28628170.87281000,11125,751.22820000,14203568.97144300,0
2024-06-14,18764.56000000,19134.99000000,18222.32000000,18873.79000000,1538.25880000,1718409599999,28877390.98880600,9542,774.64820000,14539298.90333600,0
2024-06-15,18873.58000000,19465.87000000,18833.13000000,19357.05000000,914.01390000,1718495999999,17554490.03343800,5150,478.46620000,9189147.62698700,0
2024-06-16,19357.05000000,19804.08000000,19203.79000000,19654.21000000,742.69710000,1718582399999,14452632.99826600,4262,399.43990000,7775281.73657600,0
2024-06-17,19655.47000000,19715.53000000,18858.85000000,19114.46000000,1509.23460000,1718668799999,29018776.97047300,8638,740.52570000,14235978.87252400,0
2024-06-18,19116.33000000,19143.27000000,18319.65000000,19068.92000000,2364.29110000,1718755199999,44250196.86379800,14655,1109.26800000,20762885.53198000,0
2024-06-19,19056.51000000,19739.11000000,18958.53000000,19458.60000000,998.03210000,1718841599999,19372997.89040400,6953,469.04810000,9099611.52555100,0
2024-06-20,19463.69000000,19800.89000000,19020.00000000,19243.88000000,727.85680000,1718927999999,14119732.58770300,6329,342.07860000,6635818.02250200,0
2024-06-21,19257.37000000,19411.33000000,18912.36000000,19260.63000000,702.06810000,1719014399999,13449401.98218800,6062,337.18620000,6462125.15223400,0
2024-06-22,19260.55000000,19271.14000000,19033.60000000,19146.39000000,159.46740000,1719100799999,3054024.83282600,1584,82.68560000,1583767.24085700,0
2024-06-23,19140.61000000,19277.00000000,18674.40000000,18746.21000000,273.61750000,1719187199999,5178366.75873500,2522,113.59270000,2150190.95058900,0
2024-06-24,18739.05000000,18816.55000000,17628.10000000,18248.17000000,1735.82530000,1719273599999,31475295.34453500,15455,663.60470000,12032939.83711600,0
2024-06-25,18248.67000000,18783.46000000,18160.30000000,18635.73000000,537.35460000,1719359999999,9928547.64501900,5331,258.29730000,4779607.37902700,0
2024-06-26,18634.80000000,18900.00000000,18400.00000000,18633.22000000,457.78860000,1719446399999,8524369.79035100,3368,207.06140000,3858764.04264900,0
2024-06-27,18631.65000000,19249.97000000,18572.73000000,19030.43000000,467.63780000,1719532799999,8900511.62753200,4259,257.37730000,4900483.07844500,0
2024-06-28,19021.53000000,19381.98000000,18834.01000000,18967.36000000,539.02810000,1719619199999,10269903.92700700,5298,263.62080000,5025711.96353600,0
2024-06-29,18967.36000000,19132.25000000,18949.25000000,19000.64000000,163.09970000,1719705599999,3104695.62750400,1907,91.19690000,1736179.22340200,0
2024-06-30,18994.88000000,19406.98000000,18849.14000000,19282.13000000,252.75790000,1719791999999,4847220.01461600,2554,147.56040000,2832322.23787400,0
