timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-03-01,5.03100000,5.15000000,4.99500000,5.12700000,311276.10000000,1709337599999,1582888.95090000,1966,161087.20000000,820252.06850000,0
2024-03-02,5.12700000,5.52000000,5.12300000,5.49100000,461614.00000000,1709423999999,2469424.76570000,2316,304534.90000000,1627999.79130000,0
2024-03-03,5.49400000,5.60600000,5.12600000,5.45800000,434083.10000000,1709510399999,2353966.95690000,1911,231858.10000000,1262303.70600000,0
2024-03-04,5.47000000,5.75000000,5.39000000,5.72800000,596832.30000000,1709596799999,3320109.03560000,3324,276589.50000000,1542059.17860000,0
2024-03-05,5.72700000,5.73000000,4.60000000,5.16300000,777031.70000000,1709683199999,4130101.48850000,5080,275236.00000000,1467417.34550000,0
2024-03-06,5.17200000,5.58000000,4.97000000,5.57800000,701264.60000000,1709769599999,3749984.26440000,3880,335306.90000000,1798329.10830000,0
2024-03-07,5.58000000,5.84400000,5.49200000,5.78700000,381099.20000000,1709855999999,2171067.96480000,2670,227471.90000000,1296119.20860000,0
2024-03-08,5.80300000,5.87000000,5.50000000,5.66600000,385256.60000000,1709942399999,2188458.88990000,3895,162590.60000000,926885.41260000,0
2024-03-09,5.66100000,5.83200000,5.63100000,5.82700000,225269.30000000,1710028799999,1290752.59020000,2385,122337.00000000,702096.90590000,0
2024-03-10,5.83300000,6.28300000,5.76600000,6.19400000,655653.20000000,1710115199999,3998754.40360000,4269,348484.40000000,2124652.75420000,0
2024-03-11,6.19200000,6.26000000,5.86900000,6.22900000,552797.10000000,1710201599999,3368027.01110000,4721,301286.10000000,1841211.99670000,0
2024-03-12,6.23100000,6.25200000,5.63800000,5.92500000,586586.90000000,1710287999999,3485992.35160000,5261,240104.90000000,1425540.39540000,0
2024-03-13,5.92600000,6.47900000,5.89900000,6.37500000,845100.10000000,1710374399999,5323242.74890000,4222,443761.00000000,2791978.29850000,0
2024-03-14,6.38500000,6.44900000,5.85000000,6.15900000,687658.50000000,1710460799999,4185699.95170000,4485,264769.20000000,1614460.83390000,0
2024-03-15,6.15800000,6.18300000,5.39000000,5.74200000,855104.90000000,1710547199999,4910396.28200000,5545,397871.70000000,2284920.35820000,0
2024-03-16,5.75700000,5.88900000,5.15900000,5.26000000,549876.50000000,1710633599999,3032607.86550000,2959,252420.60000000,1395844.10160000,0
2024-03-17,5.25700000,5.54300000,5.07700000,5.49300000,349123.10000000,1710719999999,1881100.65470000,2228,180136.80000000,970796.44940000,0
2024-03-18,5.48700000,5.49000000,5.10600000,5.21900000,351738.30000000,1710806399999,1850460.02370000,2231,158056.50000000,829492.37070000,0
2024-03-19,5.20800000,5.23400000,4.62700000,4.74000000,729948.80000000,1710892799999,3525342.07010000,4252,325402.10000000,1571346.80980000,0
2024-03-20,4.73700000,5.10100000,4.60700000,5.05800000,414140.90000000,1710979199999,2030588.84910000,2405,186346.70000000,916350.76330000,0
2024-03-21,5.06000000,5.07700000,4.86800000,4.99600000,445780.30000000,1711065599999,2225605.49710000,1904,198560.50000000,990388.48630000,0
2024-03-22,4.99100000,5.10900000,4.78500000,4.90600000,199882.70000000,1711151999999,988166.43220000,1227,99086.50000000,489907.24160000,0
2024-03-23,4.90000000,5.06200000,4.83400000,4.94400000,149853.00000000,1711238399999,748737.54060000,1022,76189.80000000,380567.06800000,0
2024-03-24,4.94400000,5.10600000,4.92600000,5.09800000,192008.80000000,1711324799999,971195.95190000,1040,125015.40000000,633870.47500000,0
2024-03-25,5.09800000,5.31000000,5.04900000,5.23000000,234914.50000000,1711411199999,1220925.83130000,1653,115228.80000000,600212.08740000,0
2024-03-26,5.22700000,5.38100000,5.15700000,5.24300000,165543.90000000,1711497599999,869938.34810000,1338,71882.10000000,378536.85550000,0
2024-03-27,5.24000000,5.45000000,5.00900000,5.04300000,257211.00000000,1711583999999,1339528.20710000,1630,125394.30000000,651498.46020000,0
2024-03-28,5.04500000,5.13200000,4.97800000,5.04600000,209933.70000000,1711670399999,1061684.59080000,1676,87695.10000000,443645.48770000,0
2024-03-29,5.04700000,5.08400000,4.94000000,5.02300000,166977.40000000,1711756799999,835219.53640000,1206,62210.10000000,311626.11320000,0
2024-03-30,5.01900000,5.07500000,4.93900000,4.95800000,158919.30000000,1711843199999,797637.73360000,1091,69489.00000000,349094.38850000,0
2024-03-31,4.95800000,5.07700000,4.94900000,5.06700000,96661.00000000,1711929599999,485783.51530000,882,56226.20000000,282993.23530000,0
