timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-07-01,0.00003643,0.00003745,0.00003616,0.00003689,14887078287.00,1688255999999,547733.14404733,2016,6811923864.00,250993.93932025,0
2023-07-02,0.00003685,0.00003726,0.00003587,0.00003697,10716840003.00,1688342399999,392181.55645898,1534,5117308183.00,187323.86217681,0
2023-07-03,0.00003697,0.00003760,0.00003670,0.00003731,12271288246.00,1688428799999,455976.74593999,2167,6100206872.00,226773.02266629,0
2023-07-04,0.00003729,0.00003809,0.00003670,0.00003735,13383459759.00,1688515199999,500686.74938505,1958,6870795300.00,256969.62340348,0
2023-07-05,0.00003737,0.00003763,0.00003596,0.00003627,9823450297.00,1688601599999,360395.65263363,1701,5191162239.00,190579.10624079,0
2023-07-06,0.00003631,0.00003715,0.00003506,0.00003523,10393938878.00,1688687999999,374155.01837497,1754,4812042136.00,173655.28217506,0
2023-07-07,0.00003528,0.00003594,0.00003496,0.00003591,8132526347.00,1688774399999,289813.16329884,1493,3991443606.00,142364.44048152,0
2023-07-08,0.00003590,0.00003798,0.00003565,0.00003761,14550558093.00,1688860799999,535965.64905099,1681,8065305891.00,296835.99935396,0
2023-07-09,0.00003763,0.00003839,0.00003733,0.00003802,16876054017.00,1688947199999,638186.86456921,2297,8661060195.00,327923.26606736,0
2023-07-10,0.00003802,0.00003802,0.00003641,0.00003696,12319280440.00,1689033599999,456739.76499567,2074,4986396839.00,184928.80127082,0
2023-07-11,0.00003696,0.00003729,0.00003637,0.00003676,7052772386.00,1689119999999,259123.14669406,1450,2937649395.00,108224.48354933,0
2023-07-12,0.00003676,0.00003700,0.00003565,0.00003645,8943853851.00,1689206399999,324846.11451079,1522,3122182425.00,113391.31752905,0
2023-07-13,0.00003643,0.00003895,0.00003609,0.00003836,22750596679.00,1689292799999,856062.16599071,2495,12365951428.00,465766.95429648,0
2023-07-14,0.00003834,0.00004070,0.00003675,0.00003865,33101050134.00,1689379199999,1281556.36595828,3485,16409416791.00,635773.38727365,0
2023-07-15,0.00003865,0.00004121,0.00003827,0.00003913,24513542889.00,1689465599999,978270.72758235,2842,11638780055.00,464421.04816337,0
2023-07-16,0.00003913,0.00003952,0.00003778,0.00003794,12393941321.00,1689551999999,479911.14797504,1869,4846380314.00,187748.13487150,0
2023-07-17,0.00003793,0.00003889,0.00003674,0.00003797,13316227653.00,1689638399999,503243.73189116,1502,6299145566.00,237815.53965595,0
2023-07-18,0.00003798,0.00003820,0.00003670,0.00003727,8649945654.00,1689724799999,323030.26311753,1000,4032449774.00,150818.66617971,0
2023-07-19,0.00003727,0.00003790,0.00003690,0.00003740,8744413188.00,1689811199999,326657.17799714,950,4403632171.00,164760.10537870,0
2023-07-20,0.00003738,0.00003814,0.00003675,0.00003703,11937182722.00,1689897599999,445819.53978447,1278,5138321953.00,192427.77820141,0
2023-07-21,0.00003708,0.00003852,0.00003690,0.00003773,10462196373.00,1689983999999,393930.80069875,1152,5383828483.00,202899.91283571,0
2023-07-22,0.00003773,0.00003813,0.00003714,0.00003745,9944412622.00,1690070399999,373477.32063423,980,4111023382.00,154675.96217604,0
2023-07-23,0.00003750,0.00003811,0.00003730,0.00003793,6459640977.00,1690156799999,244039.33915608,933,3504960897.00,132581.65968867,0
2023-07-24,0.00003793,0.00003858,0.00003616,0.00003657,17621102036.00,1690243199999,654600.29986993,1384,7389338874.00,274634.34711804,0
2023-07-25,0.00003657,0.00003798,0.00003649,0.00003783,15849317802.00,1690329599999,589478.27460000,1400,7836833698.00,292135.06434194,0
2023-07-26,0.00003787,0.00003812,0.00003678,0.00003754,15635108854.00,1690415999999,583610.98358063,1296,5327606929.00,199716.68933756,0
2023-07-27,0.00003752,0.00003786,0.00003684,0.00003721,7594910381.00,1690502399999,283024.54083061,983,2520318617.00,94081.16194914,0
2023-07-28,0.00003722,0.00004022,0.00003709,0.00003906,25869070650.00,1690588799999,1011666.27387388,2301,13963938816.00,546410.19611371,0
2023-07-29,0.00003910,0.00004120,0.00003889,0.00004073,19947080094.00,1690675199999,796521.48078988,2256,9172751673.00,366642.24800671,0
2023-07-30,0.00004069,0.00004193,0.00003875,0.00003962,24319679311.00,1690761599999,981754.72358113,2351,12534142783.00,506282.14871009,0
2023-07-31,0.00003962,0.00004150,0.00003936,0.00004037,19693628979.00,1690847999999,797759.91354067,1911,8430169489.00,340715.26053786,0
