timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-11-01,6.66680000,6.92720000,6.36440000,6.70520000,3099.69000000,1698883199999,20668.22313500,229,2193.95000000,14680.22577900,0
2023-11-02,6.75050000,6.79030000,6.14110000,6.27800000,2651.06000000,1698969599999,17163.31839400,184,1278.68000000,8297.68360200,0
2023-11-03,6.28880000,6.28880000,6.03300000,6.24880000,2779.78000000,1699055999999,17101.59899400,167,1700.11000000,10442.10664100,0
2023-11-04,6.23390000,6.64550000,6.23390000,6.53390000,4500.08000000,1699142399999,29154.83750400,230,2674.52000000,17305.92401500,0
2023-11-05,6.50290000,6.67270000,6.30630000,6.41980000,3983.70000000,1699228799999,25923.02388800,203,1713.97000000,11167.06299300,0
2023-11-06,6.45760000,6.94120000,6.39390000,6.91780000,4398.72000000,1699315199999,29528.02149300,273,2197.52000000,14750.45741800,0
2023-11-07,6.96980000,7.18520000,6.57920000,6.81870000,7355.72000000,1699401599999,50109.50195800,435,4557.41000000,31078.30289100,0
2023-11-08,6.78190000,7.02200000,6.67490000,6.98110000,3573.22000000,1699487999999,24348.70166800,300,2089.85000000,14306.58618000,0
2023-11-09,6.95690000,7.20090000,5.89140000,6.87910000,7133.59000000,1699574399999,48843.37404800,407,4059.71000000,27939.39061600,0
2023-11-10,6.88740000,7.11110000,6.70920000,7.05390000,2517.94000000,1699660799999,17487.69012100,152,1034.20000000,7190.99347000,0
2023-11-11,7.03030000,7.37860000,6.80600000,7.19220000,5039.67000000,1699747199999,36176.16532800,324,3204.96000000,23003.70840900,0
2023-11-12,7.17050000,7.92000000,6.82720000,7.30910000,8967.71000000,1699833599999,67739.37004500,647,3992.00000000,30240.23165100,0
2023-11-13,7.26860000,7.49130000,6.81000000,6.90930000,6376.63000000,1699919999999,45403.05005600,397,2704.07000000,19360.38195100,0
2023-11-14,6.70630000,6.81120000,6.32440000,6.54850000,1994.37000000,1700006399999,13231.23698000,145,802.82000000,5321.11416200,0
2023-11-15,6.60100000,7.15340000,6.55130000,7.11310000,2200.16000000,1700092799999,15076.88758200,128,1400.84000000,9566.38900500,0
2023-11-16,7.13840000,7.60020000,6.63080000,6.63080000,3062.08000000,1700179199999,21697.77589800,236,1116.99000000,7974.52383100,0
2023-11-17,6.70940000,7.05840000,6.39200000,6.65880000,8431.68000000,1700265599999,57156.07631000,297,4078.79000000,27889.65620200,0
2023-11-18,6.63830000,6.63830000,6.16730000,6.49180000,2247.65000000,1700351999999,14250.30037400,100,1397.90000000,8869.68174100,0
2023-11-19,6.39350000,6.62970000,6.28560000,6.61120000,4460.84000000,1700438399999,28820.91932900,148,3142.05000000,20299.82600000,0
2023-11-20,6.61120000,6.88420000,6.56310000,6.58270000,1835.62000000,1700524799999,12380.04734100,199,718.18000000,4851.90168100,0
2023-11-21,6.76880000,6.82760000,6.23180000,6.26560000,3778.67000000,1700611199999,24645.69013200,289,1824.89000000,11937.12722800,0
2023-11-22,6.20050000,6.83510000,6.20050000,6.71400000,5065.49000000,1700697599999,33510.48190500,200,3260.74000000,21512.11868100,0
2023-11-23,6.71430000,6.78120000,6.54610000,6.70510000,2262.68000000,1700783999999,15040.83142900,98,1005.10000000,6700.02400200,0
2023-11-24,6.65670000,6.81260000,6.65130000,6.81160000,6391.14000000,1700870399999,43042.21049000,141,2389.44000000,16123.35510700,0
2023-11-25,6.83480000,6.93490000,6.65730000,6.69140000,5791.66000000,1700956799999,39666.61130500,144,2585.71000000,17778.39302500,0
2023-11-26,6.72230000,6.77010000,6.36980000,6.63310000,4737.50000000,1701043199999,31295.48281400,141,1507.67000000,10060.06842000,0
2023-11-27,6.61620000,6.62580000,6.24180000,6.34560000,1153.65000000,1701129599999,7370.86869000,74,275.49000000,1787.53929000,0
2023-11-28,6.29580000,6.45740000,6.17980000,6.42210000,513.16000000,1701215999999,3237.79629500,43,121.28000000,764.75508600,0
2023-11-29,6.40240000,6.50720000,6.27410000,6.37190000,858.51000000,1701302399999,5493.20894400,40,594.50000000,3805.51272000,0
2023-11-30,6.38120000,6.52650000,6.35870000,6.40050000,1145.15000000,1701388799999,7359.24296900,65,781.57000000,5031.46780900,0
