timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-10-01,0.15100000,0.15710000,0.15000000,0.15590000,64407.20000000,1696204799999,9866.04197000,218,44029.70000000,6757.07704000,0
2023-10-02,0.15610000,0.15610000,0.14730000,0.15020000,222907.40000000,1696291199999,33549.07980000,428,105724.60000000,15922.82551000,0
2023-10-03,0.15030000,0.15430000,0.14670000,0.14670000,73665.00000000,1696377599999,11136.60343000,252,39398.20000000,5988.51064000,0
2023-10-04,0.14650000,0.14650000,0.14170000,0.14510000,68016.10000000,1696463999999,9795.20143000,208,34292.10000000,4946.82485000,0
2023-10-05,0.14530000,0.14530000,0.14110000,0.14270000,39358.00000000,1696550399999,5635.18491000,140,15828.30000000,2269.97264000,0
2023-10-06,0.14250000,0.14530000,0.14190000,0.14430000,35650.70000000,1696636799999,5114.20547000,115,21707.00000000,3123.01909000,0
2023-10-07,0.14480000,0.14610000,0.14420000,0.14590000,30961.80000000,1696723199999,4501.36907000,75,24989.70000000,3637.28936000,0
2023-10-08,0.14590000,0.14600000,0.14240000,0.14480000,25948.90000000,1696809599999,3743.64261000,100,12684.20000000,1834.67822000,0
2023-10-09,0.14460000,0.14530000,0.13430000,0.13630000,142593.00000000,1696895999999,19877.08455000,342,55429.70000000,7703.74766000,0
2023-10-10,0.13590000,0.13670000,0.13300000,0.13510000,47330.60000000,1696982399999,6382.62928000,165,25104.50000000,3392.98755000,0
2023-10-11,0.13440000,0.13540000,0.13060000,0.13360000,65657.50000000,1697068799999,8736.98428000,246,34406.50000000,4589.76106000,0
2023-10-12,0.13360000,0.13530000,0.13130000,0.13530000,56294.20000000,1697155199999,7518.22773000,153,34993.30000000,4682.71723000,0
2023-10-13,0.13500000,0.14030000,0.13470000,0.13620000,323146.10000000,1697241599999,44348.82828000,486,158960.50000000,21791.02934000,0
2023-10-14,0.13660000,0.14030000,0.13660000,0.13930000,38874.50000000,1697327999999,5399.85197000,96,27252.60000000,3784.24535000,0
2023-10-15,0.13950000,0.14070000,0.13760000,0.13850000,35848.80000000,1697414399999,4981.82718000,99,19630.90000000,2732.99774000,0
2023-10-16,0.13870000,0.14400000,0.13800000,0.13940000,107693.30000000,1697500799999,15100.66022000,267,48185.60000000,6781.98146000,0
2023-10-17,0.13930000,0.14010000,0.13330000,0.13560000,205265.70000000,1697587199999,27819.82205000,294,83361.60000000,11297.70940000,0
2023-10-18,0.13550000,0.13670000,0.13390000,0.13640000,73301.50000000,1697673599999,9923.82765000,127,29655.10000000,4025.91434000,0
2023-10-19,0.13630000,0.13630000,0.13200000,0.13380000,39034.10000000,1697759999999,5215.20089000,129,16604.30000000,2215.69483000,0
2023-10-20,0.13380000,0.14060000,0.13360000,0.13950000,60386.50000000,1697846399999,8271.07455000,174,47443.90000000,6501.23522000,0
2023-10-21,0.14020000,0.14760000,0.13880000,0.14480000,89722.50000000,1697932799999,12941.68285000,243,59533.70000000,8586.46774000,0
2023-10-22,0.14460000,0.14650000,0.14140000,0.14540000,108960.40000000,1698019199999,15664.39176000,240,53163.80000000,7670.59172000,0
2023-10-23,0.14530000,0.15210000,0.14270000,0.15180000,192342.20000000,1698105599999,28298.56114000,380,127256.70000000,18808.60079000,0
2023-10-24,0.15210000,0.15940000,0.14690000,0.15420000,340775.70000000,1698191999999,51942.29752000,710,170477.40000000,26080.36653000,0
2023-10-25,0.15370000,0.15920000,0.15000000,0.15680000,191575.20000000,1698278399999,29710.61318000,395,109246.20000000,16976.86060000,0
2023-10-26,0.15690000,0.16580000,0.15150000,0.15740000,289914.50000000,1698364799999,45985.04826000,627,148634.10000000,23628.50518000,0
2023-10-27,0.15660000,0.15660000,0.15100000,0.15380000,160328.40000000,1698451199999,24664.00420000,327,80152.10000000,12357.73115000,0
2023-10-28,0.15360000,0.16600000,0.15360000,0.16530000,381659.80000000,1698537599999,62235.79864000,783,222862.10000000,36294.66694000,0
2023-10-29,0.16470000,0.18810000,0.16080000,0.17960000,1373053.10000000,1698623999999,246145.00118000,2529,677597.40000000,121379.61524000,0
2023-10-30,0.18010000,0.19470000,0.17770000,0.18210000,1301233.60000000,1698710399999,242098.52651000,2772,574047.00000000,107069.36249000,0
2023-10-31,0.18190000,0.18550000,0.16480000,0.17540000,577599.30000000,1698796799999,100327.75149000,1272,250262.00000000,43564.38707000,0
