timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-01,0.55920000,0.57310000,0.55330000,0.57170000,1126723.00000000,1704153599999,636983.70180000,2673,575748.00000000,325678.29760000,0
2024-01-02,0.57170000,0.58180000,0.56830000,0.57140000,2088075.00000000,1704239999999,1199577.46740000,4612,1047848.00000000,602149.80090000,0
2024-01-03,0.57170000,0.58390000,0.46570000,0.53540000,4605781.00000000,1704326399999,2450740.29270000,12693,2231496.00000000,1189049.90790000,0
2024-01-04,0.53530000,0.54380000,0.52270000,0.53760000,2201370.00000000,1704412799999,1173651.09720000,5104,1166490.00000000,621285.99580000,0
2024-01-05,0.53750000,0.53910000,0.50650000,0.52800000,2222142.00000000,1704499199999,1162114.35730000,4876,1141484.00000000,596629.69780000,0
2024-01-06,0.52820000,0.52820000,0.51150000,0.52090000,890484.00000000,1704585599999,464333.93110000,2698,425998.00000000,222196.78080000,0
2024-01-07,0.52080000,0.52600000,0.50100000,0.50570000,1023111.00000000,1704671999999,530357.41860000,2600,484426.00000000,251051.56890000,0
2024-01-08,0.50560000,0.53300000,0.49880000,0.52800000,3205285.00000000,1704758399999,1663968.86090000,6619,1636219.00000000,849512.67540000,0
2024-01-09,0.52810000,0.53080000,0.50380000,0.51960000,2910310.00000000,1704844799999,1514596.41880000,6393,1434189.00000000,745908.88790000,0
2024-01-10,0.51940000,0.56080000,0.50260000,0.54800000,3266148.00000000,1704931199999,1712369.83510000,7050,1632211.00000000,858185.50990000,0
2024-01-11,0.54890000,0.56790000,0.53480000,0.54890000,2593763.00000000,1705017599999,1431977.19500000,7162,1247155.00000000,689069.51370000,0
2024-01-12,0.54880000,0.55050000,0.50650000,0.52230000,2318949.00000000,1705103999999,1242864.64860000,5962,1094720.00000000,587479.08520000,0
2024-01-13,0.52170000,0.52970000,0.51630000,0.52660000,897556.00000000,1705190399999,471834.70870000,2608,446661.00000000,234710.53360000,0
2024-01-14,0.52660000,0.54300000,0.52400000,0.52760000,1188981.00000000,1705276799999,631572.36280000,3082,669179.00000000,355940.57590000,0
2024-01-15,0.52840000,0.53790000,0.52020000,0.52630000,1588830.00000000,1705363199999,840021.94020000,3735,739886.00000000,391111.86610000,0
2024-01-16,0.52650000,0.53350000,0.52130000,0.53010000,2329751.00000000,1705449599999,1230934.40100000,3781,1512307.00000000,798881.24590000,0
2024-01-17,0.52990000,0.53000000,0.51750000,0.52260000,1474183.00000000,1705535999999,773670.31390000,2994,772312.00000000,405273.58280000,0
2024-01-18,0.52230000,0.52230000,0.50000000,0.50760000,1540788.00000000,1705622399999,791254.19300000,3585,774006.00000000,397210.14080000,0
2024-01-19,0.50800000,0.50920000,0.47900000,0.49990000,1806382.00000000,1705708799999,900622.14100000,4133,932628.00000000,465798.48850000,0
2024-01-20,0.49970000,0.51000000,0.49520000,0.50880000,934953.00000000,1705795199999,470712.96160000,2245,508257.00000000,255859.95480000,0
2024-01-21,0.50890000,0.51020000,0.50120000,0.50140000,685674.00000000,1705881599999,347580.32300000,1584,302369.00000000,153346.42460000,0
2024-01-22,0.50190000,0.50460000,0.47550000,0.48500000,1907509.00000000,1705967999999,933012.15950000,4054,954428.00000000,467103.62340000,0
2024-01-23,0.48490000,0.48770000,0.45690000,0.47760000,2411193.00000000,1706054399999,1135982.20380000,4641,1055448.00000000,497932.60950000,0
2024-01-24,0.47770000,0.47820000,0.46990000,0.47620000,1536160.00000000,1706140799999,727379.01220000,3139,786843.00000000,372593.80890000,0
2024-01-25,0.47620000,0.47620000,0.46470000,0.47410000,1371606.00000000,1706227199999,645824.35730000,2664,675991.00000000,318285.62360000,0
2024-01-26,0.47390000,0.49380000,0.46950000,0.49080000,1610971.00000000,1706313599999,774612.27600000,2955,908344.00000000,437240.21890000,0
2024-01-27,0.49090000,0.49300000,0.48590000,0.48980000,668084.00000000,1706399999999,327074.13300000,1509,339981.00000000,166430.63160000,0
2024-01-28,0.49000000,0.49440000,0.48110000,0.48380000,800656.00000000,1706486399999,391512.18740000,1717,363634.00000000,177766.13270000,0
2024-01-29,0.48370000,0.49880000,0.48110000,0.49430000,1371034.00000000,1706572799999,671295.26200000,2711,702496.00000000,343847.06440000,0
2024-01-30,0.49340000,0.49750000,0.46840000,0.47180000,2570504.00000000,1706659199999,1238225.33270000,4584,1347649.00000000,649020.44660000,0
2024-01-31,0.47150000,0.47540000,0.44810000,0.46580000,2822555.00000000,1706745599999,1314394.31710000,4867,1232545.00000000,574759.03050000,0
