timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-01,1.20900000,1.21000000,1.20800000,1.20800000,639697.00000000,1672617599999,773498.13350000,1749,230256.70000000,278512.58210000,0
2023-01-02,1.20900000,1.21000000,1.20400000,1.20600000,1011608.70000000,1672703999999,1220165.35070000,2068,548516.40000000,661761.40730000,0
2023-01-03,1.20600000,1.20900000,1.19400000,1.19700000,1699434.00000000,1672790399999,2039304.05090000,3725,809735.50000000,971145.14890000,0
2023-01-04,1.19700000,1.20800000,1.19700000,1.20600000,1971369.30000000,1672876799999,2374634.56380000,4543,1088806.30000000,1311502.90680000,0
2023-01-05,1.20500000,1.20800000,1.18900000,1.19300000,1648319.30000000,1672963199999,1970518.88010000,3550,773763.80000000,924764.44640000,0
2023-01-06,1.19300000,1.20900000,1.18500000,1.20900000,2341929.00000000,1673049599999,2801430.82230000,5713,1239563.80000000,1484212.93880000,0
2023-01-07,1.20900000,1.21000000,1.20800000,1.20800000,656906.20000000,1673135999999,794093.72980000,1572,437486.80000000,529018.84330000,0
2023-01-08,1.20900000,1.21200000,1.20800000,1.21100000,708521.50000000,1673222399999,856468.70820000,1761,337476.70000000,408080.08600000,0
2023-01-09,1.21100000,1.22300000,1.20900000,1.21800000,2621901.20000000,1673308799999,3189394.89780000,6228,1553539.40000000,1890181.71600000,0
2023-01-10,1.21800000,1.21900000,1.21200000,1.21500000,1356742.30000000,1673395199999,1649576.27930000,4451,708587.60000000,861730.13860000,0
2023-01-11,1.21500000,1.21700000,1.21000000,1.21600000,1635440.60000000,1673481599999,1984951.79510000,3737,893849.50000000,1085160.23990000,0
2023-01-12,1.21600000,1.22500000,1.21000000,1.22100000,2947994.40000000,1673567999999,3591802.84430000,7533,1449393.20000000,1766756.61460000,0
2023-01-13,1.22100000,1.22500000,1.21500000,1.22300000,2440839.40000000,1673654399999,2979322.81480000,6265,1296898.00000000,1583264.82490000,0
2023-01-14,1.22200000,1.22500000,1.22200000,1.22400000,2487976.00000000,1673740799999,3043337.07670000,6810,1313081.40000000,1606748.88450000,0
2023-01-15,1.22400000,1.22400000,1.22100000,1.22200000,1465672.00000000,1673827199999,1791885.35750000,4348,543706.50000000,665009.48400000,0
2023-01-16,1.22200000,1.22900000,1.21700000,1.22000000,2520502.40000000,1673913599999,3076886.95220000,5738,1329645.30000000,1623740.76510000,0
2023-01-17,1.22000000,1.23000000,1.21700000,1.22800000,2393405.10000000,1673999999999,2930013.59220000,5109,1226335.50000000,1501590.97750000,0
2023-01-18,1.22800000,1.24300000,1.22500000,1.23500000,2842656.70000000,1674086399999,3512585.61340000,6842,1557384.30000000,1924942.82610000,0
2023-01-19,1.23500000,1.24000000,1.23100000,1.24000000,1693425.30000000,1674172799999,2091820.14580000,4492,951907.90000000,1176064.54370000,0
2023-01-20,1.24000000,1.24300000,1.23400000,1.24000000,2175216.70000000,1674259199999,2693982.07770000,5644,1074854.70000000,1331662.32300000,0
2023-01-21,1.24000000,1.24200000,1.23800000,1.23800000,1740293.80000000,1674345599999,2158100.76080000,4123,735949.10000000,913013.24210000,0
2023-01-22,1.23800000,1.24100000,1.23600000,1.24100000,1344496.10000000,1674431999999,1665289.57600000,3443,518537.60000000,642666.27250000,0
2023-01-23,1.24100000,1.24500000,1.23200000,1.23800000,2230223.20000000,1674518399999,2760150.64450000,4930,1349984.50000000,1670952.86040000,0
2023-01-24,1.23800000,1.24100000,1.22600000,1.23300000,2784328.90000000,1674604799999,3432834.76470000,6590,1368240.80000000,1687310.95130000,0
2023-01-25,1.23200000,1.24100000,1.22700000,1.24100000,2443360.60000000,1674691199999,3018882.38870000,5838,1124183.10000000,1389645.34460000,0
2023-01-26,1.24100000,1.24200000,1.23400000,1.24100000,2057618.40000000,1674777599999,2548817.09950000,5888,895357.30000000,1109176.35620000,0
2023-01-27,1.24100000,1.24200000,1.23400000,1.23900000,1919412.00000000,1674863999999,2376106.54020000,5352,873902.40000000,1081989.62030000,0
2023-01-28,1.23900000,1.23900000,1.23700000,1.23800000,1226576.20000000,1674950399999,1518619.30240000,2542,428283.60000000,530490.29860000,0
2023-01-29,1.23700000,1.24000000,1.23700000,1.23900000,1528805.30000000,1675036799999,1894006.35480000,3271,1033495.30000000,1280643.08310000,0
2023-01-30,1.23900000,1.24100000,1.23300000,1.23400000,2863462.00000000,1675123199999,3542186.33230000,5620,1209809.00000000,1496849.96770000,0
2023-01-31,1.23400000,1.24100000,1.22800000,1.23600000,2287248.50000000,1675209599999,2822606.74200000,5593,1172243.90000000,1447139.39370000,0
