timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-06-01,0.41670000,0.41670000,0.40260000,0.40570000,209335.00000000,1685663999999,85175.38500000,636,106028.00000000,43132.40310000,0
2023-06-02,0.40620000,0.42420000,0.40360000,0.42250000,297487.00000000,1685750399999,123335.95080000,835,129891.00000000,53892.67380000,0
2023-06-03,0.42290000,0.42930000,0.41560000,0.41870000,245494.00000000,1685836799999,103607.82000000,705,123758.00000000,52280.24180000,0
2023-06-04,0.41930000,0.44190000,0.41610000,0.43270000,422534.00000000,1685923199999,182483.63220000,1127,195117.00000000,84303.40210000,0
2023-06-05,0.43240000,0.43800000,0.39420000,0.41290000,1113465.00000000,1686009599999,466556.49820000,2454,517175.00000000,215994.78940000,0
2023-06-06,0.41270000,0.43030000,0.40160000,0.42840000,649947.00000000,1686095999999,269114.95210000,1491,259495.00000000,107717.97990000,0
2023-06-07,0.42770000,0.43490000,0.40960000,0.41920000,566048.00000000,1686182399999,239575.41430000,1361,223674.00000000,94673.69690000,0
2023-06-08,0.41760000,0.42170000,0.41450000,0.41890000,224114.00000000,1686268799999,93857.22600000,634,103150.00000000,43193.38090000,0
2023-06-09,0.41900000,0.43180000,0.41630000,0.42920000,280130.00000000,1686355199999,119149.98320000,826,114364.00000000,48607.02300000,0
2023-06-10,0.42970000,0.42980000,0.37720000,0.41110000,924229.00000000,1686441599999,368570.52000000,2649,436866.00000000,174175.04750000,0
2023-06-11,0.41090000,0.42630000,0.40570000,0.41740000,345818.00000000,1686527999999,143365.16060000,1059,160702.00000000,66583.93900000,0
2023-06-12,0.41740000,0.42370000,0.40650000,0.42160000,317247.00000000,1686614399999,131210.92790000,1130,151627.00000000,62740.42260000,0
2023-06-13,0.42170000,0.45060000,0.40270000,0.41420000,1496519.00000000,1686700799999,642279.36830000,3836,667399.00000000,286370.90000000,0
2023-06-14,0.41360000,0.41360000,0.36630000,0.38080000,850505.00000000,1686787199999,331588.02250000,2232,342531.00000000,132454.72520000,0
2023-06-15,0.38050000,0.38550000,0.36840000,0.37640000,340690.00000000,1686873599999,128470.79790000,1493,150372.00000000,56739.00610000,0
2023-06-16,0.37710000,0.37860000,0.35780000,0.37270000,337309.00000000,1686959999999,123984.01880000,1321,167029.00000000,61411.91090000,0
2023-06-17,0.37260000,0.38090000,0.36780000,0.37750000,150588.00000000,1687046399999,56251.80260000,587,76331.00000000,28569.17150000,0
2023-06-18,0.37730000,0.39220000,0.37310000,0.38050000,206635.00000000,1687132799999,79347.96960000,921,100890.00000000,38731.75580000,0
2023-06-19,0.38080000,0.39080000,0.37720000,0.38760000,210982.00000000,1687219199999,81197.14860000,851,100335.00000000,38617.89770000,0
2023-06-20,0.38680000,0.38880000,0.37180000,0.38750000,276879.00000000,1687305599999,105780.20820000,1092,126944.00000000,48507.26740000,0
2023-06-21,0.38740000,0.39530000,0.38510000,0.39380000,413956.00000000,1687391999999,161705.11270000,1375,216177.00000000,84486.63260000,0
2023-06-22,0.39310000,0.41320000,0.38160000,0.38950000,438893.00000000,1687478399999,173237.09530000,1511,209438.00000000,82661.09630000,0
2023-06-23,0.38980000,0.39660000,0.38270000,0.39220000,308218.00000000,1687564799999,120678.46190000,949,158872.00000000,62235.67250000,0
2023-06-24,0.39250000,0.39250000,0.38080000,0.38660000,134547.00000000,1687651199999,52066.39620000,429,65638.00000000,25391.37690000,0
2023-06-25,0.38580000,0.39500000,0.38330000,0.38840000,104739.00000000,1687737599999,40792.34430000,400,50330.00000000,19603.10170000,0
2023-06-26,0.38850000,0.38850000,0.37320000,0.37830000,118157.00000000,1687823999999,44944.57450000,422,53157.00000000,20254.05790000,0
2023-06-27,0.37750000,0.38190000,0.37510000,0.38150000,130010.00000000,1687910399999,49234.30750000,350,71638.00000000,27127.46450000,0
2023-06-28,0.38070000,0.38130000,0.35750000,0.36950000,258846.00000000,1687996799999,96076.50580000,875,129627.00000000,48100.78740000,0
2023-06-29,0.36900000,0.37950000,0.36680000,0.37790000,214950.00000000,1688083199999,80345.31910000,675,106683.00000000,39866.35590000,0
2023-06-30,0.37800000,0.38310000,0.35560000,0.37550000,400779.00000000,1688169599999,149373.41720000,1250,202202.00000000,75361.98350000,0
