timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-07-01,1161199.00000000,1242000.00000000,1155000.00000000,1167294.00000000,0.49657100,1719878399999,580716.54728300,211,0.37948800,444158.75698300,0
2024-07-02,1166049.00000000,1166078.00000000,1132228.00000000,1138676.00000000,0.31149000,1719964799999,357462.15769000,110,0.12373500,142077.70764600,0
2024-07-03,1139192.00000000,1143273.00000000,1094049.00000000,1103968.00000000,0.53087900,1720051199999,592119.83048400,267,0.30693200,341741.14581400,0
2024-07-04,1106868.00000000,1112949.00000000,1042129.00000000,1055328.00000000,1.07015500,1720137599999,1145970.08193400,419,0.50799100,542960.60537600,0
2024-07-05,1048835.00000000,1059509.00000000,988000.00000000,1041219.00000000,1.46621200,1720223999999,1500758.32369400,420,0.67304400,694125.97919100,0
2024-07-06,1034510.00000000,1070606.00000000,1032120.00000000,1064824.00000000,0.08101400,1720310399999,85864.06846000,80,0.04073900,43210.07467500,0
2024-07-07,1064791.00000000,1070650.00000000,1022413.00000000,1022413.00000000,0.52198900,1720396799999,551403.63190300,208,0.18736100,198961.98462900,0
2024-07-08,1023267.00000000,1055452.00000000,994042.00000000,1034908.00000000,0.31492900,1720483199999,319582.83162900,147,0.09599300,97732.39606500,0
2024-07-09,1028923.00000000,1054022.00000000,1023767.00000000,1045463.00000000,0.18441500,1720569599999,192294.08292400,82,0.05062900,52860.84432400,0
2024-07-10,1043360.00000000,1072308.00000000,1021638.00000000,1035056.00000000,0.27600800,1720655999999,286193.73441900,166,0.14234800,147715.29032500,0
2024-07-11,1030782.00000000,1062000.00000000,1018784.00000000,1020931.00000000,0.27012100,1720742399999,278834.38522400,211,0.12138500,125644.58362800,0
2024-07-12,1022828.00000000,1043132.00000000,1016004.00000000,1035689.00000000,0.24180800,1720828799999,248437.35468300,233,0.14399400,148021.21218900,0
2024-07-13,1032647.00000000,1056500.00000000,1020174.00000000,1049983.00000000,0.59630900,1720915199999,619084.21563100,344,0.25080600,262059.33512800,0
2024-07-14,1050041.00000000,1088700.00000000,1050041.00000000,1084218.00000000,0.32992300,1721001599999,351687.58704000,242,0.15127200,161368.78941700,0
2024-07-15,1084218.00000000,1181402.00000000,1078473.00000000,1161097.00000000,1.24387100,1721087999999,1409607.31838100,480,0.86378300,986366.47733200,0
2024-07-16,1161097.00000000,1164449.00000000,1113123.00000000,1151001.00000000,0.31145600,1721174399999,356281.11972600,159,0.19546800,223830.60866800,0
2024-07-17,1148707.00000000,1178588.00000000,1140000.00000000,1140000.00000000,0.86658900,1721260799999,1006795.10212500,309,0.39673200,462604.36286900,0
2024-07-18,1140001.00000000,1162609.00000000,1134267.00000000,1148538.00000000,0.41399500,1721347199999,475473.64778800,499,0.22233400,255581.94251600,0
2024-07-19,1148537.00000000,1209935.00000000,1141394.00000000,1186626.00000000,2.10820300,1721433599999,2488471.28647700,1243,0.94298100,1119052.32998800,0
2024-07-20,1188251.00000000,1215470.00000000,1092077.00000000,1188771.00000000,4.26473800,1721519999999,4957172.21028300,1855,1.88561500,2188758.15518300,0
2024-07-21,1194363.00000000,1223602.00000000,1173843.00000000,1210015.00000000,0.67546300,1721606399999,808515.91600600,747,0.30987300,370382.00967600,0
2024-07-22,1209450.00000000,1223601.00000000,1173845.00000000,1212050.00000000,0.65707900,1721692799999,791673.50522400,707,0.28077200,338603.54644400,0
2024-07-23,1203909.00000000,1222639.00000000,1188052.00000000,1212938.00000000,1.03567300,1721779199999,1248270.35738400,892,0.49647700,599112.18246700,0
2024-07-24,1212938.00000000,1232376.00000000,1189633.00000000,1199985.00000000,1.09786800,1721865599999,1329654.74446700,1007,0.45819900,555640.34041200,0
2024-07-25,1205969.00000000,1225813.00000000,1170116.00000000,1219145.00000000,0.89715200,1721951999999,1072643.84429900,548,0.48052200,576756.43982700,0
2024-07-26,1221000.00000000,1252946.00000000,1021026.00000000,1236927.00000000,0.73557200,1722038399999,896244.70092200,400,0.24549600,304190.17581000,0
2024-07-27,1242270.00000000,1270000.00000000,1224197.00000000,1241449.00000000,0.64905800,1722124799999,815820.89379000,292,0.49717800,626288.86765000,0
2024-07-28,1241401.00000000,1262358.00000000,1230078.00000000,1248141.00000000,0.23996300,1722211199999,298287.61211400,166,0.10567300,131552.58410700,0
2024-07-29,1250095.00000000,1273643.00000000,1222000.00000000,1241574.00000000,1.06155600,1722297599999,1328366.00261500,856,0.55522000,697588.35534500,0
2024-07-30,1240550.00000000,1251765.00000000,1228000.00000000,1247452.00000000,0.44509500,1722383999999,551986.89898300,254,0.18215200,226238.06158300,0
2024-07-31,1241401.00000000,1251939.00000000,1206716.00000000,1209000.00000000,0.64854500,1722470399999,796168.66733700,301,0.15780500,195462.68537200,0
