timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-04-01,414.10000000,417.50000000,397.31000000,402.00000000,107360.39000000,1585785599999,44077684.06810000,2396,42249.98000000,17399710.10480000,0
2020-04-02,401.52000000,410.29000000,391.17000000,397.31000000,593725.75000000,1585871999999,237793584.86570000,16098,283555.62000000,113747534.32560000,0
2020-04-03,397.31000000,410.00000000,391.17000000,401.48000000,737433.38000000,1585958399999,295135108.33560000,19182,427810.57000000,171589285.41090000,0
2020-04-04,401.45000000,405.94000000,395.60000000,399.90000000,1072541.30000000,1586044799999,429733724.73540000,22504,643130.77000000,258044282.98980000,0
2020-04-05,399.89000000,405.00000000,397.00000000,402.59000000,848356.15000000,1586131199999,340268182.28090000,17049,502992.32000000,201945379.71050000,0
2020-04-06,402.21000000,408.98000000,395.64000000,405.10000000,1337951.72000000,1586217599999,537769346.35220000,26687,774068.75000000,311488874.21930000,0
2020-04-07,404.97000000,410.50000000,400.31000000,407.40000000,1039851.85000000,1586303999999,420861064.88490000,23981,602352.28000000,244078236.60340000,0
2020-04-08,407.40000000,411.89000000,402.69000000,407.90000000,1599202.52000000,1586390399999,652957928.99850000,38628,856024.23000000,349839811.53340000,0
2020-04-09,407.90000000,411.74000000,405.08000000,408.00000000,1100078.11000000,1586476799999,449546245.23210000,21503,597651.66000000,244445408.09220000,0
2020-04-10,408.00000000,415.82000000,401.52000000,406.99000000,1403578.65000000,1586563199999,574194335.25240000,26683,814397.69000000,333422047.24330000,0
2020-04-11,406.98000000,409.50000000,402.00000000,402.94000000,958959.02000000,1586649599999,388952590.28820000,21100,539241.96000000,218785188.85020000,0
2020-04-12,402.94000000,410.00000000,399.89000000,409.26000000,939053.47000000,1586735999999,379432477.84360000,23825,544499.42000000,220138384.27400000,0
2020-04-13,409.25000000,415.63000000,402.78000000,406.39000000,813240.10000000,1586822399999,333079797.67250000,24179,439229.62000000,180088554.03280000,0
2020-04-14,406.04000000,407.76000000,401.80000000,403.66000000,952382.07000000,1586908799999,385077271.72630000,28832,511352.82000000,206937622.00960000,0
2020-04-15,404.18000000,407.00000000,402.00000000,404.94000000,689133.99000000,1586995199999,278732232.86730000,12784,459129.14000000,185811658.27390000,0
2020-04-16,404.94000000,406.00000000,394.71000000,397.00000000,363227.51000000,1587081599999,145550040.49490000,5501,145184.32000000,58252658.64120000,0
2020-04-17,396.70000000,401.66000000,396.12000000,401.25000000,218431.77000000,1587167999999,87346625.28340000,1747,134430.12000000,53778397.92250000,0
2020-04-18,401.24000000,401.24000000,397.50000000,398.50000000,185876.70000000,1587254399999,74220873.59490000,1753,77338.68000000,30907722.30750000,0
2020-04-19,398.47000000,404.94000000,398.47000000,401.17000000,106309.78000000,1587340799999,42543828.34980000,1146,73822.49000000,29542766.57050000,0
2020-04-20,401.24000000,412.51000000,400.11000000,408.98000000,209499.66000000,1587427199999,84941338.90840000,3443,145310.83000000,58981373.46430000,0
2020-04-21,408.98000000,416.00000000,406.94000000,414.36000000,110914.92000000,1587513599999,45676392.41020000,2101,64035.50000000,26374804.70490000,0
2020-04-22,414.00000000,425.00000000,411.53000000,416.26000000,228923.21000000,1587599999999,95551482.15650000,1783,135378.19000000,56525118.21160000,0
2020-04-23,416.26000000,424.30000000,413.86000000,417.23000000,313224.07000000,1587686399999,130950063.88530000,3022,140154.71000000,58619801.66270000,0
2020-04-24,417.23000000,428.21000000,415.48000000,422.15000000,191553.17000000,1587772799999,80452206.78830000,2531,143735.30000000,60466616.76260000,0
2020-04-25,422.88000000,443.23000000,421.32000000,426.25000000,238578.02000000,1587859199999,102631506.27450000,2075,101584.89000000,43387392.86750000,0
2020-04-26,426.25000000,435.50000000,425.50000000,429.84000000,118937.24000000,1587945599999,50971220.51020000,1052,70969.83000000,30436721.52820000,0
2020-04-27,429.80000000,449.78000000,429.23000000,444.32000000,267635.26000000,1588031999999,117963906.00890000,1590,183393.53000000,81012582.13220000,0
2020-04-28,444.32000000,459.44000000,444.32000000,455.19000000,140992.64000000,1588118399999,64099292.03700000,1542,63804.19000000,28882046.37890000,0
2020-04-29,455.19000000,458.20000000,422.63000000,430.45000000,505328.62000000,1588204799999,226599216.39710000,5546,204184.60000000,92027286.69020000,0
2020-04-30,430.40000000,435.08000000,378.12000000,379.26000000,591303.23000000,1588291199999,244059352.39990000,6369,194097.54000000,80778740.66380000,0
