timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-10-01,4.39200000,4.40700000,4.38700000,4.39200000,9865.00000000,1696204799999,43329.11600000,52,3808.00000000,16735.98800000,0
2023-10-02,4.38800000,4.41900000,4.35600000,4.41800000,27052.00000000,1696291199999,118511.96900000,150,10956.00000000,48087.73400000,0
2023-10-03,4.42200000,4.44800000,4.40200000,4.43700000,14081.00000000,1696377599999,62377.86900000,106,7867.00000000,34851.37000000,0
2023-10-04,4.43700000,4.46300000,4.37500000,4.39800000,71552.00000000,1696463999999,314474.41200000,210,61270.00000000,269148.84100000,0
2023-10-05,4.40300000,4.40300000,4.38000000,4.38100000,12630.00000000,1696550399999,55430.52200000,109,5880.00000000,25811.18200000,0
2023-10-06,4.38300000,4.40200000,4.34300000,4.35500000,49222.00000000,1696636799999,215695.14100000,156,32794.00000000,143894.61700000,0
2023-10-07,4.35400000,4.35600000,4.34600000,4.35200000,9145.00000000,1696723199999,39779.77800000,69,2762.00000000,12016.62900000,0
2023-10-08,4.35100000,4.36000000,4.34300000,4.35600000,35723.00000000,1696809599999,155401.08800000,110,3382.00000000,14724.96900000,0
2023-10-09,4.35200000,4.37000000,4.33400000,4.34200000,64103.00000000,1696895999999,279227.20900000,236,51227.00000000,223279.17800000,0
2023-10-10,4.33700000,4.33800000,4.29300000,4.30700000,72337.00000000,1696982399999,311736.75200000,192,59212.00000000,255037.89300000,0
2023-10-11,4.30700000,4.30900000,4.27400000,4.29000000,34632.00000000,1697068799999,148751.25300000,157,26376.00000000,113362.30400000,0
2023-10-12,4.28700000,4.33500000,4.28000000,4.33100000,17713.00000000,1697155199999,76143.91000000,127,11115.00000000,47796.65000000,0
2023-10-13,4.34300000,4.34300000,4.31900000,4.34300000,16006.00000000,1697241599999,69349.66300000,115,9524.00000000,41281.35200000,0
2023-10-14,4.34400000,4.34700000,4.33500000,4.34500000,6156.00000000,1697327999999,26722.23200000,42,3169.00000000,13763.22800000,0
2023-10-15,4.34500000,4.34700000,4.26200000,4.26200000,161411.00000000,1697414399999,694557.14800000,175,99631.00000000,428613.32400000,0
2023-10-16,4.25500000,4.29800000,4.23900000,4.24600000,72132.00000000,1697500799999,307519.17600000,215,56808.00000000,242202.36400000,0
2023-10-17,4.24900000,4.25200000,4.19800000,4.20400000,24860.00000000,1697587199999,104899.40600000,125,14752.00000000,62237.94100000,0
2023-10-18,4.21000000,4.25700000,4.21000000,4.25300000,26011.00000000,1697673599999,110072.69900000,151,13113.00000000,55541.43200000,0
2023-10-19,4.25500000,4.26000000,4.22200000,4.25200000,23558.00000000,1697759999999,99869.96500000,108,16045.00000000,68059.00100000,0
2023-10-20,4.24000000,4.25200000,4.22700000,4.25000000,23887.00000000,1697846399999,101231.56300000,153,16401.00000000,69506.16100000,0
2023-10-21,4.24400000,4.25400000,4.23300000,4.25000000,3830.00000000,1697932799999,16244.13900000,33,1916.00000000,8136.28800000,0
2023-10-22,4.24700000,4.25500000,4.23900000,4.24400000,8727.00000000,1698019199999,37053.44200000,54,4320.00000000,18354.62700000,0
2023-10-23,4.24400000,4.27200000,4.20300000,4.23400000,130249.00000000,1698105599999,550880.62000000,327,103234.00000000,436725.71600000,0
2023-10-24,4.22600000,4.23600000,4.19200000,4.22600000,238605.00000000,1698191999999,1007251.20100000,407,219732.00000000,927762.94100000,0
2023-10-25,4.22600000,4.26200000,4.22100000,4.25100000,68491.00000000,1698278399999,290710.05200000,274,52008.00000000,220681.00000000,0
2023-10-26,4.25000000,4.26900000,4.22800000,4.24300000,75677.00000000,1698364799999,322056.03100000,241,18725.00000000,79620.93100000,0
2023-10-27,4.24400000,4.26600000,4.23400000,4.25900000,30374.00000000,1698451199999,129121.63400000,108,26720.00000000,113598.97100000,0
2023-10-28,4.25700000,4.26600000,4.23900000,4.26600000,31752.00000000,1698537599999,135094.57000000,79,23767.00000000,101111.23400000,0
2023-10-29,4.26100000,4.27400000,4.24700000,4.26500000,52845.00000000,1698623999999,225122.49500000,135,23236.00000000,99042.86900000,0
2023-10-30,4.26100000,4.26100000,4.21300000,4.22200000,40794.00000000,1698710399999,172517.63300000,157,12463.00000000,52741.50500000,0
2023-10-31,4.22500000,4.24800000,4.18100000,4.23900000,14732.00000000,1698796799999,61987.07900000,125,6349.00000000,26782.52600000,0
