timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-01,4.55400000,4.56800000,4.50500000,4.56800000,44638.00000000,1682985599999,202710.94600000,264,26313.00000000,119720.80700000,0
2023-05-02,4.56700000,4.56900000,4.50500000,4.52500000,63905.00000000,1683071999999,289346.43600000,825,26648.00000000,120942.97400000,0
2023-05-03,4.51100000,4.51500000,4.48000000,4.49800000,70988.00000000,1683158399999,319469.59000000,536,49936.00000000,224858.71400000,0
2023-05-04,4.49800000,4.52200000,4.47200000,4.51000000,41467.00000000,1683244799999,186600.88800000,343,16084.00000000,72421.09700000,0
2023-05-05,4.50300000,4.52700000,4.48200000,4.50700000,42922.00000000,1683331199999,193157.80800000,211,24022.00000000,108070.62400000,0
2023-05-06,4.50800000,4.54100000,4.49400000,4.53700000,30490.00000000,1683417599999,137875.45900000,179,23783.00000000,107642.14700000,0
2023-05-07,4.54700000,4.55900000,4.53000000,4.55800000,28946.00000000,1683503999999,131706.31000000,193,25522.00000000,116142.88400000,0
2023-05-08,4.55800000,4.55900000,4.49100000,4.53400000,96047.00000000,1683590399999,434307.41300000,940,47455.00000000,215201.35800000,0
2023-05-09,4.54100000,4.54900000,4.50900000,4.53300000,45909.00000000,1683676799999,207795.16600000,368,24740.00000000,112150.36800000,0
2023-05-10,4.53000000,4.56100000,4.51500000,4.53100000,36400.00000000,1683763199999,165122.54200000,374,24281.00000000,110223.54800000,0
2023-05-11,4.53000000,4.57700000,4.51900000,4.56200000,56236.00000000,1683849599999,256345.47300000,497,38808.00000000,177038.84900000,0
2023-05-12,4.56200000,4.60900000,4.54200000,4.60900000,40926.00000000,1683935999999,187089.60600000,511,23222.00000000,106280.43400000,0
2023-05-13,4.60900000,4.62700000,4.58600000,4.59200000,20212.00000000,1684022399999,93157.06900000,141,15850.00000000,73073.77800000,0
2023-05-14,4.58900000,4.63700000,4.58100000,4.62000000,13495.00000000,1684108799999,62380.45500000,142,10602.00000000,49059.85400000,0
2023-05-15,4.62900000,4.63800000,4.56700000,4.58500000,64469.00000000,1684195199999,295988.66700000,628,30331.00000000,139575.11700000,0
2023-05-16,4.57200000,4.61500000,4.56600000,4.59200000,37248.00000000,1684281599999,170664.19700000,349,12420.00000000,56974.83700000,0
2023-05-17,4.59100000,4.62700000,4.57900000,4.61500000,36445.00000000,1684367999999,167983.97400000,420,16421.00000000,75774.74100000,0
2023-05-18,4.61500000,4.65100000,4.60700000,4.64200000,29453.00000000,1684454399999,136551.73400000,278,20487.00000000,95054.77000000,0
2023-05-19,4.64300000,4.65900000,4.62500000,4.64800000,28310.00000000,1684540799999,131432.98500000,267,15719.00000000,73117.32400000,0
2023-05-20,4.65400000,4.67300000,4.63000000,4.66000000,44732.00000000,1684627199999,208443.57800000,233,34749.00000000,162045.06400000,0
2023-05-21,4.65900000,4.66700000,4.62800000,4.64600000,31413.00000000,1684713599999,146349.90000000,199,26082.00000000,121579.73900000,0
2023-05-22,4.64600000,4.66100000,4.62400000,4.66000000,32764.00000000,1684799999999,152065.10300000,245,15908.00000000,73906.83800000,0
2023-05-23,4.66000000,4.67200000,4.63600000,4.66500000,52812.00000000,1684886399999,245730.18600000,257,31523.00000000,146916.86600000,0
2023-05-24,4.68100000,4.68600000,4.64100000,4.65700000,31693.00000000,1684972799999,147799.95700000,227,25298.00000000,118078.35400000,0
2023-05-25,4.65400000,4.71300000,4.64100000,4.68200000,34384.00000000,1685059199999,161105.33800000,330,25518.00000000,119745.87000000,0
2023-05-26,4.68000000,4.71300000,4.63500000,4.64000000,51394.00000000,1685145599999,240219.52000000,367,29205.00000000,136652.28800000,0
2023-05-27,4.64200000,4.67200000,4.64200000,4.67200000,6256.00000000,1685231999999,29123.95100000,110,4291.00000000,19989.97700000,0
2023-05-28,4.67000000,4.69400000,4.65600000,4.69300000,20907.00000000,1685318399999,97688.28400000,231,12689.00000000,59355.58800000,0
2023-05-29,4.69200000,4.69600000,4.64400000,4.69600000,19359.00000000,1685404799999,90447.08900000,226,12529.00000000,58606.65400000,0
2023-05-30,4.69600000,4.70900000,4.66200000,4.70000000,40862.00000000,1685491199999,191460.47700000,434,27726.00000000,130141.61500000,0
2023-05-31,4.69800000,4.74200000,4.66800000,4.66800000,69262.00000000,1685577599999,326268.48400000,690,38372.00000000,181157.80500000,0
