timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-01,143.20000000,146.30000000,135.10000000,143.90000000,2141.65000000,1722556799999,300372.92800000,1901,1139.93000000,160093.86000000,0
2024-08-02,143.40000000,144.00000000,130.60000000,131.60000000,2494.62000000,1722643199999,341845.21900000,1328,1226.19000000,167947.69100000,0
2024-08-03,131.80000000,134.90000000,126.30000000,130.60000000,2417.95000000,1722729599999,314237.77000000,1421,1266.52000000,164678.97700000,0
2024-08-04,130.30000000,131.90000000,121.00000000,124.00000000,3109.11000000,1722815999999,392227.20800000,1751,1483.64000000,187199.69900000,0
2024-08-05,124.30000000,126.50000000,91.40000000,118.50000000,8791.64000000,1722902399999,1003578.56000000,4519,4317.36000000,490645.57700000,0
2024-08-06,119.10000000,128.40000000,119.10000000,123.20000000,2496.26000000,1722988799999,308991.38600000,2249,1265.24000000,156206.37500000,0
2024-08-07,122.80000000,126.10000000,118.30000000,120.00000000,2179.50000000,1723075199999,266965.61200000,2018,1036.39000000,126968.36800000,0
2024-08-08,120.40000000,131.80000000,118.50000000,131.00000000,1448.43000000,1723161599999,182162.52200000,1687,758.82000000,95366.16700000,0
2024-08-09,131.00000000,131.00000000,124.50000000,127.70000000,1082.63000000,1723247999999,137590.31400000,1228,487.75000000,61989.26600000,0
2024-08-10,128.20000000,133.10000000,126.20000000,131.10000000,790.91000000,1723334399999,102903.77300000,737,472.28000000,61575.56800000,0
2024-08-11,130.70000000,132.60000000,120.30000000,121.50000000,902.48000000,1723420799999,114873.97800000,1076,434.44000000,55151.32200000,0
2024-08-12,121.50000000,127.70000000,119.60000000,125.00000000,1714.88000000,1723507199999,213362.40800000,2134,864.61000000,107515.52800000,0
2024-08-13,124.60000000,126.80000000,121.40000000,126.20000000,750.97000000,1723593599999,93154.60300000,772,377.57000000,46887.91300000,0
2024-08-14,126.20000000,126.90000000,122.10000000,122.80000000,664.37000000,1723679999999,82622.80800000,869,325.16000000,40355.48500000,0
2024-08-15,122.60000000,124.90000000,117.20000000,118.80000000,798.25000000,1723766399999,96954.27400000,1016,377.85000000,45724.60900000,0
2024-08-16,118.10000000,119.20000000,114.80000000,117.30000000,1117.45000000,1723852799999,130969.54900000,1139,592.09000000,69429.88300000,0
2024-08-17,117.20000000,118.70000000,116.90000000,117.50000000,350.75000000,1723939199999,41294.99200000,387,161.56000000,19018.41100000,0
2024-08-18,117.40000000,120.80000000,116.80000000,119.20000000,364.90000000,1724025599999,43477.83900000,501,166.01000000,19770.61900000,0
2024-08-19,118.70000000,122.10000000,118.00000000,121.50000000,669.91000000,1724111999999,80470.57500000,721,349.72000000,41982.84400000,0
2024-08-20,121.10000000,128.50000000,119.80000000,121.70000000,462.93000000,1724198399999,56550.02500000,255,231.97000000,28359.17400000,0
2024-08-21,121.70000000,129.70000000,121.30000000,125.90000000,607.85000000,1724284799999,75572.79600000,468,297.86000000,37041.59200000,0
2024-08-22,125.90000000,129.50000000,124.50000000,127.80000000,559.01000000,1724371199999,71275.60000000,241,266.72000000,34021.02700000,0
2024-08-23,127.80000000,140.00000000,127.60000000,136.00000000,1043.87000000,1724457599999,138526.33300000,594,512.02000000,67723.23800000,0
2024-08-24,136.10000000,149.80000000,136.10000000,144.70000000,2251.87000000,1724543999999,322703.98000000,1459,1189.53000000,169982.25800000,0
2024-08-25,144.90000000,145.70000000,137.30000000,142.40000000,1413.41000000,1724630399999,200407.88000000,847,675.92000000,95665.62600000,0
2024-08-26,141.80000000,144.00000000,136.00000000,136.00000000,1496.44000000,1724716799999,210401.51900000,1337,750.12000000,105527.94600000,0
2024-08-27,136.40000000,139.20000000,123.80000000,126.50000000,1464.69000000,1724803199999,193897.22700000,1735,735.64000000,97041.57800000,0
2024-08-28,125.60000000,129.70000000,122.10000000,126.10000000,1655.79000000,1724889599999,208142.05000000,1435,829.93000000,104250.64100000,0
2024-08-29,125.70000000,136.10000000,125.60000000,131.40000000,1565.71000000,1724975999999,204199.71500000,1388,763.21000000,99269.84100000,0
2024-08-30,131.50000000,134.30000000,127.00000000,134.20000000,2180.30000000,1725062399999,285571.89400000,1993,1036.38000000,135826.93200000,0
2024-08-31,134.80000000,149.30000000,129.00000000,129.70000000,1013.19000000,1725148799999,135285.14400000,403,495.51000000,66040.34900000,0
