timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-08-01,20.70000000,21.61000000,20.24000000,21.37000000,18269.20000000,1659398399999,385804.16800000,139,7991.40000000,169303.24900000,0
2022-08-02,21.53000000,21.54000000,19.58000000,20.35000000,9958.20000000,1659484799999,205557.65500000,72,5316.20000000,111208.12400000,0
2022-08-03,20.00000000,21.40000000,19.61000000,20.85000000,5278.10000000,1659571199999,110421.53900000,55,3419.20000000,71871.22000000,0
2022-08-04,21.29000000,22.95000000,20.92000000,22.45000000,24660.20000000,1659657599999,539788.12100000,130,17033.30000000,373107.41700000,0
2022-08-05,22.62000000,23.99000000,22.05000000,23.15000000,13856.00000000,1659743999999,316044.63000000,98,6661.20000000,152219.85700000,0
2022-08-06,22.82000000,23.70000000,22.20000000,22.25000000,6208.40000000,1659830399999,142497.76100000,74,2768.70000000,63547.29500000,0
2022-08-07,22.20000000,23.15000000,21.83000000,22.61000000,6734.20000000,1659916799999,151572.46400000,56,3607.30000000,81587.27900000,0
2022-08-08,23.15000000,24.00000000,22.75000000,23.67000000,7488.80000000,1660003199999,175510.30900000,63,2761.40000000,64961.30100000,0
2022-08-09,23.88000000,24.51000000,21.51000000,22.99000000,18397.30000000,1660089599999,416869.13800000,129,10448.70000000,236755.17600000,0
2022-08-10,22.47000000,25.69000000,21.76000000,24.65000000,55547.80000000,1660175999999,1371810.60700000,261,38786.60000000,957132.51200000,0
2022-08-11,25.17000000,25.50000000,23.70000000,23.70000000,16440.90000000,1660262399999,401388.91800000,99,10327.90000000,252848.61900000,0
2022-08-12,24.25000000,25.05000000,23.28000000,25.00000000,78903.40000000,1660348799999,1922556.49000000,105,40913.70000000,1000283.83900000,0
2022-08-13,25.09000000,26.19000000,24.60000000,24.84000000,8222.60000000,1660435199999,208548.16300000,81,3942.40000000,100318.35600000,0
2022-08-14,24.85000000,25.50000000,23.48000000,24.30000000,1397996.80000000,1660521599999,34578566.16000000,728,718518.40000000,17919929.57000000,0
2022-08-15,23.92000000,25.05000000,22.67000000,23.15000000,13215.70000000,1660607999999,309177.78700000,101,3743.50000000,88804.13200000,0
2022-08-16,23.14000000,23.15000000,22.42000000,22.77000000,1430.20000000,1660694399999,32336.74300000,20,739.60000000,16771.26400000,0
2022-08-17,22.61000000,23.15000000,20.90000000,20.90000000,2076.30000000,1660780799999,45022.25100000,47,460.80000000,9974.04900000,0
2022-08-18,21.40000000,21.90000000,19.89000000,19.89000000,2710.50000000,1660867199999,57943.57200000,46,1388.50000000,30015.52500000,0
2022-08-19,19.91000000,20.14000000,17.90000000,17.96000000,9034.70000000,1660953599999,170143.69000000,73,1413.90000000,26670.88400000,0
2022-08-20,18.08000000,18.91000000,17.34000000,17.91000000,1176.20000000,1661039999999,21394.01100000,36,490.60000000,8910.21900000,0
2022-08-21,17.96000000,19.43000000,17.73000000,18.35000000,215132.10000000,1661126399999,4090186.70500000,132,178146.50000000,3410232.70300000,0
2022-08-22,18.11000000,18.14000000,17.09000000,17.59000000,12040.70000000,1661212799999,211916.26900000,69,3711.10000000,65512.91800000,0
2022-08-23,17.72000000,18.50000000,17.50000000,18.42000000,6674.40000000,1661299199999,120620.28600000,44,3886.60000000,70406.04700000,0
2022-08-24,18.40000000,19.01000000,15.83000000,18.20000000,6322011.40000000,1661385599999,114898977.48300000,1046,3290264.30000000,60263319.34400000,0
2022-08-25,18.55000000,19.69000000,18.32000000,18.79000000,21141.20000000,1661471999999,396985.86600000,111,12839.50000000,241891.06500000,0
2022-08-26,18.41000000,18.48000000,16.39000000,16.39000000,12207.30000000,1661558399999,212976.80700000,128,3339.40000000,59804.93200000,0
2022-08-27,16.70000000,17.14000000,16.30000000,16.62000000,23675.80000000,1661644799999,395403.22200000,101,13910.20000000,232701.25000000,0
2022-08-28,16.76000000,17.00000000,16.13000000,16.13000000,20578.10000000,1661731199999,340501.73000000,68,17389.50000000,287540.58200000,0
2022-08-29,16.13000000,18.00000000,15.84000000,17.52000000,20406.10000000,1661817599999,346224.90700000,157,11383.80000000,194954.31100000,0
2022-08-30,17.30000000,17.82000000,16.30000000,16.62000000,10828.30000000,1661903999999,183993.17900000,81,3995.30000000,68089.55800000,0
2022-08-31,17.06000000,17.47000000,16.48000000,16.48000000,31431.10000000,1661990399999,533108.74100000,115,17249.40000000,293200.27600000,0
