timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-06-01,847.00000000,852.00000000,819.00000000,819.00000000,152.97400000,1685663999999,128573.39300000,63,101.09300000,85690.20300000,0
2023-06-02,819.00000000,857.00000000,811.00000000,838.00000000,82.98200000,1685750399999,69244.13500000,69,25.49400000,21462.35300000,0
2023-06-03,837.00000000,877.00000000,836.00000000,863.00000000,39.17900000,1685836799999,33545.95200000,53,27.21900000,23324.62100000,0
2023-06-04,860.00000000,862.00000000,845.00000000,845.00000000,104.09700000,1685923199999,89190.06200000,40,40.86300000,35162.66600000,0
2023-06-05,844.00000000,844.00000000,737.00000000,765.00000000,498.17200000,1686009599999,397948.22500000,179,210.91700000,169147.41500000,0
2023-06-06,768.00000000,795.00000000,748.00000000,795.00000000,273.10800000,1686095999999,207012.89700000,87,62.89700000,48662.76300000,0
2023-06-07,791.00000000,791.00000000,730.00000000,736.00000000,204.59700000,1686182399999,153375.74200000,108,23.56100000,17842.66300000,0
2023-06-08,739.00000000,752.00000000,725.00000000,746.00000000,133.21600000,1686268799999,98838.64800000,54,111.94900000,83201.37000000,0
2023-06-09,743.00000000,765.00000000,737.00000000,747.00000000,64.94200000,1686355199999,48703.27800000,41,13.62800000,10244.66300000,0
2023-06-10,740.00000000,740.00000000,572.00000000,643.00000000,1290.48600000,1686441599999,813546.15200000,312,553.36600000,347695.48700000,0
2023-06-11,637.00000000,655.00000000,630.00000000,647.00000000,17.49600000,1686527999999,11285.44300000,24,10.92800000,7049.94800000,0
2023-06-12,647.00000000,656.00000000,624.00000000,656.00000000,127.44400000,1686614399999,81352.05900000,53,52.92800000,34044.14100000,0
2023-06-13,657.00000000,680.00000000,650.00000000,666.00000000,137.46600000,1686700799999,90919.13400000,60,71.48000000,47523.40100000,0
2023-06-14,671.00000000,676.00000000,626.00000000,635.00000000,309.15900000,1686787199999,201292.64600000,77,76.25100000,48734.91200000,0
2023-06-15,640.00000000,676.00000000,640.00000000,667.00000000,348.58100000,1686873599999,229431.28800000,93,219.99300000,145182.66100000,0
2023-06-16,663.00000000,672.00000000,650.00000000,666.00000000,41.17600000,1686959999999,27249.74800000,30,7.29800000,4839.84800000,0
2023-06-17,661.00000000,680.00000000,661.00000000,668.00000000,1028.66900000,1687046399999,692890.53100000,48,172.09500000,114283.85400000,0
2023-06-18,660.00000000,670.00000000,648.00000000,651.00000000,57.27800000,1687132799999,37836.12700000,42,21.22000000,14143.46600000,0
2023-06-19,652.00000000,666.00000000,651.00000000,666.00000000,250.58700000,1687219199999,164869.85100000,34,178.43200000,117729.37700000,0
2023-06-20,661.00000000,698.00000000,651.00000000,688.00000000,965.32300000,1687305599999,667105.33900000,50,845.97200000,586521.38900000,0
2023-06-21,696.00000000,810.00000000,693.00000000,762.00000000,2333.42400000,1687391999999,1794686.51700000,203,1805.59900000,1384206.75700000,0
2023-06-22,771.00000000,787.00000000,708.00000000,708.00000000,566.85400000,1687478399999,423992.12800000,123,218.95500000,168103.15000000,0
2023-06-23,711.00000000,794.00000000,711.00000000,779.00000000,612.24400000,1687564799999,469336.80100000,136,357.87000000,275186.51000000,0
2023-06-24,785.00000000,800.00000000,750.00000000,775.00000000,198.78500000,1687651199999,153111.76800000,84,82.53700000,63965.44700000,0
2023-06-25,769.00000000,789.00000000,763.00000000,773.00000000,40.87000000,1687737599999,31977.88100000,30,33.37000000,26169.55700000,0
2023-06-26,767.00000000,780.00000000,735.00000000,750.00000000,173.13600000,1687823999999,131279.16900000,95,42.84500000,33039.37300000,0
2023-06-27,753.00000000,794.00000000,747.00000000,779.00000000,120.32600000,1687910399999,93084.53300000,42,111.81700000,86583.66500000,0
2023-06-28,764.00000000,769.00000000,713.00000000,728.00000000,284.35200000,1687996799999,210404.45400000,105,40.09500000,29814.16200000,0
2023-06-29,732.00000000,780.00000000,732.00000000,762.00000000,830.31900000,1688083199999,634859.18900000,68,784.45700000,599573.90100000,0
2023-06-30,756.00000000,873.00000000,750.00000000,845.00000000,923.75100000,1688169599999,764766.43300000,276,449.73400000,371402.82800000,0
