timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-03-01,75.59000000,75.96000000,75.35000000,75.93000000,1080195.00000000,1677715199999,81820678.92000000,9946,617278.00000000,46766253.82000000,0
2023-03-02,75.93000000,76.50000000,75.79000000,76.23000000,1014970.00000000,1677801599999,77399328.74000000,8577,602265.00000000,45927465.37000000,0
2023-03-03,76.23000000,77.28000000,76.23000000,76.82000000,1317342.00000000,1677887999999,101415758.87000000,10368,718845.00000000,55329989.99000000,0
2023-03-04,76.82000000,77.35000000,76.77000000,77.15000000,634738.00000000,1677974399999,48964947.29000000,6071,351227.00000000,27098173.96000000,0
2023-03-05,77.17000000,77.37000000,77.00000000,77.22000000,594956.00000000,1678060799999,45924911.80000000,6010,310889.00000000,24000363.69000000,0
2023-03-06,77.22000000,77.34000000,77.00000000,77.12000000,746758.00000000,1678147199999,57620475.65000000,6368,406396.00000000,31357778.60000000,0
2023-03-07,77.07000000,77.35000000,77.00000000,77.24000000,697044.00000000,1678233599999,53798936.73000000,6499,352297.00000000,27194644.81000000,0
2023-03-08,77.24000000,77.65000000,77.23000000,77.53000000,633770.00000000,1678319999999,49026564.18000000,6699,333636.00000000,25810195.29000000,0
2023-03-09,77.53000000,77.68000000,77.12000000,77.64000000,1031982.00000000,1678406399999,79850451.51000000,8599,574638.00000000,44477801.64000000,0
2023-03-10,77.65000000,78.02000000,77.48000000,77.91000000,1248345.00000000,1678492799999,97108415.24000000,9435,686199.00000000,53387941.40000000,0
2023-03-11,77.91000000,78.29000000,77.69000000,77.82000000,1166152.00000000,1678579199999,91002696.10000000,8753,581574.00000000,45392118.17000000,0
2023-03-12,77.83000000,78.12000000,77.09000000,77.35000000,791526.00000000,1678665599999,61588556.86000000,7233,372811.00000000,29017139.08000000,0
2023-03-13,77.35000000,77.51000000,75.48000000,75.89000000,1804079.00000000,1678751999999,137704311.35000000,11560,856880.00000000,65389116.86000000,0
2023-03-14,75.88000000,76.16000000,75.36000000,76.14000000,1389270.00000000,1678838399999,105297040.69000000,9917,766520.00000000,58105866.49000000,0
2023-03-15,76.14000000,77.08000000,75.78000000,76.58000000,1038687.00000000,1678924799999,79566347.91000000,8605,582312.00000000,44598080.21000000,0
2023-03-16,76.58000000,77.70000000,76.55000000,77.06000000,1088586.00000000,1679011199999,83979707.69000000,8646,541534.00000000,41775205.76000000,0
2023-03-17,77.05000000,77.79000000,76.75000000,77.41000000,1385705.00000000,1679097599999,107147409.27000000,11555,746691.00000000,57735825.53000000,0
2023-03-18,77.48000000,77.85000000,77.17000000,77.78000000,993088.00000000,1679183999999,77052512.93000000,9984,592727.00000000,46007624.93000000,0
2023-03-19,77.78000000,77.99000000,77.56000000,77.89000000,754135.00000000,1679270399999,58676584.11000000,7604,412465.00000000,32103254.42000000,0
2023-03-20,77.89000000,78.35000000,77.59000000,78.09000000,1420904.00000000,1679356799999,110714988.10000000,9554,755054.00000000,58830213.51000000,0
2023-03-21,78.08000000,78.19000000,77.54000000,77.82000000,1130044.00000000,1679443199999,87967734.39000000,10198,557637.00000000,43421742.51000000,0
2023-03-22,77.83000000,78.17000000,77.45000000,78.05000000,1310684.00000000,1679529599999,102007099.60000000,11086,713994.00000000,55590321.23000000,0
2023-03-23,78.02000000,78.12000000,76.84000000,77.06000000,1294041.00000000,1679615999999,100172185.27000000,10366,668948.00000000,51781176.74000000,0
2023-03-24,77.06000000,78.09000000,77.02000000,78.07000000,827852.00000000,1679702399999,64339344.81000000,7548,497638.00000000,38687157.39000000,0
2023-03-25,78.07000000,78.19000000,77.57000000,78.09000000,761200.00000000,1679788799999,59361044.09000000,6839,378911.00000000,29561268.29000000,0
2023-03-26,78.09000000,78.20000000,77.72000000,77.92000000,651636.00000000,1679875199999,50868888.89000000,5760,333444.00000000,26036321.77000000,0
2023-03-27,77.92000000,78.20000000,77.41000000,78.06000000,1115254.00000000,1679961599999,86932311.17000000,7886,669873.00000000,52236702.61000000,0
2023-03-28,78.05000000,78.37000000,77.97000000,78.01000000,728461.00000000,1680047999999,56923572.98000000,6626,383222.00000000,29949856.81000000,0
2023-03-29,77.99000000,78.21000000,77.83000000,78.14000000,891920.00000000,1680134399999,69587388.12000000,8535,448816.00000000,35025373.24000000,0
2023-03-30,78.14000000,78.41000000,77.81000000,78.19000000,822870.00000000,1680220799999,64232420.78000000,7717,419572.00000000,32762242.10000000,0
2023-03-31,78.19000000,78.39000000,77.85000000,78.24000000,1060701.00000000,1680307199999,82898572.09000000,8011,510460.00000000,39911856.59000000,0
