timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-01,286.40000000,301.70000000,281.90000000,298.50000000,59481.23000000,1704153599999,17429178.75800000,3765,30531.61000000,8964535.13400000,0
2024-01-02,298.70000000,311.90000000,282.00000000,310.20000000,118511.82000000,1704239999999,36187630.34900000,6187,59134.62000000,18097317.40700000,0
2024-01-03,309.90000000,313.80000000,240.00000000,275.30000000,255916.72000000,1704326399999,72092168.28800000,15203,99035.19000000,27957304.29900000,0
2024-01-04,275.70000000,336.70000000,268.50000000,312.60000000,388295.89000000,1704412799999,122195519.79500000,15477,215164.63000000,67590265.21100000,0
2024-01-05,313.70000000,333.20000000,287.10000000,294.30000000,230496.67000000,1704499199999,71689288.80100000,11019,105211.31000000,32876447.03800000,0
2024-01-06,294.10000000,296.40000000,270.80000000,276.80000000,169718.83000000,1704585599999,47365175.39600000,7892,67101.08000000,18740983.95300000,0
2024-01-07,276.70000000,283.80000000,256.70000000,258.80000000,107514.43000000,1704671999999,29350924.03700000,4990,51552.44000000,14080228.78800000,0
2024-01-08,258.80000000,268.90000000,238.70000000,266.50000000,144075.31000000,1704758399999,37085067.61500000,7060,68364.78000000,17628850.15400000,0
2024-01-09,266.90000000,268.00000000,240.40000000,251.60000000,184383.62000000,1704844799999,46040224.95900000,7276,83721.46000000,20815028.54100000,0
2024-01-10,251.40000000,273.50000000,241.40000000,268.90000000,175703.81000000,1704931199999,45077452.49700000,7860,80643.58000000,20723675.28800000,0
2024-01-11,267.90000000,291.00000000,263.30000000,286.10000000,197827.35000000,1705017599999,55440335.63000000,8935,86045.31000000,24132836.93900000,0
2024-01-12,285.20000000,302.40000000,262.50000000,277.20000000,249543.67000000,1705103999999,72047509.27500000,8559,127231.14000000,36851330.33400000,0
2024-01-13,276.90000000,318.00000000,265.40000000,306.00000000,378668.59000000,1705190399999,114860407.26900000,11704,190689.31000000,58045091.57900000,0
2024-01-14,306.10000000,307.60000000,291.00000000,295.80000000,185383.22000000,1705276799999,55355794.55400000,6418,87335.10000000,26106637.06500000,0
2024-01-15,297.10000000,318.20000000,288.00000000,291.30000000,259916.09000000,1705363199999,79250527.13100000,8136,114999.72000000,35181814.64900000,0
2024-01-16,291.50000000,293.70000000,278.70000000,286.30000000,169797.51000000,1705449599999,48763578.69200000,6113,66187.41000000,19001368.56800000,0
2024-01-17,287.30000000,288.50000000,277.20000000,283.50000000,92687.92000000,1705535999999,26165488.84400000,3558,38109.68000000,10758606.37200000,0
2024-01-18,283.30000000,288.70000000,262.70000000,264.90000000,118998.89000000,1705622399999,32924712.93200000,4774,58554.00000000,16229248.73000000,0
2024-01-19,265.00000000,266.00000000,248.10000000,262.80000000,89713.39000000,1705708799999,23277801.37700000,4075,42176.03000000,10951700.29200000,0
2024-01-20,263.40000000,263.40000000,255.90000000,262.00000000,40684.49000000,1705795199999,10576558.69400000,2105,20462.05000000,5324265.80400000,0
2024-01-21,262.70000000,266.00000000,258.30000000,258.70000000,39474.42000000,1705881599999,10356795.62300000,1351,19560.13000000,5133653.05500000,0
2024-01-22,258.60000000,260.60000000,242.20000000,246.50000000,73415.32000000,1705967999999,18426659.84900000,2914,34521.30000000,8664055.76700000,0
2024-01-23,247.40000000,270.40000000,231.40000000,268.50000000,358608.95000000,1706054399999,91099975.12400000,12950,175828.53000000,44784386.01500000,0
2024-01-24,267.70000000,268.50000000,257.20000000,261.90000000,134731.71000000,1706140799999,35349567.86500000,4874,67181.34000000,17641052.42500000,0
2024-01-25,262.00000000,263.80000000,250.00000000,254.30000000,82182.53000000,1706227199999,20977557.68700000,3747,42688.84000000,10907401.59600000,0
2024-01-26,253.70000000,271.80000000,251.40000000,267.00000000,111903.48000000,1706313599999,29540217.08600000,5117,58876.41000000,15547897.11000000,0
2024-01-27,267.30000000,286.20000000,265.60000000,278.90000000,95778.62000000,1706399999999,26461351.34200000,4308,51315.68000000,14179227.54200000,0
2024-01-28,279.40000000,282.00000000,267.00000000,271.50000000,63904.44000000,1706486399999,17547188.66300000,2555,34329.28000000,9424783.15300000,0
2024-01-29,271.30000000,288.50000000,270.70000000,281.00000000,166805.34000000,1706572799999,46858489.38200000,7076,91464.85000000,25695515.58300000,0
2024-01-30,281.00000000,289.80000000,275.10000000,276.80000000,103981.89000000,1706659199999,29322417.55900000,6327,54950.52000000,15539203.23000000,0
2024-01-31,276.90000000,281.50000000,265.10000000,270.80000000,90509.18000000,1706745599999,24742263.82000000,6769,37095.87000000,10151824.29800000,0
