timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-01,1.27030000,1.27390000,1.19610000,1.20670000,6061336.00000000,1725235199999,7541576.74850000,2665,2651087.00000000,3308021.82510000,0
2024-09-02,1.20770000,1.25590000,1.20100000,1.25120000,6281204.00000000,1725321599999,7729970.12930000,2318,3392730.00000000,4180186.04650000,0
2024-09-03,1.25220000,1.26860000,1.18800000,1.18800000,5735251.00000000,1725407999999,7035798.91450000,2401,2702865.00000000,3333446.55550000,0
2024-09-04,1.18920000,1.23700000,1.12000000,1.22060000,5575078.00000000,1725494399999,6651429.66200000,2034,2907142.00000000,3477659.47060000,0
2024-09-05,1.22140000,1.25300000,1.19210000,1.20690000,7414492.00000000,1725580799999,9069628.93280000,3402,3304714.00000000,4047156.32170000,0
2024-09-06,1.20680000,1.22680000,1.10790000,1.15440000,7642979.00000000,1725667199999,8952982.24410000,3759,3250584.00000000,3814808.57760000,0
2024-09-07,1.15440000,1.19310000,1.14300000,1.16770000,10167077.00000000,1725753599999,11918227.28130000,3210,5633491.00000000,6605231.03490000,0
2024-09-08,1.17450000,1.24170000,1.17450000,1.20540000,18421019.00000000,1725839999999,22336387.20880000,5900,8752256.00000000,10624155.29110000,0
2024-09-09,1.20900000,1.29670000,1.20630000,1.28240000,14119733.00000000,1725926399999,17733108.17060000,4244,8060702.00000000,10104046.25880000,0
2024-09-10,1.27940000,1.30530000,1.26000000,1.29610000,7375991.00000000,1726012799999,9504078.18660000,2837,3957601.00000000,5106653.89180000,0
2024-09-11,1.29100000,1.44000000,1.22680000,1.38050000,109602076.00000000,1726099199999,151641160.52330000,25632,50654173.00000000,70065621.28320000,0
2024-09-12,1.38030000,1.45000000,1.36730000,1.39580000,121296487.00000000,1726185599999,170545738.00780000,31336,61402028.00000000,86173053.23760000,0
2024-09-13,1.39660000,1.42630000,1.36580000,1.41030000,33460206.00000000,1726271999999,46657398.68880000,7899,19146881.00000000,26652981.37730000,0
2024-09-14,1.40450000,1.42660000,1.36510000,1.38880000,21835909.00000000,1726358399999,30526981.28050000,6536,10247366.00000000,14328821.16220000,0
2024-09-15,1.39000000,1.40790000,1.32790000,1.34680000,12999434.00000000,1726444799999,17952210.88820000,3859,6438352.00000000,8896064.47900000,0
2024-09-16,1.34690000,1.35460000,1.30770000,1.33300000,8420635.00000000,1726531199999,11207609.76750000,2674,4528268.00000000,6031718.80140000,0
2024-09-17,1.32890000,1.42000000,1.31970000,1.36900000,39658638.00000000,1726617599999,55006299.85070000,13604,17660220.00000000,24435190.56560000,0
2024-09-18,1.37050000,1.40050000,1.29080000,1.34880000,8753058.00000000,1726703999999,11864356.96220000,4431,5028068.00000000,6837979.97630000,0
