timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-08,593514.00000000,598136.00000000,572942.00000000,583280.00000000,579.23407000,1683590399999,338115960.26334000,47260,254.49295000,148527352.05031000,0
2023-05-09,583316.00000000,584153.00000000,573703.00000000,580618.00000000,298.79801000,1683676799999,172852131.87747000,27236,147.65299000,85440177.32746000,0
2023-05-10,580603.00000000,595356.00000000,566902.00000000,581367.00000000,618.60276000,1683763199999,360204577.94191000,52581,318.19155000,185265227.53230000,0
2023-05-11,581455.00000000,587002.00000000,576079.00000000,584039.00000000,461.09636000,1683849599999,268294602.51751000,41200,247.44414000,144021814.30931000,0
2023-05-12,583983.00000000,598340.00000000,567900.00000000,591087.00000000,589.07186000,1683935999999,342078376.05948000,48637,301.84035000,175704218.99061000,0
2023-05-13,591241.00000000,603314.00000000,580394.00000000,580723.00000000,466.03779000,1684022399999,277302216.81374000,41083,235.49804000,140223561.06714000,0
2023-05-14,580531.00000000,592669.00000000,576835.00000000,582501.00000000,919.90023000,1684108799999,536889641.20379000,62691,449.70137000,262512849.05661000,0
2023-05-15,582554.00000000,594785.00000000,569001.00000000,570080.00000000,705.41371000,1684195199999,410674254.42439000,39965,330.11001000,192277286.75352000,0
2023-05-16,569616.00000000,571216.00000000,549875.00000000,560648.00000000,650.75429000,1684281599999,363660231.30951000,50225,358.28676000,200191180.83478000,0
2023-05-17,560659.00000000,565554.00000000,544849.00000000,562783.00000000,471.20650000,1684367999999,261003474.62210000,38000,249.47274000,138270408.03449000,0
2023-05-18,562774.00000000,565558.00000000,549098.00000000,556808.00000000,407.13168000,1684454399999,227632675.14830000,32186,212.97830000,119038407.59070000,0
2023-05-19,556822.00000000,563538.00000000,554045.00000000,558893.00000000,391.09067000,1684540799999,217952300.35610000,34389,243.81198000,135850698.90420000,0
2023-05-20,558893.00000000,565210.00000000,558021.00000000,564098.00000000,184.51076000,1684627199999,103543406.33413000,23051,111.56697000,62619081.37368000,0
2023-05-21,564222.00000000,567564.00000000,556619.00000000,557475.00000000,174.62867000,1684713599999,98037668.93814000,21227,85.40705000,47969612.55013000,0
2023-05-22,557649.00000000,563669.00000000,553437.00000000,559312.00000000,382.98919000,1684799999999,214206327.72500000,33032,208.15586000,116452612.41137000,0
2023-05-23,559385.00000000,570789.00000000,558570.00000000,567431.00000000,383.67862000,1684886399999,217593787.76172000,31482,204.19143000,115806357.00196000,0
2023-05-24,567420.00000000,567879.00000000,550800.00000000,555942.00000000,518.19830000,1684972799999,289304861.85195000,48960,258.89933000,144553109.32166000,0
2023-05-25,555883.00000000,562335.00000000,547586.00000000,560429.00000000,360.74814000,1685059199999,200423805.10686000,37209,194.13276000,107897661.24673000,0
2023-05-26,560429.00000000,572505.00000000,556630.00000000,566706.00000000,350.80700000,1685145599999,197721084.37598000,39145,184.62420000,104114536.58574000,0
2023-05-27,566734.00000000,569299.00000000,564174.00000000,568808.00000000,235.87848000,1685231999999,133863983.62239000,28470,109.67220000,62251902.49545000,0
2023-05-28,568808.00000000,591462.00000000,561533.00000000,589477.00000000,533.79169000,1685318399999,307420677.68157000,40230,296.11942000,170673043.52315000,0
2023-05-29,589281.00000000,595300.00000000,578146.00000000,583217.00000000,331.92898000,1685404799999,193880915.08409000,31050,167.62869000,97919095.30128000,0
2023-05-30,583217.00000000,587315.00000000,580082.00000000,584947.00000000,216.04790000,1685491199999,126189106.22633000,23907,119.59941000,69856307.20498000,0
2023-05-31,584647.00000000,586886.00000000,571418.00000000,582250.00000000,282.36066000,1685577599999,163000881.47377000,24591,140.35056000,81035500.03829000,0
