timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-12-01,0.02433000,0.02494000,0.02413000,0.02489000,69513414.00000000,1701475199999,1710288.36579000,674,37973933.00000000,934415.45895000,0
2023-12-02,0.02485000,0.02543000,0.02470000,0.02528000,93987609.00000000,1701561599999,2352249.77447000,1045,57077859.00000000,1428611.63351000,0
2023-12-03,0.02528000,0.02609000,0.02482000,0.02542000,314340138.00000000,1701647999999,8020354.39711000,2478,159868363.00000000,4088085.96590000,0
2023-12-04,0.02533000,0.02658000,0.02427000,0.02595000,237199292.00000000,1701734399999,6101434.71192000,2668,125606673.00000000,3233687.55766000,0
2023-12-05,0.02600000,0.02684000,0.02560000,0.02663000,288623854.00000000,1701820799999,7513360.96865000,2826,143525120.00000000,3736190.40577000,0
2023-12-06,0.02664000,0.02999000,0.02576000,0.02774000,1504983771.00000000,1701907199999,42432926.51293000,9905,744500034.00000000,20994214.39326000,0
2023-12-07,0.02771000,0.02800000,0.02620000,0.02716000,428039140.00000000,1701993599999,11558704.78262000,3074,206891425.00000000,5584089.06753000,0
2023-12-08,0.02717000,0.02863000,0.02704000,0.02845000,370939467.00000000,1702079999999,10330410.64467000,2814,181203588.00000000,5051195.31948000,0
2023-12-09,0.02852000,0.02984000,0.02836000,0.02883000,316502473.00000000,1702166399999,9220856.53786000,2485,174274871.00000000,5079973.40973000,0
2023-12-10,0.02895000,0.03148000,0.02885000,0.03055000,1020324821.00000000,1702252799999,31278034.03762000,6017,521433866.00000000,15968608.24398000,0
2023-12-11,0.03057000,0.03179000,0.02699000,0.03069000,621288002.00000000,1702339199999,18850463.83975000,5441,319169058.00000000,9657226.49772000,0
2023-12-12,0.03082000,0.03220000,0.02982000,0.03055000,292934688.00000000,1702425599999,9007761.07575000,2592,160609160.00000000,4935340.76131000,0
2023-12-13,0.03060000,0.03074000,0.02850000,0.03005000,283042528.00000000,1702511999999,8329271.95373000,2543,132695368.00000000,3911491.89727000,0
2023-12-14,0.03013000,0.03474000,0.03013000,0.03354000,1386720048.00000000,1702598399999,46345480.88036000,10856,706743397.00000000,23563720.80584000,0
2023-12-15,0.03347000,0.03388000,0.03100000,0.03249000,202578910.00000000,1702684799999,6683633.14882000,2338,123340470.00000000,4066871.16118000,0
2023-12-16,0.03284000,0.03346000,0.03221000,0.03289000,136697898.00000000,1702771199999,4467696.02117000,1307,70808074.00000000,2316501.99798000,0
2023-12-17,0.03292000,0.03318000,0.03064000,0.03083000,91342292.00000000,1702857599999,2913387.37517000,1076,37352731.00000000,1198019.36259000,0
2023-12-18,0.03090000,0.03149000,0.02892000,0.03073000,146494938.00000000,1702943999999,4410597.18674000,1829,75384204.00000000,2276407.81372000,0
2023-12-19,0.03082000,0.03178000,0.02934000,0.02947000,85986984.00000000,1703030399999,2621964.19499000,1300,39458563.00000000,1200463.40151000,0
2023-12-20,0.02952000,0.03159000,0.02891000,0.03125000,100269751.00000000,1703116799999,3059786.67652000,1363,53970104.00000000,1647949.99798000,0
2023-12-21,0.03125000,0.03250000,0.03072000,0.03215000,191450611.00000000,1703203199999,6108045.26474000,1742,93888458.00000000,2986324.27445000,0
2023-12-22,0.03218000,0.03556000,0.03178000,0.03505000,161500628.00000000,1703289599999,5409321.90650000,1975,81588186.00000000,2735912.21574000,0
2023-12-23,0.03487000,0.03578000,0.03364000,0.03489000,240607195.00000000,1703375999999,8341938.54115000,2846,121335670.00000000,4206373.69845000,0
2023-12-24,0.03489000,0.05199000,0.03472000,0.04042000,6654642510.00000000,1703462399999,303686349.76792000,49913,3331292629.00000000,151967933.08455000,0
2023-12-25,0.04037000,0.04255000,0.03871000,0.04177000,1445690389.00000000,1703548799999,58864845.01953000,12782,717118620.00000000,29236409.78984000,0
2023-12-26,0.04182000,0.04399000,0.04000000,0.04383000,946347230.00000000,1703635199999,40320870.09734000,7338,501665241.00000000,21360737.40077000,0
2023-12-27,0.04384000,0.04466000,0.04228000,0.04308000,454296404.00000000,1703721599999,19947232.13067000,3914,128919249.00000000,5652034.96720000,0
2023-12-28,0.04316000,0.04393000,0.03882000,0.03949000,213778574.00000000,1703807999999,8747945.04797000,3155,84319853.00000000,3456258.30952000,0
2023-12-29,0.03947000,0.04223000,0.03837000,0.04111000,250540411.00000000,1703894399999,10103677.57984000,2700,118314647.00000000,4776956.08166000,0
2023-12-30,0.04110000,0.04121000,0.03890000,0.04059000,159754558.00000000,1703980799999,6419168.48431000,1922,77013752.00000000,3097197.65094000,0
2023-12-31,0.04061000,0.04145000,0.03900000,0.04033000,128321522.00000000,1704067199999,5203223.13173000,1540,66544644.00000000,2700013.59146000,0
