timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-11-01,496.90000000,510.30000000,485.90000000,506.20000000,9143.09200000,1698883199999,4573388.75740000,980,4530.88200000,2257019.41030000,0
2023-11-02,507.70000000,508.00000000,481.00000000,493.80000000,1481.30600000,1698969599999,733925.22580000,380,880.99900000,437446.21260000,0
2023-11-03,492.20000000,494.40000000,477.70000000,493.90000000,1242.38300000,1699055999999,604378.06660000,245,625.73500000,303922.91490000,0
2023-11-04,494.50000000,503.00000000,491.00000000,502.10000000,1812.82000000,1699142399999,898810.30790000,239,910.09900000,450875.04790000,0
2023-11-05,498.90000000,524.10000000,498.90000000,516.50000000,3021.53600000,1699228799999,1549208.26420000,680,1191.27500000,612462.60000000,0
2023-11-06,515.00000000,546.70000000,506.00000000,528.70000000,14090.09700000,1699315199999,7514907.78980000,1528,6817.40200000,3629742.28160000,0
2023-11-07,524.00000000,526.70000000,504.60000000,518.60000000,1793.62900000,1699401599999,929057.36500000,496,947.08800000,489647.25080000,0
2023-11-08,521.60000000,529.10000000,518.40000000,529.10000000,2552.95500000,1699487999999,1333701.47670000,363,1661.78700000,867994.66310000,0
2023-11-09,523.50000000,596.30000000,511.10000000,594.80000000,37769.16300000,1699574399999,21249891.61130000,4050,19231.29500000,10804969.58070000,0
2023-11-10,596.50000000,630.00000000,584.70000000,598.10000000,31527.30200000,1699660799999,19215190.22870000,3013,15267.89400000,9299519.52560000,0
2023-11-11,596.20000000,597.70000000,561.00000000,577.20000000,7329.74000000,1699747199999,4245998.05190000,1137,3254.28000000,1888119.68410000,0
2023-11-12,579.40000000,590.00000000,554.40000000,578.70000000,7145.85200000,1699833599999,4097490.24220000,1074,3765.41400000,2160228.28860000,0
2023-11-13,577.40000000,611.90000000,568.20000000,579.70000000,14775.80400000,1699919999999,8675556.91420000,3545,8893.34200000,5221600.64170000,0
2023-11-14,581.10000000,583.80000000,538.00000000,552.20000000,10010.14800000,1700006399999,5679981.53280000,1129,4366.64100000,2475828.98970000,0
2023-11-15,552.40000000,574.20000000,543.90000000,574.20000000,6396.69700000,1700092799999,3568246.94910000,1026,2690.27500000,1502637.79880000,0
2023-11-16,574.30000000,595.60000000,546.30000000,560.30000000,9172.63200000,1700179199999,5263043.58900000,2275,5018.47500000,2888831.06740000,0
2023-11-17,560.90000000,573.60000000,537.90000000,563.80000000,5314.71300000,1700265599999,2953652.59580000,1604,3117.03200000,1735151.95890000,0
2023-11-18,563.30000000,563.30000000,537.30000000,562.70000000,1992.60900000,1700351999999,1101430.87090000,940,761.29800000,421255.84270000,0
2023-11-19,561.10000000,571.60000000,553.10000000,571.10000000,1932.78900000,1700438399999,1086420.52790000,798,1018.73800000,572793.86670000,0
2023-11-20,571.30000000,581.80000000,562.00000000,567.20000000,6457.71100000,1700524799999,3692633.50320000,1471,3783.25300000,2161889.80900000,0
2023-11-21,570.10000000,571.50000000,517.90000000,526.60000000,12011.22400000,1700611199999,6545675.47160000,1986,6753.43900000,3678106.15920000,0
2023-11-22,524.80000000,561.80000000,524.80000000,551.70000000,2698.63300000,1700697599999,1469351.51120000,590,1649.91600000,897921.47570000,0
2023-11-23,552.90000000,558.40000000,542.90000000,549.80000000,602.43900000,1700783999999,332314.55270000,388,311.99000000,172100.92570000,0
2023-11-24,549.80000000,567.50000000,549.30000000,559.00000000,1324.01100000,1700870399999,740772.26540000,457,779.89800000,436480.15720000,0
2023-11-25,559.70000000,567.40000000,558.10000000,565.70000000,1130.72000000,1700956799999,636567.54150000,230,437.91200000,246401.58850000,0
2023-11-26,564.10000000,569.70000000,533.50000000,557.00000000,1301.86600000,1701043199999,725409.95460000,589,654.98200000,367165.66020000,0
2023-11-27,557.00000000,557.00000000,530.30000000,539.90000000,737.23400000,1701129599999,399355.96590000,443,257.63300000,139903.71990000,0
2023-11-28,538.60000000,551.90000000,529.60000000,544.80000000,1568.90600000,1701215999999,857378.20920000,237,948.27900000,517753.55670000,0
2023-11-29,544.40000000,553.00000000,539.30000000,544.20000000,691.48800000,1701302399999,377333.78290000,174,202.68700000,110836.46640000,0
2023-11-30,541.60000000,544.80000000,535.40000000,538.10000000,1774.59000000,1701388799999,957035.40770000,179,903.83700000,487458.27910000,0
