timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-01,45.30000000,45.53000000,42.27000000,42.63000000,308023.50000000,1725235199999,13604952.93000000,4276,145465.80000000,6433054.77200000,0
2024-09-02,42.53000000,45.79000000,42.48000000,45.16000000,473126.90000000,1725321599999,21041838.58100000,4821,231892.30000000,10308900.29600000,0
2024-09-03,45.14000000,46.00000000,42.57000000,42.59000000,382690.50000000,1725407999999,16928867.05500000,4394,176033.50000000,7784190.18400000,0
2024-09-04,42.63000000,44.95000000,39.57000000,43.49000000,612614.90000000,1725494399999,26182246.58500000,6673,317803.10000000,13615286.41000000,0
2024-09-05,43.52000000,45.17000000,42.47000000,43.39000000,544904.00000000,1725580799999,23784084.72800000,5908,294258.00000000,12857963.35200000,0
2024-09-06,43.32000000,45.24000000,40.30000000,42.27000000,673466.00000000,1725667199999,29127589.92000000,7021,339840.10000000,14720493.86000000,0
2024-09-07,42.28000000,44.33000000,42.10000000,42.93000000,325690.60000000,1725753599999,14152291.22900000,3806,156944.40000000,6826464.72400000,0
2024-09-08,42.87000000,45.53000000,42.37000000,44.40000000,520965.40000000,1725839999999,22780969.29200000,6604,256658.40000000,11236799.05900000,0
2024-09-09,44.44000000,46.70000000,43.28000000,46.07000000,682402.20000000,1725926399999,30586344.00200000,9073,330707.10000000,14852201.68800000,0
2024-09-10,46.02000000,46.47000000,44.80000000,45.89000000,440178.40000000,1726012799999,20035132.45000000,4884,209575.40000000,9549717.01200000,0
2024-09-11,45.85000000,45.85000000,42.39000000,44.17000000,402474.80000000,1726099199999,17640808.60500000,4769,185650.00000000,8140173.53100000,0
2024-09-12,44.00000000,45.95000000,44.00000000,45.95000000,444235.10000000,1726185599999,19999141.87700000,4602,255063.30000000,11488006.59500000,0
2024-09-13,45.97000000,48.20000000,44.58000000,47.64000000,415170.10000000,1726271999999,19217591.53900000,3977,208715.50000000,9676049.37600000,0
2024-09-14,47.64000000,48.02000000,45.78000000,46.29000000,298474.50000000,1726358399999,13942943.27200000,2348,138077.40000000,6450524.32900000,0
2024-09-15,46.44000000,47.06000000,43.48000000,44.10000000,300462.90000000,1726444799999,13712186.66900000,3694,122113.10000000,5580969.19200000,0
2024-09-16,43.95000000,44.17000000,42.06000000,42.79000000,382889.50000000,1726531199999,16483731.22900000,3216,167325.90000000,7209302.24800000,0
2024-09-17,42.67000000,47.08000000,42.21000000,45.75000000,514489.80000000,1726617599999,23044319.68600000,3163,281758.60000000,12610251.61300000,0
2024-09-18,45.78000000,47.23000000,43.91000000,46.28000000,400817.60000000,1726703999999,18343841.42400000,3957,198413.90000000,9083798.59100000,0
