timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-01,0.00535800,0.00547400,0.00476900,0.00522700,31675124838.00,1722556799999,160937014.32521150,45625,14043125775.00,71398326.12724500,0
2024-08-02,0.00522500,0.00529000,0.00469200,0.00472100,29752806046.00,1722643199999,147385504.94734600,24132,14379840524.00,71285187.96002000,0
2024-08-03,0.00471900,0.00485100,0.00428600,0.00439800,26423385230.00,1722729599999,120736739.81495030,25836,12788620378.00,58483299.66639450,0
2024-08-04,0.00438900,0.00451900,0.00392500,0.00412700,31309046598.00,1722815999999,132371798.17693600,24428,15571792046.00,65948827.12308700,0
2024-08-05,0.00412600,0.00420000,0.00333000,0.00371300,91384687004.00,1722902399999,337743292.95129260,66880,43816331189.00,162120490.84998000,0
2024-08-06,0.00371700,0.00421100,0.00370800,0.00408400,55879100026.00,1722988799999,227472200.24760300,43656,26993978317.00,109926242.44592400,0
2024-08-07,0.00407600,0.00462000,0.00391300,0.00396200,105833649982.00,1723075199999,454870954.61144200,67586,52540533140.00,225991644.32704800,0
2024-08-08,0.00395700,0.00451600,0.00382000,0.00443400,65465532433.00,1723161599999,279489684.34774500,37151,31346910842.00,133828904.23595600,0
2024-08-09,0.00443400,0.00448000,0.00417500,0.00433700,47050978485.00,1723247999999,202657843.18106700,32493,22326989306.00,96215312.13727200,0
2024-08-10,0.00432700,0.00441500,0.00422200,0.00427100,28020043569.00,1723334399999,119914436.07286100,19562,13643862168.00,58450870.79379100,0
2024-08-11,0.00427000,0.00442800,0.00392500,0.00396300,38724193895.00,1723420799999,162879712.90315200,23461,20517938794.00,86240056.23837400,0
2024-08-12,0.00396300,0.00424000,0.00391600,0.00417700,57568380284.00,1723507199999,236947967.33426600,29693,27908677004.00,114722029.15693600,0
2024-08-13,0.00417800,0.00422500,0.00401200,0.00412600,35589864725.00,1723593599999,146764617.86645200,21431,18914287526.00,78078172.52715800,0
2024-08-14,0.00412500,0.00425000,0.00395300,0.00401600,38203273664.00,1723679999999,156382873.29597800,23622,17403741138.00,71374403.11590900,0
2024-08-15,0.00401100,0.00412100,0.00382300,0.00391200,34931949621.00,1723766399999,138484069.78263600,27882,16838960703.00,66856403.26120000,0
2024-08-16,0.00391300,0.00398700,0.00373200,0.00383200,28787430652.00,1723852799999,111069439.01638400,18444,14107535745.00,54475160.52833100,0
2024-08-17,0.00382500,0.00392500,0.00379100,0.00389100,20210239990.00,1723939199999,77856446.02929700,9835,11280446877.00,43478883.15633900,0
2024-08-18,0.00389200,0.00400000,0.00383000,0.00387500,26849284172.00,1724025599999,105417634.90844200,11561,13873968770.00,54495029.14227400,0
2024-08-19,0.00387200,0.00401600,0.00375300,0.00394000,32046800985.00,1724111999999,123873012.03620100,16345,15786159585.00,61058274.16770200,0
2024-08-20,0.00394200,0.00452600,0.00391200,0.00423500,114350788761.00,1724198399999,489280167.97124600,58748,60313657081.00,257818548.90334700,0
2024-08-21,0.00423600,0.00440800,0.00404400,0.00432900,57314645770.00,1724284799999,242583895.10572300,40223,29379817306.00,124456982.09772900,0
2024-08-22,0.00432900,0.00490700,0.00427200,0.00472300,122764857138.00,1724371199999,573541089.20487300,79888,63298844190.00,295652349.88197900,0
2024-08-23,0.00472700,0.00518800,0.00460800,0.00505400,85541945041.00,1724457599999,413532344.85389500,66091,45354524828.00,219390046.37731400,0
2024-08-24,0.00506200,0.00545500,0.00498200,0.00523600,81566561051.00,1724543999999,424151408.22818300,62964,41783482717.00,217139892.52199800,0
2024-08-25,0.00523100,0.00523900,0.00479200,0.00513100,46190585881.00,1724630399999,233565406.64015200,40386,22728604396.00,114938672.99133000,0
2024-08-26,0.00513700,0.00533900,0.00500600,0.00504900,81759116869.00,1724716799999,424710657.71753800,55034,41037245866.00,213392336.75715100,0
2024-08-27,0.00503800,0.00553700,0.00496700,0.00500900,115450561066.00,1724803199999,612386741.00321100,82364,59680724573.00,316827494.35471300,0
2024-08-28,0.00500700,0.00544700,0.00481300,0.00531400,87949615213.00,1724889599999,464660933.08376700,57915,46422279066.00,245702438.19216000,0
2024-08-29,0.00531100,0.00541900,0.00461500,0.00463100,91037874926.00,1724975999999,467791597.49960100,123713,39635696297.00,204497638.86632900,0
2024-08-30,0.00465400,0.00467200,0.00418000,0.00438500,122208395414.00,1725062399999,532203789.41055800,124625,55944491703.00,243481323.96580800,0
2024-08-31,0.00438600,0.00451800,0.00427100,0.00431500,46284944781.00,1725148799999,203212688.92175800,26494,23904930432.00,104959457.77849300,0
