timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-01,1.25100000,1.27500000,1.17400000,1.17900000,2875792.00000000,1725235199999,3525270.85800000,644,1317211.00000000,1620651.86400000,0
2024-09-02,1.18500000,1.21500000,1.14200000,1.21100000,4372586.00000000,1725321599999,5152844.67900000,867,2293843.00000000,2702197.52200000,0
2024-09-03,1.20800000,1.21900000,1.11500000,1.11500000,2010061.00000000,1725407999999,2325112.28900000,601,778319.00000000,899265.76200000,0
2024-09-04,1.11500000,1.15900000,1.06000000,1.14900000,2664566.00000000,1725494399999,2970871.54200000,661,1121865.00000000,1249482.16000000,0
2024-09-05,1.15100000,1.17900000,1.09300000,1.10500000,1882118.00000000,1725580799999,2106816.61600000,443,855248.00000000,960137.95200000,0
2024-09-06,1.10400000,1.12000000,1.03700000,1.05500000,2629395.00000000,1725667199999,2820033.79200000,542,1027759.00000000,1104491.69300000,0
2024-09-07,1.05100000,1.08600000,1.04200000,1.06800000,1505110.00000000,1725753599999,1603165.71100000,437,824588.00000000,878483.73100000,0
2024-09-08,1.07100000,1.17000000,1.07100000,1.12400000,21115075.00000000,1725839999999,23873335.64600000,3147,10378117.00000000,11719197.43100000,0
2024-09-09,1.12500000,1.15100000,1.10900000,1.14300000,3376192.00000000,1725926399999,3823569.35300000,446,1451755.00000000,1645947.99100000,0
2024-09-10,1.16000000,1.18700000,1.15400000,1.17800000,2877792.00000000,1726012799999,3371411.15400000,746,1425372.00000000,1670485.71200000,0
2024-09-11,1.18500000,1.19400000,1.11000000,1.14700000,1845226.00000000,1726099199999,2107534.96300000,407,985883.00000000,1126107.32100000,0
2024-09-12,1.14900000,1.22300000,1.14900000,1.21100000,4313910.00000000,1726185599999,5110094.48200000,874,2453042.00000000,2901229.15000000,0
2024-09-13,1.20700000,1.30800000,1.20500000,1.24600000,21128053.00000000,1726271999999,26753137.55200000,3654,10008162.00000000,12664734.43200000,0
2024-09-14,1.24600000,1.24600000,1.20700000,1.23000000,7821209.00000000,1726358399999,9561600.49100000,1289,3580846.00000000,4378424.17200000,0
2024-09-15,1.23600000,1.28400000,1.22000000,1.24200000,5756374.00000000,1726444799999,7254841.59500000,1073,3532062.00000000,4449380.86100000,0
2024-09-16,1.24200000,1.26600000,1.15600000,1.17600000,1765334.00000000,1726531199999,2109676.08900000,470,764506.00000000,915982.38100000,0
2024-09-17,1.17800000,1.22900000,1.14500000,1.22900000,1057003.00000000,1726617599999,1254929.27000000,586,547195.00000000,650947.06400000,0
2024-09-18,1.23000000,1.24100000,1.18800000,1.22600000,1043480.00000000,1726703999999,1267117.54200000,448,455085.00000000,553598.72200000,0
