timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-07-01,2.52200000,2.57200000,2.44700000,2.51100000,1087531.00000000,1719878399999,2736059.23300000,1203,537315.00000000,1352231.31300000,0
2024-07-02,2.51100000,2.58300000,2.49800000,2.54900000,1364922.00000000,1719964799999,3480774.31900000,958,805019.00000000,2053135.06900000,0
2024-07-03,2.54900000,2.55400000,2.33700000,2.36000000,1971353.00000000,1720051199999,4774118.93600000,1296,884934.00000000,2141488.11100000,0
2024-07-04,2.35700000,2.36300000,2.16600000,2.17500000,3862499.00000000,1720137599999,8758585.46000000,2762,1157134.00000000,2621092.91900000,0
2024-07-05,2.17200000,2.26700000,1.93000000,2.21800000,7548533.00000000,1720223999999,15796060.61000000,2386,3722587.00000000,7780999.32500000,0
2024-07-06,2.21300000,2.33500000,2.19000000,2.30700000,1856928.00000000,1720310399999,4178581.75600000,896,880273.00000000,1981350.76000000,0
2024-07-07,2.29200000,2.29300000,2.11100000,2.12000000,1902732.00000000,1720396799999,4195975.48500000,1496,843472.00000000,1861102.09800000,0
2024-07-08,2.12300000,2.24400000,2.05600000,2.16900000,3916305.00000000,1720483199999,8419198.57800000,1606,1964871.00000000,4227063.15900000,0
2024-07-09,2.16900000,2.26600000,2.16900000,2.24000000,1680137.00000000,1720569599999,3721838.88700000,846,831921.00000000,1843357.18300000,0
2024-07-10,2.23400000,2.28200000,2.15800000,2.19100000,1278873.00000000,1720655999999,2818081.16500000,1181,474895.00000000,1049710.23800000,0
2024-07-11,2.18000000,2.25400000,2.15500000,2.16200000,2196568.00000000,1720742399999,4836779.84400000,966,1137179.00000000,2508023.02400000,0
2024-07-12,2.16800000,2.24700000,2.13800000,2.23600000,1137832.00000000,1720828799999,2506791.39100000,553,627596.00000000,1383620.72700000,0
2024-07-13,2.23600000,2.39500000,2.21900000,2.36900000,2554400.00000000,1720915199999,5947860.89700000,1550,1316989.00000000,3064175.26400000,0
2024-07-14,2.37100000,2.43200000,2.30700000,2.39400000,3341367.00000000,1721001599999,7921981.11600000,1915,1456976.00000000,3446337.67700000,0
2024-07-15,2.39400000,2.61700000,2.39000000,2.58200000,2198270.00000000,1721087999999,5464535.72400000,2628,1074242.00000000,2664515.00900000,0
2024-07-16,2.58800000,2.60800000,2.48200000,2.53900000,2088810.00000000,1721174399999,5280115.65400000,1387,1086928.00000000,2749362.86800000,0
2024-07-17,2.54200000,2.62000000,2.49800000,2.49800000,1830359.00000000,1721260799999,4683090.37800000,1099,933484.00000000,2386174.50600000,0
2024-07-18,2.49800000,2.52400000,2.35500000,2.40500000,1736044.00000000,1721347199999,4276320.00100000,788,942572.00000000,2320987.48600000,0
2024-07-19,2.39900000,2.50400000,2.37000000,2.47300000,1559036.00000000,1721433599999,3784096.34000000,1030,765502.00000000,1854395.49600000,0
2024-07-20,2.50500000,2.50900000,2.43200000,2.47400000,751930.00000000,1721519999999,1856219.43400000,352,338531.00000000,835575.84600000,0
2024-07-21,2.47800000,2.51300000,2.33900000,2.47400000,948103.00000000,1721606399999,2301468.75300000,483,438982.00000000,1068260.93800000,0
2024-07-22,2.48700000,2.49000000,2.33900000,2.34300000,1100862.00000000,1721692799999,2633360.21800000,541,504074.00000000,1206886.24300000,0
2024-07-23,2.34000000,2.35700000,2.21000000,2.25100000,1560999.00000000,1721779199999,3573837.40100000,657,796418.00000000,1826259.38000000,0
2024-07-24,2.25000000,2.30900000,2.17500000,2.18800000,1099760.00000000,1721865599999,2469998.75400000,450,551091.00000000,1239065.43300000,0
2024-07-25,2.20200000,2.20200000,2.11500000,2.19700000,2828321.00000000,1721951999999,6112804.50900000,835,1355692.00000000,2932432.17200000,0
2024-07-26,2.20700000,2.27000000,2.19600000,2.26200000,1366818.00000000,1722038399999,3055565.39300000,452,731872.00000000,1635257.11300000,0
2024-07-27,2.26200000,2.32500000,2.24100000,2.28000000,1285833.00000000,1722124799999,2933132.90800000,464,630091.00000000,1439075.14000000,0
2024-07-28,2.27700000,2.29300000,2.21600000,2.24100000,558764.00000000,1722211199999,1262141.40200000,302,284607.00000000,642324.84800000,0
2024-07-29,2.24100000,2.29400000,2.20400000,2.22300000,1595859.00000000,1722297599999,3594003.56200000,504,777371.00000000,1749745.92400000,0
2024-07-30,2.22400000,2.25600000,2.15000000,2.18700000,1480337.00000000,1722383999999,3262992.99400000,595,550032.00000000,1211261.56000000,0
2024-07-31,2.19000000,2.22200000,2.06800000,2.09300000,3319231.00000000,1722470399999,7111645.76900000,1316,1184227.00000000,2532680.98900000,0
