timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-09-01,5.08800000,5.10000000,4.83300000,4.91400000,1756972.00000000,1693612799999,8699344.24800000,2291,697482.00000000,3450884.40300000,0
2023-09-02,4.91500000,6.43900000,4.88500000,5.44000000,31045855.00000000,1693699199999,181295017.14700000,33430,15773981.00000000,92095076.15300000,0
2023-09-03,5.44300000,5.72700000,5.29200000,5.68300000,3173208.00000000,1693785599999,17555068.53300000,4190,1622337.00000000,8967399.26200000,0
2023-09-04,5.70600000,5.94400000,5.58900000,5.72300000,3458419.00000000,1693871999999,19915729.98700000,4997,1934138.00000000,11133402.45100000,0
2023-09-05,5.71800000,6.02500000,5.62600000,5.84100000,2182556.00000000,1693958399999,12838800.48000000,3409,1231348.00000000,7243686.56000000,0
2023-09-06,5.86600000,6.25000000,5.56200000,5.74900000,1636882.00000000,1694044799999,9355474.32100000,2651,797096.00000000,4564430.33000000,0
2023-09-07,5.74000000,5.74000000,5.48700000,5.67600000,1297329.00000000,1694131199999,7282442.93300000,2133,552084.00000000,3097543.25300000,0
2023-09-08,5.67100000,5.96200000,5.01400000,5.82000000,5085174.00000000,1694217599999,29517627.71800000,7240,2534576.00000000,14708740.02700000,0
2023-09-09,5.83200000,6.17200000,5.75300000,5.95600000,3198908.00000000,1694303999999,18988848.01000000,3812,1633620.00000000,9671749.15700000,0
2023-09-10,5.96000000,5.97600000,5.66000000,5.86400000,1886835.00000000,1694390399999,11048604.96500000,2902,922741.00000000,5405254.15700000,0
2023-09-11,5.87300000,6.12400000,5.40000000,5.43400000,1894610.00000000,1694476799999,11006404.89800000,3145,876230.00000000,5119325.87600000,0
2023-09-12,5.41200000,5.63500000,5.33800000,5.53400000,1148040.00000000,1694563199999,6362638.66100000,1699,475719.00000000,2637249.24000000,0
2023-09-13,5.52600000,5.77600000,5.52600000,5.71100000,1259878.00000000,1694649599999,7179644.89800000,1611,700169.00000000,3985294.70600000,0
2023-09-14,5.70900000,5.91900000,5.69400000,5.87100000,817758.00000000,1694735999999,4747109.48000000,1260,459701.00000000,2668432.23400000,0
2023-09-15,5.88200000,6.28200000,5.64000000,5.91900000,4149162.00000000,1694822399999,24796558.43600000,5770,2108074.00000000,12617467.84400000,0
2023-09-16,5.94200000,6.05000000,5.79700000,5.85800000,1101311.00000000,1694908799999,6552503.93100000,2227,565881.00000000,3367743.37500000,0
2023-09-17,5.85700000,5.85700000,5.39700000,5.41800000,1253669.00000000,1694995199999,6987468.19800000,2081,424509.00000000,2376315.98100000,0
2023-09-18,5.41200000,5.59400000,5.34100000,5.34100000,1226536.00000000,1695081599999,6693138.97800000,2042,464744.00000000,2548192.59400000,0
2023-09-19,5.35000000,5.52000000,5.33400000,5.44700000,1796422.00000000,1695167999999,9766421.97800000,2583,671018.00000000,3652123.37000000,0
2023-09-20,5.45600000,5.51700000,5.32000000,5.43500000,1360904.00000000,1695254399999,7365512.31200000,2181,720800.00000000,3905352.73800000,0
2023-09-21,5.43900000,5.49000000,5.06000000,5.20600000,1262978.00000000,1695340799999,6666820.65400000,1855,588266.00000000,3116019.46100000,0
2023-09-22,5.20000000,5.37700000,5.17400000,5.37000000,1047857.00000000,1695427199999,5527685.30000000,1264,585982.00000000,3095173.98200000,0
2023-09-23,5.38000000,5.45000000,5.26100000,5.37600000,1609401.00000000,1695513599999,8646045.57500000,1927,781576.00000000,4197524.36300000,0
2023-09-24,5.36000000,5.40100000,5.28800000,5.33900000,597089.00000000,1695599999999,3194007.84400000,1018,307987.00000000,1648739.71700000,0
2023-09-25,5.33900000,5.46400000,5.30000000,5.43300000,911699.00000000,1695686399999,4923995.70200000,1089,549938.00000000,2970360.25500000,0
2023-09-26,5.42100000,5.49000000,5.33000000,5.34700000,836893.00000000,1695772799999,4518332.09500000,781,385171.00000000,2082129.02300000,0
2023-09-27,5.40200000,5.42600000,5.27400000,5.35000000,736119.00000000,1695859199999,3931687.49800000,973,250835.00000000,1342144.93500000,0
2023-09-28,5.35000000,5.49300000,5.32000000,5.44700000,843834.00000000,1695945599999,4567332.78700000,1290,461785.00000000,2502280.46800000,0
2023-09-29,5.43900000,5.60900000,5.39000000,5.60900000,989254.00000000,1696031999999,5451171.69300000,1541,532514.00000000,2938427.44400000,0
2023-09-30,5.61100000,5.64000000,5.52800000,5.55200000,853513.00000000,1696118399999,4764674.72600000,1215,339497.00000000,1894924.33400000,0
