timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-01,620.40000000,626.20000000,562.50000000,589.50000000,13025.31000000,1712015999999,7676177.02400000,3211,5374.38000000,3167592.01700000,0
2024-04-02,589.90000000,589.90000000,531.20000000,537.90000000,12367.88000000,1712102399999,6779612.19600000,3010,5438.73000000,2980754.18700000,0
2024-04-03,538.00000000,554.00000000,511.60000000,526.80000000,10903.84000000,1712188799999,5850586.21900000,2325,5056.93000000,2713684.37900000,0
2024-04-04,523.40000000,551.90000000,511.50000000,538.10000000,7962.64000000,1712275199999,4220740.61600000,1847,3938.97000000,2089725.52500000,0
2024-04-05,538.30000000,538.50000000,499.50000000,528.40000000,10067.72000000,1712361599999,5228730.46500000,2548,4270.16000000,2221305.73600000,0
2024-04-06,527.70000000,563.00000000,525.00000000,557.40000000,10785.68000000,1712447999999,5890101.59900000,2375,6190.31000000,3382849.63700000,0
2024-04-07,554.80000000,562.00000000,544.00000000,553.60000000,6454.53000000,1712534399999,3574728.12900000,2094,3298.01000000,1827205.84700000,0
2024-04-08,553.20000000,575.20000000,540.10000000,571.90000000,9491.68000000,1712620799999,5384605.64100000,3133,5084.69000000,2884113.30100000,0
2024-04-09,572.30000000,572.50000000,525.70000000,530.20000000,6175.92000000,1712707199999,3404756.47400000,4979,2786.60000000,1536373.14800000,0
2024-04-10,529.90000000,532.90000000,490.00000000,515.70000000,7618.03000000,1712793599999,3905352.99000000,5392,3495.27000000,1791739.01300000,0
2024-04-11,514.60000000,529.50000000,503.20000000,511.20000000,8618.38000000,1712879999999,4456933.51000000,2695,4753.01000000,2465400.16800000,0
2024-04-12,509.80000000,522.30000000,362.00000000,414.20000000,13463.08000000,1712966399999,6238202.61700000,8454,6805.90000000,3189594.72400000,0
2024-04-13,413.80000000,427.70000000,306.30000000,377.20000000,17867.48000000,1713052799999,6973415.79300000,12868,9532.37000000,3694784.43800000,0
2024-04-14,376.30000000,421.40000000,362.00000000,415.20000000,8554.57000000,1713139199999,3355499.83400000,7167,4475.55000000,1761665.96400000,0
2024-04-15,415.20000000,450.60000000,365.60000000,395.00000000,9840.56000000,1713225599999,4122006.21900000,10761,4380.78000000,1837334.00800000,0
2024-04-16,394.00000000,419.80000000,378.40000000,395.30000000,10091.36000000,1713311999999,4055076.54300000,12458,5182.49000000,2086832.52800000,0
2024-04-17,392.60000000,401.00000000,359.80000000,382.50000000,11377.01000000,1713398399999,4384616.33000000,10420,5481.94000000,2117514.79200000,0
2024-04-18,382.00000000,495.00000000,369.90000000,436.30000000,196812.10000000,1713484799999,86115181.54800000,47243,91753.92000000,40253634.52200000,0
2024-04-19,435.90000000,447.70000000,392.30000000,428.20000000,68655.75000000,1713571199999,29033195.34500000,17562,37416.65000000,15858083.54500000,0
2024-04-20,427.60000000,535.00000000,424.50000000,529.10000000,40857.85000000,1713657599999,19947589.81500000,15151,20882.04000000,10012102.68500000,0
2024-04-21,528.60000000,530.80000000,484.80000000,501.00000000,57123.29000000,1713743999999,28889315.79200000,17593,30961.07000000,15666910.07500000,0
2024-04-22,500.20000000,515.90000000,447.00000000,512.70000000,21035.41000000,1713830399999,10578056.45900000,10547,9330.77000000,4689502.59800000,0
2024-04-23,512.70000000,544.00000000,496.10000000,498.40000000,14524.22000000,1713916799999,7413206.76600000,8609,7250.61000000,3691452.73100000,0
2024-04-24,500.40000000,508.00000000,457.30000000,462.80000000,11933.64000000,1714003199999,5776967.32200000,9477,6548.58000000,3170322.75700000,0
2024-04-25,463.30000000,510.20000000,451.80000000,487.70000000,14498.89000000,1714089599999,7006579.40700000,10325,8386.18000000,4025258.27300000,0
2024-04-26,488.40000000,491.10000000,455.70000000,456.90000000,6493.75000000,1714175999999,3079725.38400000,5885,2171.35000000,1031409.65600000,0
2024-04-27,459.80000000,470.90000000,440.70000000,457.40000000,3690.76000000,1714262399999,1686962.33000000,5172,1787.31000000,819201.67300000,0
2024-04-28,457.40000000,479.40000000,437.90000000,439.90000000,4543.32000000,1714348799999,2076387.80700000,4770,2284.84000000,1046523.34800000,0
2024-04-29,441.20000000,444.50000000,417.00000000,435.90000000,2728.99000000,1714435199999,1169981.11700000,3843,1256.12000000,538563.05300000,0
2024-04-30,432.70000000,439.00000000,387.60000000,404.00000000,4472.33000000,1714521599999,1823688.44600000,5366,1941.65000000,793352.02400000,0
