timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-07-07,10.53000000,11.09000000,10.03000000,10.92000000,7202931.00000000,1688774399999,77369781.58000000,13313,3549615.00000000,38151873.04000000,0
2023-07-08,10.92000000,11.56000000,10.77000000,11.12000000,4993587.00000000,1688860799999,55701873.10000000,10654,2583396.00000000,28811692.14000000,0
2023-07-09,11.16000000,11.56000000,10.70000000,10.79000000,1906631.00000000,1688947199999,21063295.82000000,4511,904179.00000000,10000819.69000000,0
2023-07-10,10.82000000,10.85000000,9.34000000,9.77000000,5257741.00000000,1689033599999,51673590.60000000,10871,2205906.00000000,21681620.05000000,0
2023-07-11,9.70000000,9.70000000,9.22000000,9.47000000,2986291.00000000,1689119999999,28135958.65000000,5130,1285807.00000000,12115415.97000000,0
2023-07-12,9.39000000,9.61000000,8.70000000,9.05000000,3985440.00000000,1689206399999,36796143.97000000,6646,1880270.00000000,17438686.09000000,0
2023-07-13,9.05000000,9.77000000,8.86000000,9.51000000,4621161.00000000,1689292799999,42945425.85000000,6671,2503228.00000000,23330482.57000000,0
2023-07-14,9.62000000,10.20000000,9.11000000,9.67000000,1999949.00000000,1689379199999,19348482.72000000,4396,1051583.00000000,10190633.54000000,0
2023-07-15,9.58000000,10.27000000,9.39000000,9.69000000,4308244.00000000,1689465599999,42914231.28000000,7166,2122989.00000000,21152333.31000000,0
2023-07-16,9.71000000,9.87000000,9.07000000,9.23000000,1177092.00000000,1689551999999,11158910.78000000,2871,484750.00000000,4621502.82000000,0
2023-07-17,9.23000000,9.52000000,9.02000000,9.50000000,1373468.00000000,1689638399999,12823670.27000000,2339,715632.00000000,6701730.92000000,0
2023-07-18,9.48000000,10.33000000,8.96000000,9.25000000,5310932.00000000,1689724799999,51069478.17000000,10286,2320893.00000000,22410702.06000000,0
2023-07-19,9.23000000,9.40000000,8.76000000,8.89000000,3602108.00000000,1689811199999,32722316.66000000,6117,1310513.00000000,11925736.80000000,0
2023-07-20,8.87000000,9.16000000,8.73000000,9.01000000,2697175.00000000,1689897599999,24192536.98000000,5049,1397647.00000000,12555171.74000000,0
2023-07-21,9.01000000,9.24000000,8.91000000,9.15000000,2639064.00000000,1689983999999,24030047.91000000,4617,1493337.00000000,13619784.60000000,0
2023-07-22,9.15000000,9.37000000,8.99000000,9.26000000,1397863.00000000,1690070399999,12811625.71000000,2000,757197.00000000,6950120.39000000,0
2023-07-23,9.23000000,9.41000000,8.88000000,8.93000000,1401700.00000000,1690156799999,12649051.53000000,2053,497696.00000000,4505981.49000000,0
2023-07-24,8.93000000,9.01000000,7.81000000,7.90000000,2811602.00000000,1690243199999,22897437.64000000,5532,913785.00000000,7443352.23000000,0
2023-07-25,7.91000000,8.49000000,7.79000000,8.03000000,2263506.00000000,1690329599999,18086144.38000000,2467,1171932.00000000,9383905.72000000,0
2023-07-26,8.02000000,8.64000000,8.01000000,8.43000000,4129827.00000000,1690415999999,34346938.33000000,4757,2377948.00000000,19784263.99000000,0
2023-07-27,8.42000000,8.61000000,8.14000000,8.35000000,1579694.00000000,1690502399999,13260636.59000000,2070,751934.00000000,6330758.26000000,0
2023-07-28,8.32000000,8.48000000,8.16000000,8.32000000,771194.00000000,1690588799999,6394278.37000000,936,390866.00000000,3247172.51000000,0
2023-07-29,8.30000000,8.38000000,8.18000000,8.38000000,762057.00000000,1690675199999,6281195.58000000,888,366812.00000000,3025222.85000000,0
2023-07-30,8.35000000,8.45000000,7.54000000,8.08000000,882058.00000000,1690761599999,7213931.30000000,1182,342454.00000000,2806868.30000000,0
2023-07-31,8.01000000,8.83000000,8.01000000,8.35000000,2655234.00000000,1690847999999,22793807.33000000,3709,1516591.00000000,13032810.30000000,0
