timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-01,86974.00000000,88979.00000000,83477.00000000,88979.00000000,6.70180000,1714607999999,578861.59720000,847,4.15540000,359062.27630000,0
2024-05-02,88623.00000000,90421.00000000,86831.00000000,90130.00000000,6.17760000,1714694399999,546467.90020000,459,3.28940000,291582.33950000,0
2024-05-03,90085.00000000,97398.00000000,87562.00000000,96180.00000000,23.70360000,1714780799999,2210251.31950000,1460,11.30320000,1052559.71270000,0
2024-05-04,95931.00000000,95945.00000000,92672.00000000,93203.00000000,7.49740000,1714867199999,707095.58220000,627,2.19640000,207663.44310000,0
2024-05-05,93523.00000000,95906.00000000,92485.00000000,94373.00000000,8.35530000,1714953599999,789566.20170000,257,4.18680000,395196.65810000,0
2024-05-06,94205.00000000,95968.00000000,90021.00000000,90021.00000000,10.21170000,1715039999999,954101.93690000,434,5.19690000,486541.27070000,0
2024-05-07,89876.00000000,92349.00000000,89549.00000000,90787.00000000,6.02630000,1715126399999,548961.51870000,269,2.37040000,215759.74360000,0
2024-05-08,90797.00000000,91108.00000000,86908.00000000,87027.00000000,8.15360000,1715212799999,722708.31290000,278,6.00070000,532223.25450000,0
2024-05-09,87745.00000000,89131.00000000,85828.00000000,88704.00000000,3.84010000,1715299199999,335846.96180000,188,1.32170000,115562.49940000,0
2024-05-10,88453.00000000,88462.00000000,85248.00000000,86657.00000000,4.23950000,1715385599999,369211.52920000,235,1.69570000,147917.57500000,0
2024-05-11,86549.00000000,88725.00000000,86011.00000000,87857.00000000,3.76470000,1715471999999,329440.49780000,265,0.89930000,78981.93940000,0
2024-05-12,87635.00000000,88573.00000000,86787.00000000,87498.00000000,5.24190000,1715558399999,460955.82210000,164,1.78810000,157401.10560000,0
2024-05-13,87211.00000000,88626.00000000,85694.00000000,86909.00000000,3.65280000,1715644799999,315628.91740000,139,0.77690000,67371.97640000,0
2024-05-14,86838.00000000,88216.00000000,86051.00000000,86698.00000000,4.25510000,1715731199999,370602.36070000,214,3.97180000,345947.79860000,0
2024-05-15,86924.00000000,90816.00000000,86583.00000000,90816.00000000,3.64480000,1715817599999,324097.30750000,87,2.00160000,177624.80900000,0
2024-05-16,90816.00000000,91329.00000000,86683.00000000,87289.00000000,5.15020000,1715903999999,454893.52990000,92,1.87220000,167026.12740000,0
2024-05-17,87267.00000000,90590.00000000,86297.00000000,90590.00000000,4.25990000,1715990399999,375880.05590000,180,2.55310000,225894.55940000,0
2024-05-18,89914.00000000,92935.00000000,89914.00000000,90816.00000000,4.44560000,1716076799999,404418.47180000,148,2.68480000,243980.57380000,0
2024-05-19,91015.00000000,92200.00000000,89064.00000000,89719.00000000,6.79090000,1716163199999,612027.24260000,132,2.74000000,247430.86980000,0
2024-05-20,89699.00000000,101559.00000000,89001.00000000,100462.00000000,14.27730000,1716249599999,1340989.41620000,680,5.67490000,531232.62690000,0
2024-05-21,100557.00000000,102445.00000000,97949.00000000,98387.00000000,9.17110000,1716335999999,918234.01730000,205,5.06030000,505466.62300000,0
2024-05-22,97713.00000000,97866.00000000,93778.00000000,94675.00000000,8.87140000,1716422399999,843557.53470000,375,2.83940000,270213.70200000,0
2024-05-23,94876.00000000,95608.00000000,87501.00000000,91561.00000000,13.95690000,1716508799999,1290422.36590000,818,6.75720000,627396.45400000,0
2024-05-24,91198.00000000,92373.00000000,87562.00000000,88829.00000000,9.81620000,1716595199999,873668.79910000,473,2.73480000,244341.99540000,0
2024-05-25,88801.00000000,92353.00000000,88801.00000000,90219.00000000,16.44800000,1716681599999,1492406.14830000,433,8.62110000,783941.26290000,0
2024-05-26,90268.00000000,92407.00000000,89547.00000000,91957.00000000,6.44890000,1716767999999,586741.98090000,323,1.90560000,173180.97150000,0
2024-05-27,90827.00000000,91697.00000000,88193.00000000,88746.00000000,15.67870000,1716854399999,1411853.56330000,715,5.67160000,513455.29260000,0
2024-05-28,88555.00000000,88698.00000000,86645.00000000,87671.00000000,20.66070000,1716940799999,1815730.55830000,996,8.75060000,769937.23510000,0
2024-05-29,87697.00000000,88329.00000000,86316.00000000,87009.00000000,8.85500000,1717027199999,772701.32780000,396,3.63790000,319221.78090000,0
2024-05-30,87073.00000000,87303.00000000,85833.00000000,87132.00000000,3.82620000,1717113599999,330934.40490000,684,1.89250000,163626.46740000,0
2024-05-31,87239.00000000,90563.00000000,87239.00000000,87524.00000000,21.11230000,1717199999999,1871535.68680000,637,14.58720000,1291326.79760000,0
