timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-01,36.50000000,36.50000000,32.93000000,34.97000000,17275.70000000,1722556799999,593735.35300000,246,5515.80000000,190318.84800000,0
2024-08-02,34.96000000,35.71000000,33.00000000,33.12000000,44744.60000000,1722643199999,1517736.55900000,557,28798.60000000,976194.05900000,0
2024-08-03,33.38000000,34.10000000,30.26000000,30.95000000,30764.70000000,1722729599999,996538.67300000,511,12698.60000000,411686.67100000,0
2024-08-04,31.04000000,31.32000000,29.00000000,29.71000000,15847.70000000,1722815999999,476488.46700000,277,4310.70000000,129859.60100000,0
2024-08-05,29.53000000,29.53000000,24.95000000,27.40000000,75762.20000000,1722902399999,2039166.93500000,1053,28520.60000000,770681.73500000,0
2024-08-06,28.29000000,29.68000000,28.13000000,29.30000000,13288.10000000,1722988799999,381224.63500000,227,9197.70000000,263063.60800000,0
2024-08-07,29.00000000,30.30000000,28.23000000,28.85000000,20774.20000000,1723075199999,611880.78000000,243,13382.10000000,394269.98700000,0
2024-08-08,28.59000000,31.54000000,28.55000000,31.50000000,50810.10000000,1723161599999,1524955.09000000,628,25619.80000000,769715.59900000,0
2024-08-09,31.57000000,33.43000000,31.32000000,33.19000000,96859.60000000,1723247999999,3138648.09000000,1299,48235.70000000,1562570.85900000,0
2024-08-10,33.06000000,36.80000000,32.64000000,34.03000000,235826.80000000,1723334399999,7982049.14700000,1791,124760.80000000,4234203.80700000,0
2024-08-11,34.14000000,34.14000000,31.71000000,31.94000000,36637.80000000,1723420799999,1221249.99500000,632,14986.20000000,501515.39900000,0
2024-08-12,32.16000000,32.99000000,31.10000000,32.69000000,24426.50000000,1723507199999,784671.53800000,290,9223.40000000,298344.67900000,0
2024-08-13,32.63000000,32.75000000,31.57000000,32.41000000,3332.50000000,1723593599999,107568.28100000,75,1884.80000000,61044.68100000,0
2024-08-14,32.45000000,34.15000000,32.12000000,32.52000000,80393.90000000,1723679999999,2673340.29900000,1312,39558.10000000,1314179.96100000,0
2024-08-15,32.53000000,32.58000000,30.65000000,31.04000000,27855.40000000,1723766399999,885569.61700000,390,12364.60000000,391876.08900000,0
2024-08-16,30.98000000,31.14000000,30.21000000,30.92000000,22708.80000000,1723852799999,698088.56000000,320,10875.80000000,334883.30700000,0
2024-08-17,30.69000000,31.09000000,30.64000000,31.05000000,16844.20000000,1723939199999,520549.68900000,308,6868.80000000,212714.66500000,0
2024-08-18,31.15000000,32.22000000,30.72000000,31.26000000,61342.40000000,1724025599999,1915249.66200000,432,39276.30000000,1222351.33300000,0
2024-08-19,31.34000000,31.97000000,30.90000000,31.92000000,34435.60000000,1724111999999,1082862.69500000,468,19559.90000000,616325.85700000,0
2024-08-20,31.85000000,32.74000000,31.77000000,32.55000000,26254.40000000,1724198399999,849045.16200000,276,11535.40000000,373752.27500000,0
2024-08-21,32.43000000,33.78000000,32.21000000,33.58000000,15821.50000000,1724284799999,522191.02400000,226,9783.20000000,322700.98600000,0
2024-08-22,33.80000000,34.70000000,33.24000000,34.09000000,97696.40000000,1724371199999,3377294.93900000,692,7112.10000000,243998.26900000,0
2024-08-23,34.12000000,36.00000000,34.05000000,35.74000000,35728.10000000,1724457599999,1258046.42300000,624,21544.20000000,759285.79300000,0
2024-08-24,35.81000000,36.50000000,35.24000000,36.08000000,116930.30000000,1724543999999,4222635.07100000,686,96109.30000000,3470801.30000000,0
2024-08-25,35.84000000,35.84000000,34.63000000,35.44000000,14497.30000000,1724630399999,512585.40700000,201,3499.10000000,123669.58100000,0
2024-08-26,35.31000000,35.45000000,33.34000000,33.47000000,42678.90000000,1724716799999,1463454.77000000,606,16326.30000000,556350.78300000,0
2024-08-27,33.49000000,33.84000000,30.78000000,31.32000000,18908.00000000,1724803199999,623611.57600000,325,4813.60000000,156720.37400000,0
2024-08-28,31.00000000,31.74000000,29.86000000,30.81000000,31073.80000000,1724889599999,963892.64100000,764,14775.90000000,457797.46400000,0
2024-08-29,30.87000000,31.56000000,30.18000000,30.53000000,13515.00000000,1724975999999,417883.89800000,205,4047.00000000,124845.33200000,0
2024-08-30,30.47000000,30.81000000,29.59000000,30.68000000,10502.60000000,1725062399999,318809.54700000,205,4389.70000000,133226.33700000,0
2024-08-31,30.74000000,30.74000000,29.90000000,30.39000000,2484.90000000,1725148799999,75095.63300000,57,2176.10000000,65825.98600000,0
