timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-15,1.11300000,1.71600000,1.11300000,1.64000000,561008973.00000000,1715817599999,829373974.21100000,99443,290576576.00000000,429575414.61100000,0
2024-05-16,1.64100000,1.81000000,1.44800000,1.60200000,288864659.00000000,1715903999999,471696505.83900000,47919,148542493.00000000,242432745.20100000,0
2024-05-17,1.60800000,1.82200000,1.49600000,1.59700000,179985079.00000000,1715990399999,292697464.23500000,27781,88466577.00000000,144072208.26000000,0
2024-05-18,1.60200000,1.68000000,1.41900000,1.47900000,109006709.00000000,1716076799999,167505072.26700000,18166,53267691.00000000,81998553.11000000,0
2024-05-19,1.48000000,1.50500000,1.39600000,1.44100000,66085829.00000000,1716163199999,95832406.28100000,9299,34483627.00000000,50014187.57000000,0
2024-05-20,1.43900000,1.51400000,1.36200000,1.42800000,103149697.00000000,1716249599999,146373544.19500000,15706,52425891.00000000,74552667.46300000,0
2024-05-21,1.42800000,1.67600000,1.36400000,1.61700000,162589422.00000000,1716335999999,245936997.77800000,27121,86805961.00000000,131506454.31000000,0
2024-05-22,1.61400000,2.18900000,1.60100000,2.11600000,257633896.00000000,1716422399999,509281628.76300000,50526,133178488.00000000,263240486.70700000,0
2024-05-23,2.11600000,2.84100000,2.02100000,2.66500000,318258005.00000000,1716508799999,750374706.29300000,66384,160706995.00000000,379052217.90900000,0
2024-05-24,2.66000000,2.81800000,2.49500000,2.67800000,128160712.00000000,1716595199999,340164871.00900000,28398,64407280.00000000,170841160.43400000,0
2024-05-25,2.68400000,3.17800000,2.36200000,2.48900000,238787551.00000000,1716681599999,644109891.38600000,49876,116681300.00000000,314913213.54700000,0
2024-05-26,2.48700000,2.76300000,2.42500000,2.43600000,190188442.00000000,1716767999999,489906772.12500000,35004,94548008.00000000,243632463.46800000,0
2024-05-27,2.43600000,2.77400000,2.41000000,2.60300000,161994360.00000000,1716854399999,420452689.53100000,31895,82152149.00000000,213408777.95000000,0
2024-05-28,2.60200000,3.11400000,2.41600000,2.77600000,287369100.00000000,1716940799999,799710579.70400000,61341,147127357.00000000,409176043.88900000,0
2024-05-29,2.77600000,2.85800000,2.53200000,2.56400000,89179922.00000000,1717027199999,240146690.60100000,20132,43577476.00000000,117599656.12900000,0
2024-05-30,2.56200000,2.74800000,2.38300000,2.45400000,78804534.00000000,1717113599999,197866275.88200000,15240,36767743.00000000,92428793.90700000,0
2024-05-31,2.45000000,2.81000000,2.41200000,2.75600000,139579615.00000000,1717199999999,370444338.64700000,27520,73787801.00000000,195846526.93500000,0
