timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-01,0.04020000,0.04070000,0.03820000,0.04070000,269236896.00000000,1690934399999,10689485.50740000,2562,121843001.00000000,4844262.06820000,0
2023-08-02,0.04070000,0.04090000,0.03900000,0.03960000,139601163.00000000,1691020799999,5578492.01890000,1642,63326485.00000000,2534223.05110000,0
2023-08-03,0.03950000,0.04020000,0.03880000,0.03960000,148795791.00000000,1691107199999,5894052.61110000,1344,70924769.00000000,2814699.29650000,0
2023-08-04,0.03960000,0.04040000,0.03910000,0.03940000,224535837.00000000,1691193599999,8934088.55080000,2122,114990726.00000000,4574828.43390000,0
2023-08-05,0.03940000,0.04000000,0.03860000,0.03980000,224974919.00000000,1691279999999,8870671.57550000,2354,117007840.00000000,4620367.09250000,0
2023-08-06,0.03980000,0.04150000,0.03980000,0.04120000,415721432.00000000,1691366399999,16989730.10130000,3346,226316840.00000000,9264387.85120000,0
2023-08-07,0.04130000,0.04240000,0.04050000,0.04210000,406305516.00000000,1691452799999,16987014.31790000,3613,209393506.00000000,8764977.34250000,0
2023-08-08,0.04210000,0.04330000,0.04170000,0.04200000,323712864.00000000,1691539199999,13787586.47180000,3188,166272449.00000000,7090465.68870000,0
2023-08-09,0.04210000,0.04220000,0.04140000,0.04180000,216833335.00000000,1691625599999,9055382.54520000,2313,97719557.00000000,4085841.75520000,0
2023-08-10,0.04180000,0.04310000,0.04140000,0.04180000,244706258.00000000,1691711999999,10337339.68410000,2262,127979498.00000000,5412727.23310000,0
2023-08-11,0.04180000,0.04340000,0.04160000,0.04200000,267928189.00000000,1691798399999,11387319.23210000,2368,139788803.00000000,5950385.55210000,0
2023-08-12,0.04190000,0.04250000,0.04160000,0.04200000,174273351.00000000,1691884799999,7338566.33150000,1319,84993063.00000000,3580093.74490000,0
2023-08-13,0.04200000,0.04600000,0.04180000,0.04430000,826827649.00000000,1691971199999,36720789.23310000,6685,429835779.00000000,19062033.93180000,0
2023-08-14,0.04440000,0.04520000,0.04300000,0.04360000,316588050.00000000,1692057599999,13870411.58410000,2939,140002395.00000000,6142246.51220000,0
2023-08-15,0.04360000,0.04370000,0.03780000,0.04020000,323362111.00000000,1692143999999,13363530.09040000,3093,140432996.00000000,5783797.66950000,0
2023-08-16,0.04020000,0.04030000,0.03680000,0.03780000,338097756.00000000,1692230399999,13118274.74070000,2932,126520298.00000000,4922360.68480000,0
2023-08-17,0.03780000,0.03860000,0.03113000,0.03414000,277025739.00000000,1692316799999,10165897.70574000,3089,126147918.00000000,4691750.58578000,0
2023-08-18,0.03406000,0.03582000,0.03400000,0.03553000,188416966.00000000,1692403199999,6619575.48019000,2144,85455512.00000000,3000889.14328000,0
2023-08-19,0.03553000,0.03675000,0.03553000,0.03630000,91132209.00000000,1692489599999,3294188.66598000,1063,50834591.00000000,1838217.89011000,0
2023-08-20,0.03630000,0.03661000,0.03568000,0.03626000,77818395.00000000,1692575999999,2815817.33151000,809,36856995.00000000,1335095.06469000,0
2023-08-21,0.03620000,0.03630000,0.03440000,0.03540000,115842140.00000000,1692662399999,4096968.23395000,1015,42372076.00000000,1497672.19231000,0
2023-08-22,0.03539000,0.03570000,0.03400000,0.03552000,118750858.00000000,1692748799999,4175486.82036000,1086,53076680.00000000,1867726.47773000,0
2023-08-23,0.03553000,0.03668000,0.03530000,0.03618000,97632194.00000000,1692835199999,3497947.96481000,1035,53847223.00000000,1930185.07059000,0
2023-08-24,0.03620000,0.03641000,0.03378000,0.03491000,185555717.00000000,1692921599999,6489128.01241000,1378,101861052.00000000,3559187.02543000,0
2023-08-25,0.03491000,0.03785000,0.03291000,0.03472000,977150469.00000000,1693007999999,34480387.00858000,7611,455963742.00000000,16157405.11618000,0
2023-08-26,0.03473000,0.03572000,0.03443000,0.03457000,310489311.00000000,1693094399999,10898873.09264000,2087,155091764.00000000,5444671.82078000,0
2023-08-27,0.03457000,0.03589000,0.03434000,0.03587000,144496095.00000000,1693180799999,5116891.55646000,1286,74452427.00000000,2633207.87158000,0
2023-08-28,0.03581000,0.03680000,0.03491000,0.03669000,363125000.00000000,1693267199999,13001412.58664000,2681,201301021.00000000,7208562.23493000,0
2023-08-29,0.03674000,0.03809000,0.03543000,0.03782000,251269140.00000000,1693353599999,9214514.46445000,2029,128413596.00000000,4714887.63093000,0
2023-08-30,0.03785000,0.03859000,0.03722000,0.03772000,211452028.00000000,1693439999999,8004631.42143000,1534,119750289.00000000,4534280.15878000,0
2023-08-31,0.03772000,0.03818000,0.03610000,0.03688000,95980276.00000000,1693526399999,3576561.41783000,1041,52116167.00000000,1943146.93755000,0
