timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-01,154.90000000,155.50000000,144.00000000,146.70000000,78974.08000000,1725235199999,11936262.84400000,2525,37437.96000000,5662046.12100000,0
2024-09-02,146.10000000,155.80000000,144.20000000,152.40000000,91563.04000000,1725321599999,13793828.70000000,2744,46958.37000000,7072834.69300000,0
2024-09-03,152.20000000,155.10000000,137.60000000,138.00000000,98927.96000000,1725407999999,14492117.67000000,5051,44275.56000000,6498613.46600000,0
2024-09-04,138.00000000,149.00000000,132.10000000,141.80000000,150632.12000000,1725494399999,21481789.84200000,4237,81123.97000000,11574885.73000000,0
2024-09-05,142.00000000,143.80000000,135.90000000,137.80000000,186796.57000000,1725580799999,26044595.66400000,7806,81044.94000000,11295910.92200000,0
2024-09-06,138.10000000,142.70000000,128.00000000,134.60000000,193836.81000000,1725667199999,26495515.11800000,7515,93934.76000000,12865214.45200000,0
2024-09-07,134.30000000,138.10000000,132.80000000,135.20000000,108190.64000000,1725753599999,14702240.38200000,3696,53358.82000000,7261042.75600000,0
2024-09-08,135.30000000,140.10000000,133.80000000,138.80000000,114167.01000000,1725839999999,15619159.97700000,3241,60453.20000000,8275718.91400000,0
2024-09-09,139.10000000,149.00000000,138.90000000,145.30000000,129181.31000000,1725926399999,18533229.32800000,4319,66852.43000000,9588655.26300000,0
2024-09-10,145.40000000,146.00000000,140.00000000,144.40000000,92253.67000000,1726012799999,13201801.37000000,2882,45753.16000000,6549798.90100000,0
2024-09-11,144.30000000,144.70000000,132.50000000,140.20000000,121157.13000000,1726099199999,16648579.97300000,4866,54255.48000000,7456919.20400000,0
2024-09-12,140.30000000,147.40000000,139.40000000,143.80000000,139604.87000000,1726185599999,20176660.33300000,5202,76074.06000000,11005336.42000000,0
2024-09-13,144.40000000,156.50000000,138.40000000,153.90000000,157417.47000000,1726271999999,23045292.53300000,6786,68906.38000000,10147114.66600000,0
2024-09-14,153.20000000,160.20000000,146.90000000,158.70000000,361788.29000000,1726358399999,55649560.36000000,10886,182287.14000000,28034533.28200000,0
2024-09-15,158.20000000,174.60000000,157.40000000,163.50000000,711359.83000000,1726444799999,119220670.66200000,20226,373158.94000000,62563432.32500000,0
2024-09-16,163.40000000,163.90000000,152.60000000,155.20000000,217485.55000000,1726531199999,34296583.84700000,6298,102658.71000000,16193728.74400000,0
2024-09-17,154.40000000,180.80000000,154.40000000,178.50000000,549601.45000000,1726617599999,95202775.63700000,12170,302608.98000000,52425616.24400000,0
2024-09-18,178.60000000,186.50000000,170.70000000,180.40000000,238056.86000000,1726703999999,42688188.49000000,7423,112811.68000000,20256838.98200000,0
