timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-01,581.00000000,589.00000000,514.60000000,543.50000000,10151.59000000,1712015999999,5627543.43300000,2049,5599.14000000,3106890.90600000,0
2024-04-02,539.60000000,539.60000000,482.40000000,489.20000000,9983.40000000,1712102399999,4990038.05200000,2335,4392.24000000,2200441.63000000,0
2024-04-03,489.20000000,501.60000000,465.20000000,489.50000000,7183.16000000,1712188799999,3463329.01000000,1578,4066.68000000,1968812.08900000,0
2024-04-04,486.80000000,500.80000000,480.40000000,492.90000000,2995.60000000,1712275199999,1469947.90000000,1348,1689.26000000,830105.32100000,0
2024-04-05,489.20000000,492.70000000,470.90000000,479.30000000,2188.62000000,1712361599999,1046981.01600000,406,1296.06000000,619322.27400000,0
2024-04-06,478.30000000,485.40000000,476.00000000,481.80000000,3430.34000000,1712447999999,1641323.81600000,328,1862.04000000,891941.69500000,0
2024-04-07,480.50000000,534.00000000,479.80000000,517.60000000,22791.88000000,1712534399999,11679133.32700000,4706,9425.17000000,4824403.98400000,0
2024-04-08,519.40000000,532.10000000,508.40000000,520.50000000,29679.00000000,1712620799999,15455612.40000000,6191,16828.66000000,8756513.04000000,0
2024-04-09,521.00000000,528.50000000,508.30000000,521.70000000,3976.90000000,1712707199999,2076241.94500000,2130,2267.19000000,1183766.86500000,0
2024-04-10,520.70000000,524.70000000,466.30000000,489.00000000,8562.91000000,1712793599999,4209345.59900000,4344,3030.77000000,1482328.51600000,0
2024-04-11,487.30000000,520.90000000,478.30000000,508.30000000,12504.96000000,1712879999999,6341250.39600000,2803,5830.84000000,2953667.23100000,0
2024-04-12,508.70000000,550.00000000,448.30000000,452.30000000,21077.87000000,1712966399999,10703753.24800000,4070,11276.26000000,5713193.56600000,0
2024-04-13,449.10000000,450.50000000,287.50000000,326.30000000,92419.08000000,1713052799999,30951870.77700000,12021,40071.57000000,13547091.44900000,0
2024-04-14,325.20000000,340.50000000,307.80000000,325.00000000,100990.36000000,1713139199999,32625910.58600000,9120,46070.04000000,14881335.82800000,0
2024-04-15,326.50000000,346.90000000,300.00000000,309.80000000,50881.12000000,1713225599999,16704307.90000000,5939,32348.14000000,10637299.74800000,0
2024-04-16,309.00000000,319.50000000,295.00000000,314.70000000,14197.04000000,1713311999999,4387365.73600000,3495,7732.89000000,2388705.46100000,0
2024-04-17,314.60000000,322.70000000,301.20000000,312.90000000,9227.90000000,1713398399999,2878088.93400000,2213,5703.31000000,1777956.03200000,0
2024-04-18,314.30000000,340.90000000,306.40000000,327.90000000,19905.86000000,1713484799999,6499325.56000000,2750,10700.13000000,3484265.00800000,0
2024-04-19,326.90000000,350.00000000,309.70000000,337.60000000,7246.69000000,1713571199999,2433969.92100000,2127,4075.17000000,1370697.89200000,0
2024-04-20,338.80000000,359.50000000,334.20000000,355.30000000,6514.77000000,1713657599999,2289175.02200000,1799,3204.07000000,1124179.60800000,0
2024-04-21,354.60000000,358.40000000,342.10000000,349.00000000,2778.85000000,1713743999999,978793.98400000,1451,1579.20000000,556722.35600000,0
2024-04-22,349.20000000,364.40000000,345.10000000,357.80000000,4086.35000000,1713830399999,1456961.95200000,1123,2823.38000000,1007625.32700000,0
2024-04-23,357.60000000,364.00000000,350.90000000,360.70000000,3276.10000000,1713916799999,1172114.77300000,1303,1935.04000000,690580.84300000,0
2024-04-24,360.90000000,379.00000000,290.00000000,345.70000000,7026.70000000,1714003199999,2539134.88000000,2154,3805.29000000,1376760.81400000,0
2024-04-25,350.10000000,355.70000000,332.50000000,348.60000000,3962.15000000,1714089599999,1356155.18500000,1672,1804.45000000,613576.42700000,0
2024-04-26,348.50000000,349.10000000,330.40000000,333.60000000,3086.77000000,1714175999999,1047405.49300000,994,1298.66000000,439938.71600000,0
2024-04-27,334.60000000,341.90000000,325.00000000,336.00000000,1839.95000000,1714262399999,609114.27400000,581,977.38000000,322848.29500000,0
2024-04-28,335.60000000,342.50000000,332.00000000,332.00000000,999.33000000,1714348799999,337813.99700000,587,573.69000000,194277.63100000,0
2024-04-29,333.20000000,337.00000000,319.80000000,334.30000000,2182.25000000,1714435199999,713963.56900000,1068,1137.08000000,370789.85600000,0
2024-04-30,333.90000000,335.10000000,300.30000000,312.30000000,3288.60000000,1714521599999,1027077.92300000,1741,1608.01000000,500565.75100000,0
