timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-01,23887.00000000,24200.00000000,23662.00000000,24200.00000000,3.58200000,1717286399999,85649.88600000,29,2.28500000,54712.39600000,0
2024-06-02,24295.00000000,24295.00000000,23608.00000000,24216.00000000,3.10800000,1717372799999,74637.19200000,48,1.92900000,46369.83300000,0
2024-06-03,24142.00000000,25399.00000000,24135.00000000,24830.00000000,8.01800000,1717459199999,199237.35200000,59,3.73900000,92800.09900000,0
2024-06-04,25279.00000000,27253.00000000,25014.00000000,27253.00000000,4.97500000,1717545599999,129946.43400000,76,3.92600000,102980.33500000,0
2024-06-05,27399.00000000,28253.00000000,27051.00000000,27699.00000000,8.14100000,1717631999999,225356.51900000,58,5.37100000,148888.64900000,0
2024-06-06,27685.00000000,29554.00000000,27298.00000000,28076.00000000,5.91800000,1717718399999,166900.02000000,89,4.01200000,113021.58700000,0
2024-06-07,29074.00000000,29294.00000000,26709.00000000,28330.00000000,56.30600000,1717804799999,1607981.21300000,160,18.43100000,527460.10800000,0
2024-06-08,28075.00000000,28744.00000000,28046.00000000,28507.00000000,11.82700000,1717891199999,334588.15200000,91,7.40300000,209678.21600000,0
2024-06-09,28192.00000000,28323.00000000,27203.00000000,27203.00000000,4.39000000,1717977599999,123327.71000000,47,2.79500000,78555.44600000,0
2024-06-10,27937.00000000,27938.00000000,25697.00000000,25833.00000000,27.74500000,1718063999999,739131.43400000,80,14.95100000,401031.49300000,0
2024-06-11,26184.00000000,26347.00000000,25283.00000000,25470.00000000,26.14100000,1718150399999,670589.78600000,112,18.10400000,465114.34300000,0
2024-06-12,25470.00000000,26948.00000000,25359.00000000,26383.00000000,22.94100000,1718236799999,600775.88900000,90,9.55500000,250460.77800000,0
2024-06-13,25864.00000000,25996.00000000,25325.00000000,25688.00000000,16.83200000,1718323199999,435653.85700000,53,12.88700000,333869.99400000,0
2024-06-14,25705.00000000,26102.00000000,25323.00000000,25966.00000000,4.03500000,1718409599999,104407.54700000,42,2.01900000,52401.21900000,0
2024-06-15,25821.00000000,26328.00000000,25765.00000000,25837.00000000,8.63000000,1718495999999,224986.28200000,47,3.80600000,99569.78500000,0
2024-06-16,25877.00000000,26598.00000000,25371.00000000,25720.00000000,10.66600000,1718582399999,273541.58700000,53,5.43400000,139386.22600000,0
2024-06-17,25790.00000000,26275.00000000,25002.00000000,25788.00000000,21.04100000,1718668799999,536062.50900000,79,13.38700000,341907.59800000,0
2024-06-18,25590.00000000,25590.00000000,24415.00000000,24818.00000000,27.55400000,1718755199999,685947.67400000,115,13.83400000,344691.42500000,0
2024-06-19,24910.00000000,25645.00000000,24740.00000000,25645.00000000,28.53900000,1718841599999,717325.43000000,108,16.92100000,425692.17800000,0
2024-06-20,25499.00000000,25676.00000000,24444.00000000,24444.00000000,45.46500000,1718927999999,1142270.52600000,115,27.03200000,679306.30300000,0
2024-06-21,24444.00000000,24951.00000000,23900.00000000,24797.00000000,64.22900000,1719014399999,1572310.93400000,181,36.25900000,890342.22400000,0
2024-06-22,24644.00000000,25071.00000000,24268.00000000,24947.00000000,31.83500000,1719100799999,787260.71000000,103,18.46700000,456525.76100000,0
2024-06-23,24931.00000000,25292.00000000,24453.00000000,24529.00000000,31.05700000,1719187199999,770658.75900000,46,25.88300000,642839.51400000,0
2024-06-24,24502.00000000,24502.00000000,23100.00000000,23861.00000000,70.02300000,1719273599999,1655127.47600000,202,34.04600000,806366.17600000,0
2024-06-25,23881.00000000,24799.00000000,23881.00000000,24702.00000000,21.66500000,1719359999999,526429.99700000,89,6.06700000,148264.72600000,0
2024-06-26,24551.00000000,24965.00000000,24302.00000000,24316.00000000,11.22000000,1719446399999,274909.65400000,66,5.40400000,132648.24700000,0
2024-06-27,24373.00000000,24851.00000000,24195.00000000,24620.00000000,12.29400000,1719532799999,301253.16400000,46,3.85500000,94805.21500000,0
2024-06-28,24620.00000000,24715.00000000,23900.00000000,24073.00000000,28.72300000,1719619199999,692475.68800000,87,13.88500000,335123.11400000,0
2024-06-29,24061.00000000,24220.00000000,23801.00000000,23801.00000000,2.56700000,1719705599999,61571.29700000,25,0.85000000,20439.89700000,0
2024-06-30,24066.00000000,24309.00000000,23803.00000000,24207.00000000,14.60000000,1719791999999,351551.00500000,82,7.97500000,192348.51600000,0
