timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-08,1065789.00000000,1072944.00000000,1027557.00000000,1041419.00000000,8.24029000,1683590399999,8648391.07577000,965,2.32348000,2437558.68015000,0
2023-05-09,1041419.00000000,1046800.00000000,1031420.00000000,1039358.00000000,2.59111000,1683676799999,2687849.55551000,399,1.31088000,1361264.85658000,0
2023-05-10,1045000.00000000,1067157.00000000,1010664.00000000,1043003.00000000,1.59481000,1683763199999,1665373.36536000,388,0.76278000,796864.91160000,0
2023-05-11,1041808.00000000,1050000.00000000,1010664.00000000,1021200.00000000,2.24709000,1683849599999,2310796.02799000,441,1.17528000,1212668.88999000,0
2023-05-12,1017953.00000000,1018322.00000000,979797.00000000,1012793.00000000,1.95674000,1683935999999,1961995.24069000,459,0.85257000,856411.69359000,0
2023-05-13,1013184.00000000,1022416.00000000,1011275.00000000,1014681.00000000,1.36128000,1684022399999,1382175.09378000,279,0.64068000,650755.22559000,0
2023-05-14,1012897.00000000,1026194.00000000,1005863.00000000,1019637.00000000,1.56235000,1684108799999,1588985.16227000,298,0.38002000,385420.65173000,0
2023-05-15,1014000.00000000,1046085.00000000,1014000.00000000,1030000.00000000,14.47045000,1684195199999,14850833.33535000,747,6.78102000,6940648.55776000,0
2023-05-16,1030095.00000000,1031125.00000000,1019622.00000000,1022773.00000000,1.12232000,1684281599999,1150621.54325000,259,0.58184000,596610.65638000,0
2023-05-17,1028866.00000000,1041028.00000000,1008035.00000000,1040338.00000000,2.11140000,1684367999999,2150773.21284000,479,0.63208000,646782.89746000,0
2023-05-18,1037866.00000000,1040086.00000000,1005067.00000000,1021978.00000000,3.83834000,1684454399999,3904152.40948000,472,1.14476000,1166323.89296000,0
2023-05-19,1021645.00000000,1031298.00000000,1016422.00000000,1024698.00000000,1.22194000,1684540799999,1250832.50463000,333,0.26808000,274366.68779000,0
2023-05-20,1024492.00000000,1031048.00000000,1022996.00000000,1030361.00000000,0.80300000,1684627199999,824120.81825000,243,0.49309000,506427.84953000,0
2023-05-21,1030361.00000000,1036196.00000000,1018948.00000000,1021828.00000000,1.04074000,1684713599999,1069066.67338000,321,0.58816000,605016.19600000,0
2023-05-22,1019392.00000000,1030284.00000000,1011886.00000000,1023021.00000000,1.17146000,1684799999999,1195986.68227000,357,0.30540000,311943.23696000,0
2023-05-23,1023292.00000000,1045864.00000000,1021592.00000000,1037154.00000000,2.58727000,1684886399999,2688317.62253000,598,1.19025000,1237372.88718000,0
2023-05-24,1036576.00000000,1036576.00000000,998801.00000000,1007046.00000000,3.65786000,1684972799999,3699559.39822000,639,1.15534000,1169062.35490000,0
2023-05-25,1006000.00000000,1015318.00000000,991706.00000000,1013319.00000000,2.27193000,1685059199999,2285139.89957000,485,1.05521000,1063394.41358000,0
2023-05-26,1013059.00000000,1031812.00000000,1009032.00000000,1025638.00000000,1.52469000,1685145599999,1549535.24637000,407,0.32095000,327362.15546000,0
2023-05-27,1026340.00000000,1029432.00000000,1019994.00000000,1028452.00000000,0.75035000,1685231999999,768677.30473000,341,0.36620000,375009.15968000,0
2023-05-28,1027398.00000000,1076960.00000000,1027398.00000000,1072501.00000000,4.41957000,1685318399999,4632225.98022000,827,1.69368000,1773449.43457000,0
2023-05-29,1072719.00000000,1083665.00000000,1049708.00000000,1058042.00000000,1.41964000,1685404799999,1508625.91551000,531,0.64935000,690250.39766000,0
2023-05-30,1058042.00000000,1069694.00000000,1053954.00000000,1056053.00000000,1.58667000,1685491199999,1683434.03481000,480,0.56336000,597620.78552000,0
2023-05-31,1054563.00000000,1060087.00000000,1024470.00000000,1037152.00000000,1.91405000,1685577599999,1983969.27416000,486,0.74837000,776251.00342000,0
