timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-01,152398.00000000,153695.00000000,151190.00000000,153695.00000000,0.41200000,1717286399999,62626.85390000,19,0.18510000,28285.21030000,0
2024-06-02,152545.00000000,152545.00000000,150170.00000000,151624.00000000,0.14510000,1717372799999,21967.31840000,10,0.06500000,9827.06480000,0
2024-06-03,152604.00000000,153292.00000000,150005.00000000,150695.00000000,0.79530000,1717459199999,120919.50450000,15,0.27530000,41635.68830000,0
2024-06-04,149253.00000000,152430.00000000,147708.00000000,151733.00000000,0.59010000,1717545599999,88256.08520000,20,0.54920000,82151.00880000,0
2024-06-05,149958.00000000,151912.00000000,149958.00000000,151912.00000000,0.37010000,1717631999999,55627.02080000,8,0.07960000,12027.10900000,0
2024-06-06,150750.00000000,156949.00000000,150582.00000000,155285.00000000,1.68730000,1717718399999,260562.35300000,34,0.84180000,130005.09850000,0
2024-06-07,156654.00000000,157009.00000000,147504.00000000,152240.00000000,1.18740000,1717804799999,182438.12220000,34,0.56510000,87239.04190000,0
2024-06-08,151075.00000000,153483.00000000,151075.00000000,152442.00000000,0.41070000,1717891199999,62582.30220000,27,0.22630000,34538.72720000,0
2024-06-09,153339.00000000,154013.00000000,152081.00000000,153379.00000000,0.80680000,1717977599999,123343.11980000,16,0.36130000,55454.37710000,0
2024-06-10,152324.00000000,153886.00000000,152027.00000000,153214.00000000,14.80260000,1718063999999,2262168.37100000,98,7.29630000,1114904.63660000,0
2024-06-11,152053.00000000,152053.00000000,146361.00000000,149893.00000000,4.37380000,1718150399999,648020.38710000,49,2.71030000,402585.58790000,0
2024-06-12,149393.00000000,154159.00000000,148150.00000000,151742.00000000,7.36090000,1718236799999,1100266.63280000,64,4.27170000,640256.88920000,0
2024-06-13,150382.00000000,150382.00000000,147682.00000000,149061.00000000,1.89250000,1718323199999,282762.85530000,29,1.75780000,262742.36980000,0
2024-06-14,150134.00000000,150700.00000000,145001.00000000,150058.00000000,0.51980000,1718409599999,77433.35210000,28,0.28820000,42987.27180000,0
2024-06-15,151009.00000000,154172.00000000,149922.00000000,153169.00000000,1.46870000,1718495999999,223114.00240000,29,0.74070000,112336.45440000,0
2024-06-16,153091.00000000,154266.00000000,149784.00000000,154266.00000000,1.99600000,1718582399999,303342.44690000,35,0.58280000,88375.00160000,0
2024-06-17,155120.00000000,155120.00000000,147259.00000000,149773.00000000,2.76530000,1718668799999,416963.15950000,56,1.32360000,197910.90010000,0
2024-06-18,148357.00000000,148859.00000000,142856.00000000,147343.00000000,4.95030000,1718755199999,722148.09560000,74,2.73770000,400930.35390000,0
2024-06-19,146514.00000000,152520.00000000,146514.00000000,151072.00000000,4.17130000,1718841599999,625029.03130000,62,2.27630000,340378.09560000,0
2024-06-20,152341.00000000,154028.00000000,146477.00000000,147260.00000000,1.35330000,1718927999999,204677.06580000,47,0.90490000,137204.04850000,0
2024-06-21,146924.00000000,149591.00000000,144482.00000000,149330.00000000,4.95970000,1719014399999,727178.93650000,94,2.54190000,373362.18180000,0
2024-06-22,148552.00000000,150183.00000000,145225.00000000,147735.00000000,5.98400000,1719100799999,879735.98870000,103,3.98210000,584911.03910000,0
2024-06-23,148712.00000000,148713.00000000,144596.00000000,144596.00000000,3.22940000,1719187199999,479286.04670000,56,1.36100000,201725.55770000,0
2024-06-24,143753.00000000,145064.00000000,134124.00000000,141417.00000000,8.86080000,1719273599999,1234530.97990000,131,5.37040000,748389.32300000,0
2024-06-25,141784.00000000,146341.00000000,141179.00000000,144416.00000000,2.96900000,1719359999999,426608.26290000,43,1.86520000,267561.38830000,0
2024-06-26,143786.00000000,146280.00000000,143189.00000000,144510.00000000,2.09280000,1719446399999,302534.18700000,28,1.85250000,267860.11430000,0
2024-06-27,143351.00000000,147797.00000000,143047.00000000,147297.00000000,0.68160000,1719532799999,99711.37130000,20,0.39420000,57932.04160000,0
2024-06-28,147896.00000000,147896.00000000,142223.00000000,142854.00000000,1.30090000,1719619199999,188589.43700000,40,0.86090000,124788.66780000,0
2024-06-29,143459.00000000,143549.00000000,142000.00000000,142000.00000000,0.31600000,1719705599999,45198.01960000,10,0.28600000,40916.20960000,0
2024-06-30,141484.00000000,143569.00000000,140182.00000000,143569.00000000,1.48580000,1719791999999,210812.82000000,26,1.37510000,195165.46020000,0
