timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-07-01,15115560.00000000,15289097.00000000,15000000.00000000,15021009.00000000,0.36060000,1688255999999,5463068.46474000,235,0.26625000,4038794.30550000,0
2023-07-02,15165422.00000000,15259227.00000000,14855015.00000000,15191577.00000000,0.37698000,1688342399999,5701818.44528000,275,0.26405000,4005058.20082000,0
2023-07-03,15180847.00000000,15600140.00000000,15010004.00000000,15444037.00000000,0.57037000,1688428799999,8743365.43809000,354,0.46024000,7067944.66903000,0
2023-07-04,15400076.00000000,15579999.00000000,15000015.00000000,15248432.00000000,0.83472000,1688515199999,12805151.43206000,380,0.63373000,9724955.76428000,0
2023-07-05,15082001.00000000,15409863.00000000,14850014.00000000,15203411.00000000,0.72180000,1688601599999,10932130.04026000,376,0.43512000,6601568.70547000,0
2023-07-06,15184492.00000000,15713526.00000000,14875251.00000000,15057358.00000000,0.94756000,1688687999999,14402664.91767000,437,0.57536000,8771692.53701000,0
2023-07-07,15053574.00000000,15399993.00000000,14900100.00000000,15000000.00000000,0.84950000,1688774399999,12906409.48222000,391,0.53603000,8151843.54169000,0
2023-07-08,15000011.00000000,15296712.00000000,15000010.00000000,15254003.00000000,0.66309000,1688860799999,10063920.01693000,282,0.44046000,6704530.12919000,0
2023-07-09,15246081.00000000,15298511.00000000,15079396.00000000,15138164.00000000,0.38326000,1688947199999,5833469.53674000,192,0.28016000,4270942.34652000,0
2023-07-10,15187798.00000000,15550336.00000000,14900018.00000000,15136463.00000000,1.08226000,1689033599999,16522231.03794000,498,0.76966000,11765962.16062000,0
2023-07-11,15289708.00000000,15582629.00000000,15138268.00000000,15564418.00000000,1.68546000,1689119999999,25923937.20906000,443,0.88452000,13606350.73621000,0
2023-07-12,15564421.00000000,15697164.00000000,15160000.00000000,15459777.00000000,1.97226000,1689206399999,30602457.02224000,632,0.93241000,14468213.19522000,0
2023-07-13,15454507.00000000,16363487.00000000,15384573.00000000,16136654.00000000,2.75708000,1689292799999,43763398.76457000,996,1.54074000,24399715.14256000,0
2023-07-14,16216727.00000000,16468685.00000000,15800002.00000000,15996852.00000000,3.17919000,1689379199999,51007414.65884000,1012,1.39558000,22415302.92260000,0
2023-07-15,16018501.00000000,16044522.00000000,15890820.00000000,15981090.00000000,1.79701000,1689465599999,28738765.08664000,650,0.93413000,14930423.21614000,0
2023-07-16,15984157.00000000,16106193.00000000,15890729.00000000,15973039.00000000,0.86046000,1689551999999,13740365.68369000,503,0.46667000,7453696.85683000,0
2023-07-17,15972062.00000000,16200000.00000000,15200917.00000000,15832412.00000000,4.59260000,1689638399999,72634695.88855000,1600,2.23651000,35365048.40456000,0
2023-07-18,15830201.00000000,15863764.00000000,15300004.00000000,15487956.00000000,4.86275000,1689724799999,76141690.21427000,1602,2.49843000,39101859.62328000,0
2023-07-19,15487955.00000000,15696394.00000000,15358501.00000000,15577857.00000000,4.91575000,1689811199999,76542382.14881000,1355,2.46003000,38293512.41864000,0
2023-07-20,15577682.00000000,15893906.00000000,15352855.00000000,15514483.00000000,5.72326000,1689897599999,89438102.05619000,1592,2.92480000,45665947.08967000,0
2023-07-21,15500332.00000000,15832697.00000000,15450001.00000000,15617452.00000000,3.46956000,1689983999999,53995814.31139000,1320,1.68444000,26213804.60680000,0
2023-07-22,15621176.00000000,15678193.00000000,15466131.00000000,15534951.00000000,2.96673000,1690070399999,46277633.73258000,1287,1.45352000,22659850.26457000,0
2023-07-23,15576742.00000000,15834543.00000000,15485517.00000000,15698964.00000000,2.57223000,1690156799999,40325669.08413000,918,1.32612000,20780407.02765000,0
2023-07-24,15695792.00000000,15775320.00000000,15200951.00000000,15566000.00000000,6.03668000,1690243199999,93312308.77629000,2106,2.88561000,44585536.94183000,0
2023-07-25,15579846.00000000,15899982.00000000,15440001.00000000,15510021.00000000,3.27847000,1690329599999,51441513.78768000,1189,1.56466000,24564059.95633000,0
2023-07-26,15503974.00000000,15880000.00000000,15490035.00000000,15727769.00000000,3.52269000,1690415999999,55109643.18532000,1161,1.88187000,29452807.00627000,0
2023-07-27,15734405.00000000,15885000.00000000,15608202.00000000,15663716.00000000,2.09498000,1690502399999,32969479.39105000,773,0.97233000,15304005.07139000,0
2023-07-28,15656556.00000000,15857630.00000000,15640199.00000000,15722611.00000000,2.13756000,1690588799999,33612149.19758000,766,1.17177000,18432496.15903000,0
2023-07-29,15722026.00000000,15783571.00000000,15681990.00000000,15704652.00000000,1.72274000,1690675199999,27095847.78020000,696,0.66179000,10407056.46081000,0
2023-07-30,15713587.00000000,15749625.00000000,15572787.00000000,15672215.00000000,1.32727000,1690761599999,20789242.91642000,589,0.69478000,10879842.19663000,0
2023-07-31,15664894.00000000,15807548.00000000,15609762.00000000,15702560.00000000,2.50784000,1690847999999,39421451.15733000,903,1.32978000,20904104.04934000,0
