timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-02-01,1.48700000,1.53800000,1.46900000,1.53700000,726237.10000000,1643759999999,1088130.93810000,1681,327524.60000000,491904.91120000,0
2022-02-02,1.53900000,1.54700000,1.44000000,1.44500000,743550.80000000,1643846399999,1112643.46830000,1642,298302.00000000,448276.71230000,0
2022-02-03,1.44900000,1.48300000,1.43000000,1.47900000,665125.70000000,1643932799999,968629.96900000,1345,262369.60000000,382723.40630000,0
2022-02-04,1.48000000,1.60800000,1.46700000,1.60500000,1165848.70000000,1644019199999,1788819.66030000,1692,663037.30000000,1022442.97910000,0
2022-02-05,1.60900000,1.67200000,1.55700000,1.59500000,865229.40000000,1644105599999,1402994.08790000,1982,425801.00000000,692567.27820000,0
2022-02-06,1.59700000,1.62800000,1.55800000,1.61700000,634194.10000000,1644191999999,1011390.80800000,1304,282071.20000000,450836.56950000,0
2022-02-07,1.61600000,1.70200000,1.59400000,1.68600000,1129214.40000000,1644278399999,1880683.39870000,2468,552127.80000000,920589.46630000,0
2022-02-08,1.68500000,1.78100000,1.59300000,1.65000000,1326827.10000000,1644364799999,2254758.30460000,3091,631775.40000000,1075051.86730000,0
2022-02-09,1.65300000,1.69400000,1.61300000,1.66400000,583417.60000000,1644451199999,965215.42780000,1359,265019.40000000,438347.48220000,0
2022-02-10,1.66500000,1.70300000,1.60000000,1.61100000,751474.90000000,1644537599999,1237921.20750000,1924,349399.70000000,576911.26870000,0
2022-02-11,1.61100000,1.63200000,1.50000000,1.51800000,737535.50000000,1644623999999,1164442.86020000,1682,301669.10000000,476935.48840000,0
2022-02-12,1.51500000,1.53600000,1.44700000,1.48800000,1054296.60000000,1644710399999,1577279.70010000,2077,525887.10000000,786954.75970000,0
2022-02-13,1.48700000,1.50900000,1.45100000,1.46300000,594422.40000000,1644796799999,879494.06800000,1188,249242.60000000,369347.20320000,0
2022-02-14,1.46100000,1.48300000,1.43100000,1.47600000,590108.40000000,1644883199999,859305.17910000,1287,273061.40000000,397911.55200000,0
2022-02-15,1.47700000,1.56000000,1.47300000,1.55300000,1126869.10000000,1644969599999,1714327.35820000,1580,563968.50000000,857697.13930000,0
2022-02-16,1.55000000,1.55200000,1.49000000,1.50600000,1306899.40000000,1645055999999,1995655.05120000,1524,663478.50000000,1013928.35200000,0
2022-02-17,1.51200000,1.51900000,1.40700000,1.42500000,628602.10000000,1645142399999,920464.66110000,1429,256924.90000000,377188.92510000,0
2022-02-18,1.42000000,1.44700000,1.37700000,1.39200000,913186.50000000,1645228799999,1289752.18690000,1765,376242.20000000,532175.17200000,0
2022-02-19,1.39100000,1.42300000,1.36100000,1.39600000,572320.50000000,1645315199999,798233.77670000,1240,281996.70000000,394013.44720000,0
2022-02-20,1.39200000,1.39400000,1.28500000,1.30100000,1214590.80000000,1645401599999,1600287.54320000,2315,507126.00000000,669235.60520000,0
2022-02-21,1.30200000,1.37700000,1.18800000,1.19500000,1443732.72500000,1645487999999,1863657.84284900,3144,680048.10000000,882294.82360000,0
2022-02-22,1.19900000,1.24300000,1.13400000,1.23100000,2394363.94100000,1645574399999,2838494.70429800,3609,1218504.50000000,1449031.62360000,0
2022-02-23,1.23200000,1.32200000,1.19600000,1.19700000,1363711.90000000,1645660799999,1724139.67470000,2412,659534.60000000,835447.30890000,0
2022-02-24,1.19700000,1.25600000,1.04100000,1.19400000,5194263.12100000,1645747199999,5759259.89103400,7660,2398255.80000000,2670045.29300000,0
2022-02-25,1.19400000,1.26000000,1.14800000,1.24600000,1439088.60000000,1645833599999,1724814.61200000,2500,694772.10000000,832535.90760000,0
2022-02-26,1.24300000,1.29000000,1.22300000,1.23000000,817286.00000000,1645919999999,1030202.31100000,1495,460577.10000000,580764.77020000,0
2022-02-27,1.23000000,1.26800000,1.15900000,1.19400000,1109931.50000000,1646006399999,1341858.45590000,1912,494628.10000000,598501.90080000,0
2022-02-28,1.19300000,1.33700000,1.17500000,1.32800000,1305693.50000000,1646092799999,1627192.92700000,2457,695455.50000000,868176.49880000,0
