timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-03-01,0.35968000,0.38126000,0.34151000,0.35560000,1237354.00000000,1646179199999,449150.04926000,1248,799300.00000000,290953.88970000,0
2022-03-02,0.35540000,0.37155000,0.34439000,0.34838000,676201.00000000,1646265599999,239772.05860000,713,283395.00000000,101087.55035000,0
2022-03-03,0.35081000,0.35628000,0.32915000,0.33141000,908623.00000000,1646351999999,309060.92443000,535,246187.00000000,85439.89261000,0
2022-03-04,0.33372000,0.34442000,0.29801000,0.30391000,1178037.00000000,1646438399999,369193.30266000,683,292190.00000000,93061.40075000,0
2022-03-05,0.30143000,0.31765000,0.29103000,0.31738000,875064.00000000,1646524799999,262463.15282000,395,609950.00000000,182259.87261000,0
2022-03-06,0.31666000,0.32300000,0.29205000,0.29296000,1217516.00000000,1646611199999,382034.52284000,297,436604.00000000,136566.70235000,0
2022-03-07,0.29379000,0.31200000,0.28500000,0.29421000,1098832.00000000,1646697599999,321417.85030000,360,698364.00000000,203065.09609000,0
2022-03-08,0.29409000,0.32339000,0.29182000,0.30265000,380569.00000000,1646783999999,115822.25548000,261,205335.00000000,62528.78774000,0
2022-03-09,0.30380000,0.32844000,0.29502000,0.32016000,552396.00000000,1646870399999,175743.59747000,410,346978.00000000,110798.95072000,0
2022-03-10,0.31778000,0.32066000,0.28900000,0.29871000,517092.00000000,1646956799999,155977.66253000,376,285383.00000000,86721.02017000,0
2022-03-11,0.29818000,0.30474000,0.28200000,0.29339000,236742.00000000,1647043199999,69926.08703000,263,112008.00000000,33226.93378000,0
2022-03-12,0.29032000,0.30051000,0.28500000,0.29292000,4849292.00000000,1647129599999,1407455.33310000,480,2273072.00000000,667192.98229000,0
2022-03-13,0.29457000,0.33328000,0.29002000,0.29901000,785902.00000000,1647215999999,246192.13105000,669,403380.00000000,126783.46188000,0
2022-03-14,0.29985000,0.31466000,0.29301000,0.30216000,631316.00000000,1647302399999,189306.44217000,328,305843.00000000,92094.69815000,0
2022-03-15,0.30508000,0.30953000,0.29545000,0.29881000,213382.00000000,1647388799999,64161.56712000,173,85335.00000000,25710.80486000,0
2022-03-16,0.29927000,0.32997000,0.29564000,0.32997000,1025093.00000000,1647475199999,318439.41466000,425,354499.00000000,109696.65951000,0
2022-03-17,0.32941000,0.33136000,0.30725000,0.31192000,4437451.00000000,1647561599999,1396613.18185000,501,2070118.00000000,657387.62042000,0
2022-03-18,0.30941000,0.31653000,0.29578000,0.31203000,443145.00000000,1647647999999,133480.30189000,268,203393.00000000,61453.64568000,0
2022-03-19,0.31081000,0.35338000,0.28000000,0.33473000,1267526.00000000,1647734399999,412956.89109000,835,741829.00000000,244925.26263000,0
2022-03-20,0.33639000,0.34690000,0.31000000,0.31408000,567133.00000000,1647820799999,186373.92962000,454,260044.00000000,85439.39461000,0
2022-03-21,0.31713000,0.32786000,0.30372000,0.31838000,30509945.00000000,1647907199999,9700118.41422000,1318,13541650.00000000,4345305.15451000,0
2022-03-22,0.31896000,0.34365000,0.31896000,0.31980000,640035.00000000,1647993599999,212265.20927000,511,380216.00000000,126475.00593000,0
2022-03-23,0.32407000,0.33648000,0.31756000,0.33350000,551367.00000000,1648079999999,179765.11308000,348,303079.00000000,98999.33760000,0
2022-03-24,0.33319000,0.35085000,0.32780000,0.33781000,707025.00000000,1648166399999,239458.47339000,663,415402.00000000,141076.54020000,0
2022-03-25,0.33868000,0.35624000,0.32430000,0.32741000,447231.00000000,1648252799999,151093.51001000,502,175576.00000000,59556.76322000,0
2022-03-26,0.32738000,0.33786000,0.32401000,0.33680000,333994.00000000,1648339199999,110201.49678000,203,149890.00000000,49491.51059000,0
2022-03-27,0.33873000,0.35175000,0.32809000,0.35093000,399323.00000000,1648425599999,135442.41951000,356,177067.00000000,60244.39209000,0
2022-03-28,0.34815000,0.39000000,0.34265000,0.35103000,842828.00000000,1648511999999,308438.99180000,976,392395.00000000,143439.26027000,0
2022-03-29,0.35348000,0.37779000,0.34989000,0.36254000,555042.00000000,1648598399999,201649.99459000,593,312563.00000000,113905.33789000,0
2022-03-30,0.35945000,0.37830000,0.34178000,0.36219000,678707.00000000,1648684799999,244155.14623000,719,327098.00000000,117973.33598000,0
2022-03-31,0.36494000,0.38999000,0.33261000,0.33924000,1049840.00000000,1648771199999,380180.85886000,971,545799.00000000,198370.34247000,0
