timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-01,2.21000000,2.26300000,2.12000000,2.25900000,195830.70000000,1722556799999,426790.07390000,1112,76177.80000000,166526.72770000,0
2024-08-02,2.26500000,2.27200000,2.06300000,2.09700000,183996.20000000,1722643199999,394057.47540000,737,71120.90000000,152823.81070000,0
2024-08-03,2.10000000,2.15300000,2.02000000,2.10300000,126447.10000000,1722729599999,263406.77380000,784,52915.10000000,110553.79550000,0
2024-08-04,2.10300000,2.13200000,1.93900000,1.99900000,149597.60000000,1722815999999,302247.12090000,555,70393.00000000,143187.57610000,0
2024-08-05,2.00000000,2.00800000,1.67900000,1.80400000,917843.50000000,1722902399999,1670331.87690000,2645,337521.00000000,613288.22090000,0
2024-08-06,1.80200000,1.92400000,1.80200000,1.87900000,323555.00000000,1722988799999,609370.15260000,802,224092.40000000,421723.57700000,0
2024-08-07,1.88400000,1.94700000,1.79200000,1.83800000,163754.70000000,1723075199999,306096.09500000,778,69658.10000000,130578.70940000,0
2024-08-08,1.84300000,1.97400000,1.81000000,1.96500000,160340.70000000,1723161599999,304805.17970000,502,80775.00000000,153796.74050000,0
2024-08-09,1.95700000,1.96800000,1.86400000,1.93400000,121653.00000000,1723247999999,233630.96380000,507,57229.60000000,109943.16240000,0
2024-08-10,1.94200000,1.95700000,1.91600000,1.92600000,45913.20000000,1723334399999,88645.95760000,313,20603.50000000,39846.28260000,0
2024-08-11,1.92100000,1.98000000,1.82200000,1.82800000,55177.60000000,1723420799999,104751.54620000,299,15681.00000000,29726.55940000,0
2024-08-12,1.82900000,1.90600000,1.82000000,1.86900000,84862.40000000,1723507199999,158812.78530000,302,33338.10000000,62464.74290000,0
2024-08-13,1.86800000,1.93000000,1.83000000,1.86300000,97922.80000000,1723593599999,182873.69270000,312,37415.50000000,69840.96810000,0
2024-08-14,1.85800000,1.88500000,1.80700000,1.84300000,63571.20000000,1723679999999,117439.34820000,272,29218.40000000,54026.99630000,0
2024-08-15,1.84300000,1.88000000,1.77000000,1.79800000,93578.30000000,1723766399999,169565.46640000,432,28705.90000000,52101.30300000,0
2024-08-16,1.79500000,1.90900000,1.76500000,1.81300000,195391.60000000,1723852799999,356917.34390000,469,96344.30000000,175644.85880000,0
2024-08-17,1.80600000,1.86500000,1.80100000,1.85500000,59599.80000000,1723939199999,109444.26890000,189,32730.10000000,60024.59480000,0
2024-08-18,1.85300000,1.87200000,1.82700000,1.84500000,25624.00000000,1724025599999,47568.26700000,159,10309.70000000,19141.84200000,0
2024-08-19,1.84000000,1.85600000,1.79600000,1.82700000,83735.80000000,1724111999999,152464.37490000,487,40127.80000000,73315.36350000,0
2024-08-20,1.82200000,1.91600000,1.82200000,1.88400000,128111.50000000,1724198399999,239984.29250000,558,100871.10000000,188950.14880000,0
2024-08-21,1.88700000,2.07200000,1.88300000,2.02400000,310336.10000000,1724284799999,618680.73290000,1364,167340.00000000,331398.35240000,0
2024-08-22,2.02700000,2.11200000,2.00000000,2.10600000,86748.80000000,1724371199999,179346.51210000,438,55766.80000000,115461.23550000,0
2024-08-23,2.10600000,2.16300000,2.07100000,2.15400000,246003.50000000,1724457599999,522344.48940000,949,130765.90000000,277817.06360000,0
2024-08-24,2.15500000,2.21300000,2.13600000,2.17600000,299612.20000000,1724543999999,654107.66100000,559,179783.70000000,391994.62480000,0
2024-08-25,2.17200000,2.20000000,2.05000000,2.12200000,117639.60000000,1724630399999,250129.75860000,457,52835.40000000,112723.42010000,0
2024-08-26,2.13200000,2.14100000,2.00000000,2.02200000,145813.70000000,1724716799999,301892.05950000,746,58625.90000000,122078.67140000,0
2024-08-27,2.02200000,2.05200000,1.90300000,1.94600000,212994.70000000,1724803199999,425605.65570000,636,57847.10000000,115621.07590000,0
2024-08-28,1.94200000,2.00600000,1.90200000,1.96300000,129467.90000000,1724889599999,252608.27580000,412,54381.60000000,106309.01070000,0
2024-08-29,1.96100000,2.07800000,1.95700000,2.01900000,159959.90000000,1724975999999,323035.63510000,356,78846.60000000,159342.22480000,0
2024-08-30,2.02700000,2.04000000,1.91000000,1.96500000,306465.40000000,1725062399999,605898.00980000,624,117881.00000000,232825.76020000,0
2024-08-31,1.96500000,1.98100000,1.95200000,1.95600000,74112.50000000,1725148799999,145827.74630000,201,40723.90000000,80180.11240000,0
