timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-06-01,0.00314300,0.00318400,0.00299400,0.00307600,406195443.00000000,1622591999999,1247622.42693700,6845,186675349.00000000,574028.33935100,0
2021-06-02,0.00307800,0.00323400,0.00302700,0.00314400,725184940.00000000,1622678399999,2264616.47012700,7915,364390660.00000000,1137487.52652000,0
2021-06-03,0.00314100,0.00359000,0.00309500,0.00351700,1057654553.00000000,1622764799999,3497937.24805100,10776,562771257.00000000,1862328.26180700,0
2021-06-04,0.00352300,0.00378600,0.00313800,0.00345900,1813460435.00000000,1622851199999,6220298.32404500,17499,903461431.00000000,3101697.86711600,0
2021-06-05,0.00346000,0.00355100,0.00319800,0.00329900,608561146.00000000,1622937599999,2070142.55912000,5431,279381826.00000000,952356.74921600,0
2021-06-06,0.00329000,0.00333800,0.00326000,0.00332000,213997540.00000000,1623023999999,706172.62838500,2958,107809112.00000000,355994.39895900,0
2021-06-07,0.00331500,0.00336000,0.00295200,0.00297600,810013737.00000000,1623110399999,2644692.54440800,5233,409502659.00000000,1338196.04481500,0
2021-06-08,0.00297900,0.00311600,0.00277600,0.00305700,578270642.00000000,1623196799999,1724300.29240200,6437,310526495.00000000,924926.28129300,0
2021-06-09,0.00304500,0.00313600,0.00288700,0.00312300,462871913.00000000,1623283199999,1395304.07739100,4751,245047687.00000000,738940.72995900,0
2021-06-10,0.00312900,0.00314000,0.00292300,0.00296500,509475397.00000000,1623369599999,1545178.26385700,4126,269415566.00000000,817749.16052400,0
2021-06-11,0.00296300,0.00302100,0.00284200,0.00287500,450545137.00000000,1623455999999,1324524.41634100,3524,223208694.00000000,656535.79899200,0
2021-06-12,0.00287100,0.00294900,0.00273500,0.00278300,346577480.00000000,1623542399999,973195.45343000,2965,155412956.00000000,436288.61183100,0
2021-06-13,0.00279200,0.00298400,0.00275600,0.00291200,439562460.00000000,1623628799999,1248032.45100200,3013,218962767.00000000,621428.43632600,0
2021-06-14,0.00291300,0.00295000,0.00284200,0.00292300,589856028.00000000,1623715199999,1707455.77720800,4180,295539929.00000000,855020.65898400,0
2021-06-15,0.00292500,0.00295400,0.00284000,0.00287600,560381636.00000000,1623801599999,1623557.99652800,4361,280853014.00000000,813297.56364000,0
2021-06-16,0.00287000,0.00288800,0.00274200,0.00277900,596645136.00000000,1623887999999,1676763.22853400,3817,310712033.00000000,873473.60149000,0
2021-06-17,0.00277900,0.00285000,0.00273300,0.00281100,396084309.00000000,1623974399999,1109139.08863900,2978,198149951.00000000,554797.02921900,0
2021-06-18,0.00280800,0.00281200,0.00252600,0.00261300,382069275.00000000,1624060799999,1019104.77250900,3593,172878060.00000000,461228.85827300,0
2021-06-19,0.00261100,0.00262600,0.00251300,0.00251300,552159772.00000000,1624147199999,1413606.33434300,3445,290141921.00000000,742587.72737900,0
2021-06-20,0.00251200,0.00251400,0.00224700,0.00245700,689382984.00000000,1624233599999,1660339.59286100,4544,340687480.00000000,818185.80975600,0
2021-06-21,0.00245800,0.00246500,0.00171000,0.00173000,1178214155.00000000,1624319999999,2466918.91877800,9154,617007641.00000000,1288574.57961100,0
2021-06-22,0.00172800,0.00195100,0.00149600,0.00179500,2286059433.00000000,1624406399999,3984857.22344700,14836,1200180716.00000000,2088569.80217600,0
2021-06-23,0.00179700,0.00206600,0.00169200,0.00200000,972111848.00000000,1624492799999,1863375.45807400,6166,474559292.00000000,910589.39448800,0
2021-06-24,0.00199600,0.00222600,0.00198100,0.00217600,1575153461.00000000,1624579199999,3317412.19059600,7123,802931032.00000000,1691038.43943700,0
2021-06-25,0.00218000,0.00225400,0.00191400,0.00196600,1031539054.00000000,1624665599999,2126402.72558300,5318,498897945.00000000,1029817.91685900,0
2021-06-26,0.00195700,0.00203100,0.00186500,0.00201000,593018723.00000000,1624751999999,1163184.78046100,3052,282963457.00000000,555617.76855800,0
2021-06-27,0.00201000,0.00209600,0.00195700,0.00209400,226320341.00000000,1624838399999,454194.42166300,1642,131345111.00000000,264200.09078700,0
2021-06-28,0.00209000,0.00220300,0.00204600,0.00216300,592575935.00000000,1624924799999,1262375.60237100,3052,305995063.00000000,651318.03167300,0
2021-06-29,0.00217300,0.00243300,0.00217000,0.00233700,631890773.00000000,1625011199999,1479652.48995100,3804,332239038.00000000,777780.57430200,0
2021-06-30,0.00233800,0.00238200,0.00215000,0.00234500,424680885.00000000,1625097599999,958870.70429100,2683,209227006.00000000,472856.03908700,0
