timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-02-01,46.43000000,48.22000000,45.01000000,46.35000000,1047976.46000000,1643759999999,48690448.33330000,34485,520827.36000000,24186541.86820000,0
2022-02-02,46.37000000,47.26000000,41.94000000,42.12000000,943876.38000000,1643846399999,42512817.23030000,31390,475836.47000000,21435453.02240000,0
2022-02-03,42.19000000,45.06000000,41.27000000,44.73000000,809847.75000000,1643932799999,34736905.18650000,26907,386281.01000000,16573892.90500000,0
2022-02-04,44.77000000,47.25000000,42.99000000,47.17000000,700074.68000000,1644019199999,31385329.76480000,25391,345293.19000000,15483278.91410000,0
2022-02-05,47.14000000,50.80000000,46.71000000,48.42000000,714062.36000000,1644105599999,35001575.77970000,25657,357982.78000000,17545539.21530000,0
2022-02-06,48.40000000,50.00000000,46.45000000,48.96000000,564529.80000000,1644191999999,27218409.61740000,19740,276193.09000000,13314172.60280000,0
2022-02-07,48.99000000,53.06000000,47.51000000,52.01000000,838201.64000000,1644278399999,42258572.38330000,30225,414058.90000000,20863538.87210000,0
2022-02-08,51.98000000,52.46000000,48.14000000,50.22000000,730064.76000000,1644364799999,36572776.03060000,24178,358924.77000000,17975075.12400000,0
2022-02-09,50.22000000,50.71000000,47.56000000,50.43000000,555227.31000000,1644451199999,27455229.04440000,19976,320118.49000000,15820193.90600000,0
2022-02-10,50.47000000,50.48000000,45.44000000,45.73000000,451600.52000000,1644537599999,21911951.01250000,18541,220152.19000000,10676235.79510000,0
2022-02-11,45.78000000,48.13000000,43.91000000,44.43000000,297940.01000000,1644623999999,13851846.52870000,13373,146515.46000000,6813967.78290000,0
2022-02-12,44.38000000,47.36000000,43.62000000,46.00000000,228782.20000000,1644710399999,10427463.55610000,10151,116990.10000000,5333106.89000000,0
2022-02-13,46.00000000,47.42000000,45.03000000,45.51000000,196910.00000000,1644796799999,9158008.63190000,9136,98627.31000000,4588096.27610000,0
2022-02-14,45.52000000,48.30000000,45.31000000,47.66000000,188630.52000000,1644883199999,8823349.01850000,9375,99407.19000000,4650556.46670000,0
2022-02-15,47.69000000,50.28000000,47.61000000,49.98000000,128045.80000000,1644969599999,6304938.18610000,8221,67176.28000000,3306213.27750000,0
2022-02-16,49.92000000,51.24000000,48.49000000,49.28000000,114723.61000000,1645055999999,5706235.90800000,7498,57234.28000000,2848497.65560000,0
2022-02-17,49.30000000,50.30000000,44.15000000,44.26000000,272592.88000000,1645142399999,12785191.66180000,12176,137252.94000000,6441828.30830000,0
2022-02-18,44.29000000,45.66000000,43.15000000,44.76000000,506444.52000000,1645228799999,22583231.07700000,17092,254235.88000000,11333332.44680000,0
2022-02-19,44.75000000,46.75000000,44.12000000,44.64000000,419306.94000000,1645315199999,19007214.21320000,14077,205274.95000000,9308556.83960000,0
2022-02-20,44.63000000,44.82000000,41.80000000,43.60000000,415444.03000000,1645401599999,17983729.01510000,13649,210691.09000000,9123630.70080000,0
2022-02-21,43.63000000,47.62000000,43.22000000,44.37000000,497795.67000000,1645487999999,22664273.11200000,15948,253434.99000000,11537239.96400000,0
2022-02-22,44.36000000,49.44000000,42.88000000,48.35000000,354589.80000000,1645574399999,16200242.84290000,14152,176133.43000000,8054463.34610000,0
2022-02-23,48.38000000,57.74000000,48.27000000,52.78000000,420926.68000000,1645660799999,21902251.38060000,18511,212044.38000000,11032120.56850000,0
2022-02-24,52.67000000,58.94000000,44.47000000,58.14000000,635694.68000000,1645747199999,32326012.72090000,29774,314837.60000000,16026091.86800000,0
2022-02-25,58.14000000,65.68000000,57.21000000,64.92000000,437912.81000000,1645833599999,26300252.60110000,21990,224492.98000000,13487609.46140000,0
2022-02-26,64.86000000,70.74000000,64.11000000,69.43000000,329524.12000000,1645919999999,22003131.03400000,18498,173652.72000000,11591903.70620000,0
2022-02-27,69.44000000,70.19000000,63.86000000,64.98000000,304189.32000000,1646006399999,20408085.41580000,17233,155773.63000000,10445835.91970000,0
2022-02-28,64.98000000,84.78000000,63.20000000,81.41000000,419702.69000000,1646092799999,29891908.17100000,25077,220562.64000000,15727438.08980000,0
