timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-04-01,11.66000000,12.38000000,11.23000000,12.24000000,761209.00000000,1648857599999,8961117.44000000,1261,396366.00000000,4688316.28000000,0
2022-04-02,12.21000000,12.49000000,11.96000000,12.05000000,515052.00000000,1648943999999,6338180.30000000,1358,236902.00000000,2925686.54000000,0
2022-04-03,12.07000000,12.91000000,11.86000000,12.58000000,822414.00000000,1649030399999,10293327.18000000,1573,499136.00000000,6243385.07000000,0
2022-04-04,12.57000000,13.50000000,12.17000000,12.83000000,1790522.00000000,1649116799999,23080535.94000000,2905,905756.00000000,11701358.47000000,0
2022-04-05,12.81000000,15.45000000,12.75000000,14.99000000,3720461.00000000,1649203199999,52353858.31000000,5323,2117956.00000000,29831515.40000000,0
2022-04-06,14.98000000,15.15000000,12.02000000,12.28000000,2545949.00000000,1649289599999,34121388.30000000,3422,953980.00000000,12826924.16000000,0
2022-04-07,12.31000000,12.51000000,11.48000000,12.02000000,1248193.00000000,1649375999999,14965087.66000000,1977,521311.00000000,6248517.86000000,0
2022-04-08,12.02000000,12.46000000,11.33000000,11.71000000,1339740.00000000,1649462399999,16058228.83000000,2090,616531.00000000,7393156.57000000,0
2022-04-09,11.68000000,11.79000000,11.54000000,11.71000000,270151.00000000,1649548799999,3156805.46000000,718,145732.00000000,1704286.05000000,0
2022-04-10,11.73000000,12.85000000,11.70000000,12.10000000,1465784.00000000,1649635199999,18075482.40000000,2146,883059.00000000,10895600.44000000,0
2022-04-11,12.08000000,12.36000000,11.16000000,11.24000000,917695.00000000,1649721599999,10796833.82000000,1668,381681.00000000,4491652.97000000,0
2022-04-12,11.29000000,12.08000000,11.17000000,11.63000000,602634.00000000,1649807999999,7025149.40000000,1324,299784.00000000,3497360.03000000,0
2022-04-13,11.65000000,12.09000000,11.43000000,11.75000000,623627.00000000,1649894399999,7341255.62000000,1108,302829.00000000,3568303.13000000,0
2022-04-14,11.74000000,12.33000000,11.48000000,12.02000000,1511054.00000000,1649980799999,18010184.74000000,2042,831197.00000000,9943445.65000000,0
2022-04-15,11.98000000,12.31000000,11.83000000,12.03000000,770315.00000000,1650067199999,9295007.18000000,1345,420988.00000000,5090461.68000000,0
2022-04-16,11.98000000,12.10000000,11.57000000,11.70000000,447104.00000000,1650153599999,5278152.71000000,801,151984.00000000,1802446.04000000,0
2022-04-17,11.72000000,11.86000000,11.32000000,11.41000000,349347.00000000,1650239999999,4069256.00000000,801,127858.00000000,1496794.90000000,0
2022-04-18,11.41000000,11.53000000,10.97000000,11.42000000,556268.00000000,1650326399999,6229872.82000000,970,323004.00000000,3620842.24000000,0
2022-04-19,11.43000000,11.57000000,11.24000000,11.46000000,613640.00000000,1650412799999,6993516.30000000,937,366832.00000000,4188551.87000000,0
2022-04-20,11.45000000,11.82000000,11.22000000,11.42000000,768908.00000000,1650499199999,8840817.36000000,1382,314377.00000000,3621142.06000000,0
2022-04-21,11.44000000,11.48000000,10.84000000,11.06000000,975419.00000000,1650585599999,10959454.82000000,1425,406212.00000000,4564775.87000000,0
2022-04-22,11.05000000,11.22000000,10.47000000,10.68000000,687955.00000000,1650671999999,7488453.33000000,982,347043.00000000,3777439.03000000,0
2022-04-23,10.67000000,10.69000000,10.30000000,10.43000000,446351.00000000,1650758399999,4708659.08000000,867,222111.00000000,2342141.36000000,0
2022-04-24,10.46000000,10.51000000,10.26000000,10.31000000,444533.00000000,1650844799999,4622224.29000000,847,207993.00000000,2162477.47000000,0
2022-04-25,10.32000000,12.87000000,9.40000000,11.93000000,7532575.00000000,1650931199999,85731858.23000000,7503,4006295.00000000,45609773.91000000,0
2022-04-26,11.93000000,12.45000000,10.19000000,10.31000000,5029206.00000000,1651017599999,57857256.82000000,6143,2426494.00000000,28002974.30000000,0
2022-04-27,10.32000000,10.95000000,10.17000000,10.37000000,1564262.00000000,1651103999999,16369503.24000000,2345,733539.00000000,7694273.13000000,0
2022-04-28,10.38000000,10.62000000,9.90000000,9.97000000,843945.00000000,1651190399999,8589382.10000000,1480,377083.00000000,3839545.16000000,0
2022-04-29,10.05000000,10.56000000,9.52000000,9.74000000,1859890.00000000,1651276799999,18454922.17000000,2175,970766.00000000,9659834.96000000,0
2022-04-30,9.74000000,9.86000000,8.99000000,9.22000000,818751.40000000,1651363199999,7785480.57000000,1304,330959.00000000,3150677.12000000,0
