timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-07-01,26.37000000,26.84000000,25.46000000,25.54000000,676927.70000000,1719878399999,17647395.22500000,5069,295422.20000000,7701462.76700000,0
2024-07-02,25.52000000,25.68000000,25.23000000,25.55000000,664657.60000000,1719964799999,16922169.86300000,4408,345117.00000000,8786308.06300000,0
2024-07-03,25.56000000,25.76000000,24.51000000,24.96000000,797468.30000000,1720051199999,19977226.81400000,4945,390110.30000000,9779878.12500000,0
2024-07-04,24.94000000,25.07000000,22.00000000,22.26000000,916061.40000000,1720137599999,21514561.97500000,9258,438465.30000000,10292282.57900000,0
2024-07-05,22.28000000,22.30000000,18.65000000,20.57000000,2861288.20000000,1720223999999,57563715.23100000,25757,1288548.80000000,25901768.39100000,0
2024-07-06,20.56000000,22.96000000,20.30000000,22.82000000,1115958.10000000,1720310399999,24359642.66200000,6069,604566.30000000,13250028.44000000,0
2024-07-07,22.74000000,22.94000000,21.32000000,21.36000000,966026.20000000,1720396799999,21546967.27200000,6909,478608.40000000,10689524.62000000,0
2024-07-08,21.39000000,22.51000000,19.86000000,21.88000000,1334706.80000000,1720483199999,28778353.79500000,6866,630957.80000000,13652349.76200000,0
2024-07-09,21.81000000,23.57000000,21.68000000,23.37000000,1146998.90000000,1720569599999,25740932.94400000,6611,586024.40000000,13167995.74100000,0
2024-07-10,23.41000000,24.08000000,22.92000000,23.52000000,1027701.30000000,1720655999999,24083825.20400000,4588,516480.70000000,12095248.50700000,0
2024-07-11,23.52000000,24.11000000,22.80000000,22.91000000,736753.20000000,1720742399999,17340688.79100000,4556,338096.80000000,7977568.31800000,0
2024-07-12,22.91000000,23.53000000,22.42000000,23.24000000,694891.80000000,1720828799999,15913819.57800000,4115,357185.00000000,8184537.74500000,0
2024-07-13,23.23000000,23.52000000,22.95000000,23.30000000,658012.60000000,1720915199999,15310079.03000000,4216,313051.80000000,7283852.57000000,0
2024-07-14,23.29000000,24.13000000,23.06000000,23.95000000,721209.50000000,1721001599999,17055814.26500000,5596,338982.00000000,8006874.17700000,0
2024-07-15,23.95000000,25.69000000,23.89000000,25.55000000,1320098.20000000,1721087999999,32435867.54600000,10984,703927.50000000,17326629.57800000,0
2024-07-16,25.60000000,25.70000000,23.82000000,24.93000000,1611218.00000000,1721174399999,40135086.45400000,10405,775419.40000000,19319898.42400000,0
2024-07-17,24.93000000,25.78000000,24.60000000,24.80000000,1573784.60000000,1721260799999,39736415.82200000,7162,784663.70000000,19821082.00000000,0
2024-07-18,24.81000000,25.49000000,24.12000000,24.81000000,951846.80000000,1721347199999,23784323.08000000,7757,497489.50000000,12437942.30900000,0
2024-07-19,24.81000000,25.71000000,24.05000000,25.64000000,1053392.40000000,1721433599999,26279662.04100000,7847,526113.10000000,13148112.95900000,0
2024-07-20,25.63000000,26.30000000,25.36000000,25.86000000,877825.70000000,1721519999999,22693942.74300000,4859,471304.50000000,12190769.36500000,0
2024-07-21,25.86000000,26.76000000,24.98000000,26.61000000,1243661.20000000,1721606399999,32203186.94800000,4180,614912.30000000,15918811.96700000,0
2024-07-22,26.61000000,26.76000000,25.03000000,25.17000000,787733.80000000,1721692799999,20302440.83800000,2858,364265.30000000,9385389.29800000,0
2024-07-23,25.14000000,27.35000000,24.94000000,26.35000000,2813779.40000000,1721779199999,74478309.01800000,9694,1485667.70000000,39314971.28800000,0
2024-07-24,26.31000000,26.36000000,24.23000000,24.39000000,1062862.10000000,1721865599999,26937544.12500000,3507,511718.50000000,12966760.74100000,0
2024-07-25,24.31000000,24.46000000,22.30000000,23.22000000,1418762.90000000,1721951999999,32810519.76400000,6236,661656.80000000,15291901.91600000,0
2024-07-26,23.20000000,24.26000000,23.17000000,24.09000000,1116242.30000000,1722038399999,26691950.86000000,3084,534841.00000000,12785521.73200000,0
2024-07-27,24.05000000,24.54000000,23.46000000,23.91000000,1012294.80000000,1722124799999,24330761.31600000,4853,479095.80000000,11535535.88500000,0
2024-07-28,23.81000000,24.01000000,23.42000000,23.67000000,501762.70000000,1722211199999,11908398.67400000,2162,248738.70000000,5902473.84100000,0
2024-07-29,23.66000000,24.33000000,23.10000000,23.34000000,802188.70000000,1722297599999,19120474.55500000,4112,429299.10000000,10231097.33500000,0
2024-07-30,23.32000000,23.54000000,22.06000000,22.47000000,898766.60000000,1722383999999,20565862.98600000,6531,418914.20000000,9601521.06000000,0
2024-07-31,22.49000000,22.81000000,21.70000000,21.84000000,1423046.50000000,1722470399999,31861381.58400000,10256,647334.40000000,14506144.75800000,0
