timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-01,66.46000000,66.97000000,60.43000000,62.80000000,228115.70000000,1704153599999,14300402.77800000,3535,128699.20000000,8075215.53900000,0
2024-01-02,62.97000000,75.00000000,62.23000000,66.78000000,510253.10000000,1704239999999,36127292.22400000,7255,248104.90000000,17509404.59700000,0
2024-01-03,67.06000000,71.12000000,53.41000000,66.18000000,188592.90000000,1704326399999,12232687.46000000,3496,91390.80000000,5960522.72200000,0
2024-01-04,66.86000000,69.03000000,62.06000000,63.13000000,134691.90000000,1704412799999,8811649.35200000,2313,74925.90000000,4916257.94700000,0
2024-01-05,63.13000000,63.13000000,55.00000000,59.55000000,130674.50000000,1704499199999,7853359.98500000,2231,60931.20000000,3669056.09200000,0
2024-01-06,59.51000000,59.51000000,55.00000000,55.87000000,71824.30000000,1704585599999,4069118.51900000,1662,31197.40000000,1776452.91400000,0
2024-01-07,56.30000000,58.01000000,52.03000000,52.51000000,60939.90000000,1704671999999,3375629.69200000,1152,33178.40000000,1846430.82200000,0
2024-01-08,52.72000000,53.75000000,48.21000000,53.00000000,59149.10000000,1704758399999,3084916.32300000,1272,30103.40000000,1568014.94600000,0
2024-01-09,52.71000000,52.94000000,47.14000000,48.88000000,136048.80000000,1704844799999,6710922.15500000,2361,61099.70000000,3014364.71300000,0
2024-01-10,49.35000000,53.60000000,47.44000000,52.50000000,58803.90000000,1704931199999,2955864.05500000,2266,32775.60000000,1654226.69300000,0
2024-01-11,52.50000000,54.97000000,51.48000000,54.43000000,79204.90000000,1705017599999,4246196.32100000,1888,45069.70000000,2416936.28300000,0
2024-01-12,54.33000000,55.97000000,50.19000000,52.05000000,76689.50000000,1705103999999,4081857.14400000,1672,34374.00000000,1828220.89600000,0
2024-01-13,52.10000000,53.55000000,50.61000000,52.52000000,12240.50000000,1705190399999,643668.57000000,552,5615.60000000,295524.51200000,0
2024-01-14,52.55000000,53.00000000,50.55000000,50.81000000,57168.70000000,1705276799999,2955426.75900000,1364,17794.30000000,922219.86600000,0
2024-01-15,50.59000000,52.00000000,50.51000000,51.09000000,43289.50000000,1705363199999,2221181.19100000,808,24695.20000000,1265463.85600000,0
2024-01-16,51.26000000,52.38000000,50.57000000,51.56000000,27535.90000000,1705449599999,1420560.59300000,938,13118.40000000,676396.74400000,0
2024-01-17,51.62000000,52.26000000,50.06000000,50.97000000,25539.00000000,1705535999999,1317744.77700000,1045,12361.80000000,638836.46100000,0
2024-01-18,50.97000000,51.91000000,46.65000000,47.55000000,36611.80000000,1705622399999,1826438.90400000,853,18053.80000000,900529.19500000,0
2024-01-19,47.62000000,49.08000000,44.56000000,48.44000000,82266.50000000,1705708799999,3882561.60500000,1421,36903.30000000,1742587.39800000,0
2024-01-20,48.07000000,62.76000000,47.93000000,52.00000000,2673846.10000000,1705795199999,148208861.87800000,23675,1377372.90000000,76256213.91100000,0
2024-01-21,52.15000000,54.80000000,50.46000000,51.02000000,351688.20000000,1705881599999,18402122.27500000,3054,170567.60000000,8930826.69600000,0
2024-01-22,51.28000000,52.24000000,48.36000000,49.76000000,98262.00000000,1705967999999,4915668.64800000,1645,55309.00000000,2768306.68800000,0
2024-01-23,49.91000000,52.52000000,46.30000000,49.02000000,101890.30000000,1706054399999,5094936.78600000,1969,51625.40000000,2576019.46800000,0
2024-01-24,49.32000000,50.43000000,48.51000000,49.57000000,18089.90000000,1706140799999,893474.50100000,560,12338.40000000,610047.93800000,0
2024-01-25,49.49000000,49.82000000,47.66000000,48.64000000,39718.80000000,1706227199999,1934836.91300000,880,22563.60000000,1097972.26200000,0
2024-01-26,48.51000000,51.50000000,48.40000000,50.89000000,64884.40000000,1706313599999,3255020.79400000,1263,31489.10000000,1582960.38700000,0
2024-01-27,50.93000000,54.43000000,50.10000000,53.21000000,144200.50000000,1706399999999,7609193.24100000,1593,72983.90000000,3842366.97500000,0
2024-01-28,53.20000000,55.00000000,50.60000000,50.87000000,60754.70000000,1706486399999,3175495.86800000,1147,25306.80000000,1322105.15000000,0
2024-01-29,51.14000000,52.84000000,50.20000000,52.17000000,73886.40000000,1706572799999,3846579.32500000,1738,37018.70000000,1927219.98300000,0
2024-01-30,51.91000000,52.98000000,51.19000000,51.35000000,45973.80000000,1706659199999,2407536.39600000,1059,22291.30000000,1166991.01100000,0
2024-01-31,51.47000000,51.77000000,49.65000000,50.31000000,18722.50000000,1706745599999,952781.16900000,861,10761.80000000,548456.50800000,0
