timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-07-01,5.31900000,5.71700000,5.30000000,5.56400000,1436862.00000000,1719878399999,8009208.14900000,1465,720643.00000000,4013303.18700000,0
2024-07-02,5.56300000,5.71800000,5.37300000,5.67600000,390653.00000000,1719964799999,2146780.79500000,549,231086.00000000,1266820.26400000,0
2024-07-03,5.66600000,5.67200000,5.15900000,5.17100000,579783.00000000,1720051199999,3166974.21600000,979,314388.00000000,1720067.93700000,0
2024-07-04,5.17800000,5.18100000,4.15500000,4.19200000,1294620.00000000,1720137599999,6005524.52400000,2861,485266.00000000,2247654.63800000,0
2024-07-05,4.16500000,4.16500000,3.59100000,3.96800000,1589631.00000000,1720223999999,6182021.80500000,2969,683728.00000000,2664179.80500000,0
2024-07-06,3.96100000,4.48600000,3.95300000,4.37700000,1289414.00000000,1720310399999,5403773.60700000,1376,677881.00000000,2836932.35300000,0
2024-07-07,4.36800000,4.40200000,4.08700000,4.10000000,823287.00000000,1720396799999,3537373.87300000,879,479273.00000000,2058692.03600000,0
2024-07-08,4.14200000,4.50000000,3.95400000,4.26700000,738543.00000000,1720483199999,3120351.98500000,997,397903.00000000,1691656.18700000,0
2024-07-09,4.26600000,4.65400000,4.25600000,4.60600000,1157945.00000000,1720569599999,5246269.90700000,1240,677152.00000000,3059082.42400000,0
2024-07-10,4.61000000,4.74700000,4.54500000,4.64700000,517880.00000000,1720655999999,2400425.87900000,477,262203.00000000,1214492.87400000,0
2024-07-11,4.63000000,4.79400000,4.57400000,4.65200000,493692.00000000,1720742399999,2314751.35500000,498,257909.00000000,1213346.49900000,0
2024-07-12,4.65100000,4.82300000,4.63000000,4.72400000,786735.00000000,1720828799999,3732579.47000000,1036,336138.00000000,1593528.12500000,0
2024-07-13,4.75800000,4.87300000,4.70900000,4.81900000,440196.00000000,1720915199999,2113531.59500000,532,294191.00000000,1413449.72600000,0
2024-07-14,4.85500000,5.25900000,4.83400000,5.23400000,2743964.00000000,1721001599999,14030443.53400000,3017,1326287.00000000,6772890.79800000,0
2024-07-15,5.23600000,5.71000000,5.22500000,5.68600000,1941301.00000000,1721087999999,10508745.33600000,2583,1019241.00000000,5522041.72400000,0
2024-07-16,5.68600000,5.90000000,5.42900000,5.84400000,947290.00000000,1721174399999,5358323.84200000,1075,530746.00000000,2994356.84100000,0
2024-07-17,5.82900000,5.88300000,5.58900000,5.71300000,401355.00000000,1721260799999,2313033.77400000,574,179408.00000000,1034295.32600000,0
2024-07-18,5.73400000,5.93000000,5.50700000,5.66100000,344527.00000000,1721347199999,1975950.57800000,758,164473.00000000,947071.12900000,0
2024-07-19,5.62800000,5.80300000,5.53600000,5.76200000,332989.00000000,1721433599999,1899714.44700000,705,162813.00000000,929929.36200000,0
2024-07-20,5.76400000,6.00000000,5.66800000,5.71400000,580423.00000000,1721519999999,3391194.46600000,634,258261.00000000,1513178.26500000,0
2024-07-21,5.71700000,5.77900000,5.32300000,5.71400000,1090514.00000000,1721606399999,6105291.64600000,1136,375047.00000000,2114470.42200000,0
2024-07-22,5.74000000,5.81700000,5.49000000,5.53000000,366225.00000000,1721692799999,2062411.22600000,400,199903.00000000,1131293.43100000,0
2024-07-23,5.51700000,5.64500000,5.05000000,5.14500000,434169.00000000,1721779199999,2300343.93200000,600,179914.00000000,956651.49000000,0
2024-07-24,5.18800000,5.46800000,5.07000000,5.13600000,318869.00000000,1721865599999,1677340.40100000,536,163005.00000000,856871.08000000,0
2024-07-25,5.17900000,5.17900000,4.60000000,4.88300000,508478.00000000,1721951999999,2439118.34400000,765,229444.00000000,1101394.20600000,0
2024-07-26,4.89400000,6.00400000,4.88500000,5.81800000,4513057.00000000,1722038399999,25272437.36800000,3661,2373733.00000000,13295932.17700000,0
2024-07-27,5.82600000,6.16000000,5.66400000,5.89100000,6286572.00000000,1722124799999,37777507.60300000,6522,3170899.00000000,19060200.59200000,0
2024-07-28,5.83400000,5.98200000,5.67200000,5.72700000,607382.00000000,1722211199999,3556053.92600000,710,404937.00000000,2373503.56100000,0
2024-07-29,5.73400000,5.90000000,5.00000000,5.44400000,764681.00000000,1722297599999,4299383.64800000,929,476735.00000000,2674580.96600000,0
2024-07-30,5.41800000,5.66300000,5.30000000,5.49900000,487469.00000000,1722383999999,2699091.99600000,841,223929.00000000,1241130.05400000,0
2024-07-31,5.46700000,5.76000000,5.45200000,5.57400000,906365.00000000,1722470399999,5103535.09200000,989,420679.00000000,2372041.91000000,0
