timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-01,634.00000000,636.70000000,582.10000000,602.80000000,15993.76000000,1712015999999,9609998.28400000,2045,8760.13000000,5249088.10300000,0
2024-04-02,601.20000000,604.60000000,569.70000000,584.80000000,14650.56000000,1712102399999,8601448.60400000,2161,8949.51000000,5244773.65900000,0
2024-04-03,584.00000000,597.30000000,558.90000000,568.80000000,5700.17000000,1712188799999,3293057.13200000,1525,2770.61000000,1595230.16800000,0
2024-04-04,570.80000000,584.00000000,559.70000000,572.00000000,6265.03000000,1712275199999,3599907.36800000,1289,3801.06000000,2184816.13800000,0
2024-04-05,571.50000000,571.50000000,545.20000000,563.30000000,9438.27000000,1712361599999,5272208.21300000,1309,4812.21000000,2697701.37500000,0
2024-04-06,563.10000000,573.60000000,562.30000000,570.90000000,4675.52000000,1712447999999,2656942.17600000,1102,1757.53000000,997770.02200000,0
2024-04-07,569.60000000,581.50000000,568.50000000,580.80000000,4556.14000000,1712534399999,2615477.64300000,2402,2784.41000000,1599611.20600000,0
2024-04-08,580.50000000,603.10000000,568.40000000,584.30000000,12207.78000000,1712620799999,7204837.29500000,3244,5829.90000000,3444982.45200000,0
2024-04-09,584.30000000,586.00000000,564.00000000,569.60000000,10071.75000000,1712707199999,5792975.56300000,3720,4823.65000000,2781235.19200000,0
2024-04-10,569.50000000,578.80000000,554.00000000,574.60000000,9107.55000000,1712793599999,5180939.65500000,3779,4539.36000000,2582515.21100000,0
2024-04-11,574.10000000,582.60000000,560.50000000,579.50000000,5740.90000000,1712879999999,3288032.21000000,1772,2541.65000000,1456022.54300000,0
2024-04-12,581.90000000,592.00000000,435.50000000,512.30000000,23670.65000000,1712966399999,12387194.57600000,3743,13707.08000000,7138303.35800000,0
2024-04-13,511.30000000,521.00000000,101.00000000,456.80000000,29182.37000000,1713052799999,13589402.61000000,4329,15465.25000000,7234259.89200000,0
2024-04-14,455.40000000,489.40000000,436.80000000,484.20000000,12176.35000000,1713139199999,5705891.06300000,1755,6262.30000000,2939053.40800000,0
2024-04-15,484.00000000,495.90000000,438.40000000,450.30000000,13885.46000000,1713225599999,6580455.82300000,2043,7120.86000000,3378394.33900000,0
2024-04-16,448.20000000,459.10000000,422.30000000,445.00000000,14487.87000000,1713311999999,6373186.00800000,1732,7915.12000000,3485234.96600000,0
2024-04-17,441.40000000,447.10000000,418.90000000,430.60000000,9785.03000000,1713398399999,4247776.59700000,1119,4775.69000000,2077254.02100000,0
2024-04-18,431.20000000,456.30000000,421.20000000,454.20000000,8127.95000000,1713484799999,3590873.15200000,817,3928.41000000,1732341.50500000,0
2024-04-19,453.70000000,466.10000000,416.90000000,460.60000000,14422.71000000,1713571199999,6484630.07900000,1620,8663.16000000,3892844.00600000,0
2024-04-20,461.70000000,495.80000000,457.50000000,493.30000000,8309.33000000,1713657599999,3936668.05900000,1292,4473.79000000,2126849.28400000,0
2024-04-21,493.10000000,497.20000000,479.00000000,494.20000000,4798.73000000,1713743999999,2344951.39100000,913,3532.76000000,1727751.31200000,0
2024-04-22,495.10000000,524.50000000,493.80000000,505.80000000,15818.63000000,1713830399999,8110781.35700000,1429,8674.15000000,4445014.87300000,0
2024-04-23,504.00000000,509.00000000,493.40000000,496.10000000,5306.42000000,1713916799999,2665211.73100000,691,1698.89000000,848959.98200000,0
2024-04-24,495.80000000,509.20000000,469.10000000,471.40000000,21686.92000000,1714003199999,10836681.10300000,1747,17614.71000000,8826428.93400000,0
2024-04-25,474.80000000,486.50000000,467.50000000,477.90000000,17805.52000000,1714089599999,8536274.03000000,914,4583.06000000,2190271.18300000,0
2024-04-26,477.10000000,486.90000000,470.10000000,473.70000000,6532.75000000,1714175999999,3121033.63200000,1033,3092.81000000,1479126.84400000,0
2024-04-27,474.00000000,474.00000000,453.80000000,467.00000000,3207.54000000,1714262399999,1483923.25500000,537,1572.32000000,727323.59100000,0
2024-04-28,465.70000000,471.50000000,448.60000000,450.40000000,4236.81000000,1714348799999,1956292.54400000,1304,1808.27000000,837698.55900000,0
2024-04-29,451.90000000,460.50000000,445.70000000,457.00000000,4594.73000000,1714435199999,2082808.52600000,983,2928.30000000,1326807.20500000,0
2024-04-30,455.60000000,460.60000000,418.00000000,429.10000000,8470.37000000,1714521599999,3685077.61400000,2362,3959.73000000,1722588.87000000,0
