timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-01,129709.00000000,131140.00000000,117346.00000000,122922.00000000,64.82320000,1712015999999,8016716.96210000,2147,30.49960000,3764639.08280000,0
2024-04-02,122465.00000000,128431.00000000,116365.00000000,122027.00000000,118.56820000,1712102399999,14588356.27860000,3448,62.57980000,7687565.42160000,0
2024-04-03,121902.00000000,126080.00000000,118257.00000000,122445.00000000,49.14370000,1712188799999,5963993.07650000,1283,29.13750000,3536386.81790000,0
2024-04-04,121827.00000000,130755.00000000,119430.00000000,127113.00000000,48.44690000,1712275199999,6147808.82120000,1484,21.41030000,2721523.34980000,0
2024-04-05,127113.00000000,128064.00000000,118986.00000000,119529.00000000,23.92470000,1712361599999,2913807.78350000,842,12.38950000,1503783.43350000,0
2024-04-06,119391.00000000,122556.00000000,119234.00000000,120589.00000000,35.15580000,1712447999999,4236139.40530000,860,16.62480000,2004850.72100000,0
2024-04-07,120362.00000000,121184.00000000,116247.00000000,117900.00000000,40.85070000,1712534399999,4839065.22530000,948,13.01510000,1535078.61760000,0
2024-04-08,117543.00000000,123406.00000000,114284.00000000,120432.00000000,73.00290000,1712620799999,8685261.14660000,1496,47.80540000,5681065.87410000,0
2024-04-09,120432.00000000,121024.00000000,111526.00000000,111631.00000000,43.08200000,1712707199999,4980257.34560000,1272,20.03230000,2321032.03070000,0
2024-04-10,112076.00000000,113414.00000000,108752.00000000,109696.00000000,20.34650000,1712793599999,2252762.83490000,1540,8.80870000,975208.77620000,0
2024-04-11,110520.00000000,112554.00000000,108814.00000000,111377.00000000,7.82450000,1712879999999,867631.60730000,408,4.21180000,467415.05700000,0
2024-04-12,111651.00000000,112588.00000000,24330.00000000,99831.00000000,36.95520000,1712966399999,3729154.55170000,1634,21.32980000,2154631.80780000,0
2024-04-13,98479.00000000,106038.00000000,60000.00000000,96314.00000000,67.60480000,1713052799999,6384760.70830000,1091,48.35740000,4591288.96740000,0
2024-04-14,96089.00000000,106325.00000000,93258.00000000,104469.00000000,37.28360000,1713139199999,3717717.68900000,682,23.97940000,2376142.14100000,0
2024-04-15,103752.00000000,108836.00000000,100029.00000000,101218.00000000,21.91490000,1713225599999,2295600.58460000,483,14.52620000,1515118.19470000,0
2024-04-16,101668.00000000,109335.00000000,99567.00000000,107818.00000000,21.30340000,1713311999999,2231552.64430000,682,12.29030000,1285655.15330000,0
2024-04-17,107531.00000000,108182.00000000,101958.00000000,104342.00000000,9.19110000,1713398399999,974618.79430000,287,4.89390000,517834.05340000,0
2024-04-18,102961.00000000,106387.00000000,98935.00000000,99299.00000000,7.58510000,1713484799999,775694.61480000,376,3.92880000,402086.38920000,0
2024-04-19,97689.00000000,99969.00000000,92678.00000000,97255.00000000,59.44630000,1713571199999,5820295.85070000,1433,22.77210000,2230945.27800000,0
2024-04-20,98383.00000000,103500.00000000,97570.00000000,102957.00000000,22.67970000,1713657599999,2272820.53730000,621,17.30710000,1735361.66860000,0
2024-04-21,103845.00000000,103995.00000000,97874.00000000,98031.00000000,3.23150000,1713743999999,324986.84360000,196,1.06530000,106798.61860000,0
2024-04-22,98031.00000000,99941.00000000,94000.00000000,94848.00000000,32.80290000,1713830399999,3142010.75350000,561,11.58250000,1111529.46190000,0
2024-04-23,95303.00000000,95853.00000000,91679.00000000,95545.00000000,27.09660000,1713916799999,2536562.31750000,712,16.55570000,1551360.52300000,0
2024-04-24,96019.00000000,98769.00000000,93351.00000000,93948.00000000,12.80080000,1714003199999,1233070.87430000,666,8.47970000,817856.80870000,0
2024-04-25,94152.00000000,94443.00000000,91292.00000000,93361.00000000,3.46920000,1714089599999,322750.39000000,106,1.47440000,137191.05860000,0
2024-04-26,92968.00000000,96615.00000000,92319.00000000,94123.00000000,5.75280000,1714175999999,545214.01680000,195,4.03470000,382355.36910000,0
2024-04-27,93671.00000000,98555.00000000,92031.00000000,97804.00000000,8.52030000,1714262399999,813595.17960000,551,4.79170000,456858.41390000,0
2024-04-28,98318.00000000,102584.00000000,97635.00000000,100452.00000000,7.84120000,1714348799999,785503.66670000,498,3.81890000,383585.92440000,0
2024-04-29,100452.00000000,100799.00000000,88856.00000000,92070.00000000,9.08680000,1714435199999,842289.62170000,1018,4.40940000,406931.05400000,0
2024-04-30,92339.00000000,92399.00000000,84710.00000000,87365.00000000,9.90030000,1714521599999,873763.46400000,1370,4.23080000,370815.82000000,0
