timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-06-01,0.01272000,0.01273000,0.01236000,0.01240000,603108639.00000000,1685663999999,7588915.15106000,2324,348257257.00000000,4383696.14994000,0
2023-06-02,0.01241000,0.01253000,0.01226000,0.01247000,306768787.00000000,1685750399999,3807134.07107000,1857,141134484.00000000,1753210.42395000,0
2023-06-03,0.01244000,0.01244000,0.01210000,0.01220000,216753888.00000000,1685836799999,2664530.96998000,1301,94336794.00000000,1161169.40314000,0
2023-06-04,0.01222000,0.01264000,0.01206000,0.01234000,492534776.00000000,1685923199999,6081927.40232000,1880,258492035.00000000,3193702.20634000,0
2023-06-05,0.01237000,0.01251000,0.01097000,0.01145000,400336594.00000000,1686009599999,4766409.20873000,2512,189753258.00000000,2265078.88150000,0
2023-06-06,0.01142000,0.01194000,0.01130000,0.01190000,360591591.00000000,1686095999999,4213031.97398000,1400,171796699.00000000,1997888.75351000,0
2023-06-07,0.01190000,0.01217000,0.01167000,0.01209000,514486924.00000000,1686182399999,6137918.36083000,2327,246582167.00000000,2945655.35109000,0
2023-06-08,0.01207000,0.01211000,0.01171000,0.01194000,380215259.00000000,1686268799999,4544166.50903000,1478,182090969.00000000,2177159.48126000,0
2023-06-09,0.01196000,0.01213000,0.01175000,0.01186000,513203019.00000000,1686355199999,6130097.09495000,1913,251614563.00000000,3011462.94263000,0
2023-06-10,0.01196000,0.01197000,0.00931000,0.01036000,666018571.00000000,1686441599999,6794425.67203000,2991,310952148.00000000,3149894.47153000,0
2023-06-11,0.01035000,0.01049000,0.01010000,0.01039000,358497790.00000000,1686527999999,3691145.39189000,1210,206873201.00000000,2131418.10928000,0
2023-06-12,0.01038000,0.01070000,0.01003000,0.01063000,465324480.00000000,1686614399999,4836050.35568000,1710,231104846.00000000,2401199.26967000,0
2023-06-13,0.01063000,0.01070000,0.01036000,0.01052000,428282287.00000000,1686700799999,4488891.66927000,1365,196343876.00000000,2057502.12571000,0
2023-06-14,0.01051000,0.01059000,0.00982000,0.01018000,449371384.00000000,1686787199999,4620508.15376000,1719,182786416.00000000,1881226.37657000,0
2023-06-15,0.01018000,0.01040000,0.00997000,0.01036000,373682951.00000000,1686873599999,3807781.07779000,1369,176366049.00000000,1798049.58365000,0
2023-06-16,0.01034000,0.01054000,0.01011000,0.01051000,469092142.00000000,1686959999999,4852384.15861000,1562,243955609.00000000,2520500.36653000,0
2023-06-17,0.01046000,0.01089000,0.01046000,0.01064000,301531490.00000000,1687046399999,3231961.01044000,925,158649873.00000000,1698408.08390000,0
2023-06-18,0.01063000,0.01115000,0.01050000,0.01075000,2111378951.00000000,1687132799999,22937848.04016000,5738,900652472.00000000,9753862.69245000,0
2023-06-19,0.01077000,0.01091000,0.01003000,0.01043000,1664242199.00000000,1687219199999,17487207.04422000,4060,824678278.00000000,8656833.15601000,0
2023-06-20,0.01042000,0.01107000,0.01030000,0.01074000,3569326882.00000000,1687305599999,38480652.16938000,11129,1718794375.00000000,18496414.93586000,0
2023-06-21,0.01073000,0.01126000,0.01070000,0.01111000,1368432977.00000000,1687391999999,15004035.46087000,4831,709231788.00000000,7783488.82751000,0
2023-06-22,0.01111000,0.01176000,0.01102000,0.01162000,1277756156.00000000,1687478399999,14575376.41560000,6107,629152527.00000000,7188615.49203000,0
2023-06-23,0.01162000,0.01259000,0.01162000,0.01236000,789762992.00000000,1687564799999,9590363.60127000,4178,390761439.00000000,4749023.15518000,0
2023-06-24,0.01237000,0.01267000,0.01204000,0.01241000,772276738.00000000,1687651199999,9612295.51022000,3655,369313898.00000000,4590552.88782000,0
2023-06-25,0.01241000,0.01286000,0.01234000,0.01262000,459881304.00000000,1687737599999,5835083.95578000,2003,228206159.00000000,2897092.23872000,0
2023-06-26,0.01261000,0.01279000,0.01224000,0.01257000,464039715.00000000,1687823999999,5817814.16115000,2239,201326709.00000000,2528239.00331000,0
2023-06-27,0.01259000,0.01294000,0.01242000,0.01289000,610465058.00000000,1687910399999,7770776.89989000,2720,298226209.00000000,3800614.89728000,0
2023-06-28,0.01291000,0.01291000,0.01190000,0.01214000,447231033.00000000,1687996799999,5543844.21941000,1772,183179870.00000000,2273977.79740000,0
2023-06-29,0.01214000,0.01244000,0.01212000,0.01231000,227823819.00000000,1688083199999,2804219.55182000,1093,114946630.00000000,1415385.32701000,0
2023-06-30,0.01235000,0.01296000,0.01200000,0.01284000,617832711.00000000,1688169599999,7839896.19494000,2651,332174824.00000000,4223398.77192000,0
