timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-01,4.44400000,4.44400000,3.85000000,4.01400000,6454669.00000000,1712015999999,26551490.63300000,4864,2870200.00000000,11808827.71600000,0
2024-04-02,4.03200000,4.30100000,3.55100000,3.64900000,6617737.00000000,1712102399999,25243017.89700000,5354,3159498.00000000,12111640.45600000,0
2024-04-03,3.64400000,3.69200000,3.42800000,3.52600000,6605783.00000000,1712188799999,23593304.00300000,5118,3259482.00000000,11639440.72800000,0
2024-04-04,3.52400000,3.69200000,3.39800000,3.66300000,3351274.00000000,1712275199999,12026197.12900000,2865,1599386.00000000,5732409.80000000,0
2024-04-05,3.66200000,3.68700000,3.46600000,3.62700000,1434890.00000000,1712361599999,5119549.03000000,2056,804578.00000000,2874148.57300000,0
2024-04-06,3.62000000,3.83700000,3.60200000,3.71600000,4567538.00000000,1712447999999,16992529.25200000,2550,2237107.00000000,8330442.28800000,0
2024-04-07,3.71000000,3.78300000,3.67600000,3.76600000,1973144.00000000,1712534399999,7360580.32300000,1367,924712.00000000,3452900.14000000,0
2024-04-08,3.77000000,3.86600000,3.62800000,3.84200000,2756610.00000000,1712620799999,10449041.57300000,2735,1296721.00000000,4906809.84900000,0
2024-04-09,3.84200000,3.84300000,3.53500000,3.70000000,3119892.00000000,1712707199999,11720694.70600000,3082,1784729.00000000,6708940.24600000,0
2024-04-10,3.69800000,3.74000000,3.45800000,3.68000000,675117.00000000,1712793599999,2442960.14500000,1105,241100.00000000,872911.73200000,0
2024-04-11,3.69100000,3.75800000,3.53000000,3.64400000,1469053.00000000,1712879999999,5329912.08300000,1446,551343.00000000,2003999.83100000,0
2024-04-12,3.65000000,3.66200000,3.05100000,3.12100000,1612673.00000000,1712966399999,5332353.63300000,2413,764997.00000000,2511296.77900000,0
2024-04-13,3.11600000,3.14200000,2.40100000,2.67400000,3390958.00000000,1713052799999,9357671.33600000,3411,1697538.00000000,4645110.35400000,0
2024-04-14,2.65500000,2.82700000,2.50100000,2.81900000,1037680.00000000,1713139199999,2788461.78000000,728,494217.00000000,1323808.46400000,0
2024-04-15,2.82800000,2.99400000,2.59000000,2.66400000,1230738.00000000,1713225599999,3426542.94400000,1017,617226.00000000,1721850.68100000,0
2024-04-16,2.66800000,3.10000000,2.64400000,2.78500000,18727363.00000000,1713311999999,53413427.98700000,8384,9245529.00000000,26052099.02500000,0
2024-04-17,2.77800000,2.77800000,2.54000000,2.62600000,3633269.00000000,1713398399999,9746853.48600000,1930,1710718.00000000,4547540.17000000,0
2024-04-18,2.62600000,2.74900000,2.54700000,2.70200000,2832201.00000000,1713484799999,7486323.04500000,1802,1381700.00000000,3654946.47700000,0
2024-04-19,2.70100000,2.75900000,2.47000000,2.71600000,1546306.00000000,1713571199999,4101409.15700000,1445,770574.00000000,2049199.36000000,0
2024-04-20,2.72400000,3.23900000,2.72300000,2.96100000,23575436.00000000,1713657599999,70887782.76200000,12452,11335718.00000000,34048125.41600000,0
2024-04-21,2.95600000,3.17700000,2.94100000,3.03600000,5234445.00000000,1713743999999,15989437.92200000,3866,2939787.00000000,8987517.93800000,0
2024-04-22,3.03600000,3.09500000,2.97600000,3.06800000,1855688.00000000,1713830399999,5638031.81400000,1737,915649.00000000,2786271.86700000,0
2024-04-23,3.06300000,3.06700000,2.93900000,2.98700000,818984.00000000,1713916799999,2447200.59200000,870,288933.00000000,862088.09200000,0
2024-04-24,2.99100000,3.00600000,2.79300000,2.81000000,866243.00000000,1714003199999,2526957.08100000,973,439900.00000000,1282340.01600000,0
2024-04-25,2.81100000,2.85000000,2.70500000,2.80600000,651564.00000000,1714089599999,1807052.29600000,827,376438.00000000,1043513.32500000,0
2024-04-26,2.82000000,3.10600000,2.80400000,2.95500000,15415180.00000000,1714175999999,45573449.65800000,8947,7101697.00000000,20961639.94100000,0
2024-04-27,2.94400000,2.94400000,2.70300000,2.88900000,2466353.00000000,1714262399999,6974812.26200000,1635,1462472.00000000,4135242.36500000,0
2024-04-28,2.88600000,2.91500000,2.79600000,2.81500000,1053679.00000000,1714348799999,3030930.33200000,692,348779.00000000,1001761.00000000,0
2024-04-29,2.82000000,2.82900000,2.67800000,2.75100000,589535.00000000,1714435199999,1614380.44200000,827,311796.00000000,858540.01600000,0
2024-04-30,2.74600000,2.75900000,2.49100000,2.55000000,626528.00000000,1714521599999,1617823.07300000,735,280734.00000000,724806.69200000,0
