timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-10-01,9.90000000,9.90000000,9.75000000,9.80000000,2931.94000000,1664668799999,28848.72460000,102,1818.49000000,17898.20910000,0
2022-10-02,9.82000000,9.89000000,9.55000000,9.65000000,3286.66000000,1664755199999,32001.98820000,107,1758.23000000,17187.35820000,0
2022-10-03,9.51000000,9.82000000,9.50000000,9.79000000,2534.10000000,1664841599999,24534.86740000,99,1089.78000000,10568.20870000,0
2022-10-04,9.81000000,10.05000000,9.77000000,9.99000000,2716.26000000,1664927999999,26968.90640000,89,1772.22000000,17594.86040000,0
2022-10-05,9.94000000,9.97000000,9.75000000,9.90000000,2982.62000000,1665014399999,29468.16240000,131,1495.45000000,14794.30710000,0
2022-10-06,9.93000000,10.02000000,9.85000000,9.89000000,2925.01000000,1665100799999,29080.09180000,119,1606.50000000,15972.50740000,0
2022-10-07,9.92000000,9.97000000,9.79000000,9.91000000,4078.13000000,1665187199999,40289.49560000,149,1649.06000000,16322.76940000,0
2022-10-08,9.93000000,10.03000000,9.87000000,9.92000000,4754.36000000,1665273599999,47449.51960000,91,3872.55000000,38665.87190000,0
2022-10-09,9.88000000,10.20000000,9.88000000,10.12000000,4144.72000000,1665359999999,41442.04590000,122,1433.81000000,14333.33860000,0
2022-10-10,10.18000000,10.26000000,9.92000000,9.94000000,4627.89000000,1665446399999,46835.97980000,158,1372.96000000,13907.88480000,0
2022-10-11,9.90000000,9.92000000,9.77000000,9.86000000,4348.53000000,1665532799999,42840.58740000,202,1719.70000000,16936.88980000,0
2022-10-12,9.86000000,9.95000000,9.77000000,9.82000000,3338.73000000,1665619199999,32976.73490000,117,1592.93000000,15763.49180000,0
2022-10-13,9.83000000,10.19000000,9.10000000,9.73000000,17796.79000000,1665705599999,168788.57750000,498,8123.13000000,77253.12200000,0
2022-10-14,9.70000000,9.92000000,9.70000000,9.76000000,4077.57000000,1665791999999,40089.63960000,116,1665.19000000,16363.37580000,0
2022-10-15,9.79000000,9.85000000,9.75000000,9.83000000,4635.41000000,1665878399999,45382.03500000,105,2331.51000000,22817.16950000,0
2022-10-16,9.81000000,10.04000000,9.81000000,9.96000000,2636.22000000,1665964799999,26126.93830000,96,1608.72000000,15948.69540000,0
2022-10-17,9.93000000,9.99000000,9.84000000,9.97000000,4327.76000000,1666051199999,42915.31540000,130,2093.36000000,20765.22640000,0
2022-10-18,9.94000000,9.99000000,9.69000000,9.78000000,5792.63000000,1666137599999,56971.97280000,166,2461.75000000,24231.10180000,0
2022-10-19,9.77000000,9.97000000,9.65000000,9.75000000,3027.51000000,1666223999999,29528.72710000,118,1817.22000000,17721.06630000,0
2022-10-20,9.72000000,9.82000000,9.30000000,9.40000000,5186.40000000,1666310399999,49945.97870000,205,2059.54000000,19950.94490000,0
2022-10-21,9.38000000,9.41000000,9.12000000,9.13000000,8952.64000000,1666396799999,82628.75390000,245,3636.91000000,33615.18530000,0
2022-10-22,9.17000000,9.23000000,9.08000000,9.21000000,5378.95000000,1666483199999,49213.85470000,134,3605.91000000,33042.03510000,0
2022-10-23,9.22000000,9.36000000,9.05000000,9.36000000,4801.96000000,1666569599999,44135.70690000,171,2729.10000000,25166.01110000,0
2022-10-24,9.37000000,9.42000000,9.22000000,9.37000000,3316.31000000,1666655999999,30852.69210000,110,1707.30000000,15903.57610000,0
2022-10-25,9.35000000,10.29000000,9.35000000,10.09000000,8152.06000000,1666742399999,79529.15260000,245,4435.45000000,43536.84700000,0
2022-10-26,10.10000000,10.47000000,9.90000000,9.97000000,6380.22000000,1666828799999,64697.22390000,179,4751.24000000,48289.16160000,0
2022-10-27,9.95000000,10.21000000,9.73000000,9.82000000,4492.33000000,1666915199999,44888.80150000,158,1777.91000000,17884.36650000,0
2022-10-28,9.85000000,10.27000000,9.80000000,10.16000000,2139.41000000,1667001599999,21309.30580000,87,1255.46000000,12532.22610000,0
2022-10-29,10.16000000,10.54000000,10.14000000,10.36000000,4558.89000000,1667087999999,47054.75000000,176,2527.28000000,26078.60310000,0
2022-10-30,10.30000000,10.52000000,10.16000000,10.33000000,3533.13000000,1667174399999,36423.90780000,120,1467.48000000,15146.16420000,0
2022-10-31,10.36000000,10.65000000,10.28000000,10.35000000,6093.04000000,1667260799999,63645.70440000,175,3622.83000000,37743.77680000,0
