timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-07-01,9.05000000,9.29000000,8.72000000,8.99000000,61073.36000000,1656719999999,546696.36930000,335,31404.85000000,280609.55220000,0
2022-07-02,8.84000000,9.19000000,8.64000000,9.11000000,46670.59000000,1656806399999,417316.74780000,306,22214.84000000,198503.25050000,0
2022-07-03,9.01000000,9.13000000,8.78000000,9.10000000,37588.17000000,1656892799999,337571.82830000,177,20549.75000000,184859.91770000,0
2022-07-04,9.08000000,9.36000000,8.85000000,9.35000000,54831.46000000,1656979199999,498011.96690000,330,25568.69000000,231734.05140000,0
2022-07-05,9.32000000,9.52000000,8.93000000,9.28000000,49492.55000000,1657065599999,453306.02780000,301,24678.70000000,226216.59640000,0
2022-07-06,9.31000000,9.43000000,9.09000000,9.43000000,67243.90000000,1657151999999,620200.24420000,267,33067.65000000,305046.17950000,0
2022-07-07,9.40000000,9.83000000,9.29000000,9.61000000,70104.88000000,1657238399999,666170.33470000,397,37724.18000000,358685.12520000,0
2022-07-08,9.68000000,9.99000000,9.21000000,9.21000000,141928.19000000,1657324799999,1349102.35160000,546,68840.73000000,654295.77060000,0
2022-07-09,9.26000000,9.60000000,9.26000000,9.49000000,61300.66000000,1657411199999,575452.64620000,279,29820.15000000,279815.89870000,0
2022-07-10,9.44000000,9.44000000,8.95000000,9.02000000,59256.44000000,1657497599999,547656.21300000,298,29937.10000000,276188.35120000,0
2022-07-11,9.02000000,9.52000000,8.86000000,8.95000000,65653.65000000,1657583999999,602492.07900000,292,30480.66000000,279440.06980000,0
2022-07-12,8.96000000,9.25000000,8.78000000,8.82000000,50189.87000000,1657670399999,456992.38580000,287,24139.16000000,220087.28690000,0
2022-07-13,8.81000000,9.10600000,8.48900000,9.10600000,19416.75000000,1657756799999,171230.35402000,198,12339.24000000,109078.40665000,0
2022-07-14,9.19700000,9.43000000,8.93000000,9.31700000,34542.10000000,1657843199999,314347.99878000,248,15297.46000000,139398.80867000,0
2022-07-15,9.24300000,9.49000000,9.01400000,9.30800000,22564.49000000,1657929599999,207695.76647000,206,10001.44000000,92092.60609000,0
2022-07-16,9.26600000,9.73400000,9.05200000,9.73400000,11046.78000000,1658015999999,104561.10448000,148,8262.46000000,78854.55308000,0
2022-07-17,9.72900000,9.91700000,9.32800000,9.34900000,12520.53000000,1658102399999,120395.03234000,150,5214.76000000,50186.18428000,0
2022-07-18,9.30600000,10.41400000,9.29700000,10.38600000,15601.56000000,1658188799999,156734.00069000,319,9924.99000000,99425.21985000,0
2022-07-19,10.23700000,10.69800000,9.85300000,10.50600000,12148.43000000,1658275199999,125078.65556000,338,5697.93000000,58865.22081000,0
2022-07-20,10.52900000,10.96900000,9.94100000,10.02700000,10983.71000000,1658361599999,115937.09106000,302,4900.42000000,51915.44602000,0
2022-07-21,9.92000000,10.18900000,9.64700000,10.10500000,6386.05000000,1658447999999,63454.59827000,179,2653.11000000,26406.96150000,0
2022-07-22,10.07100000,10.52000000,9.72300000,9.84200000,6604.66000000,1658534399999,67030.07018000,253,2601.13000000,26464.08587000,0
2022-07-23,9.81000000,10.13400000,9.55800000,9.93000000,3727.59000000,1658620799999,36929.57672000,103,1124.13000000,11073.82846000,0
2022-07-24,9.97400000,10.45200000,9.89800000,10.29500000,4177.25000000,1658707199999,42500.98110000,107,2361.70000000,24061.05781000,0
2022-07-25,10.11700000,10.11700000,9.26400000,9.27100000,7547.64000000,1658793599999,73291.01087000,210,2360.38000000,23054.13207000,0
2022-07-26,9.21800000,9.27700000,8.78100000,9.08200000,4909.25000000,1658879999999,44668.61780000,164,2474.56000000,22555.32821000,0
2022-07-27,9.08200000,9.82000000,8.97700000,9.82000000,5669.44000000,1658966399999,53409.41866000,178,3122.60000000,29407.83416000,0
2022-07-28,9.85600000,10.40300000,9.62700000,10.32100000,7637.36000000,1659052799999,76196.63503000,232,3812.09000000,38044.27930000,0
2022-07-29,10.36600000,11.62000000,10.17100000,11.26000000,16733.45000000,1659139199999,185020.30475000,575,8425.70000000,93433.21718000,0
2022-07-30,11.36100000,11.75000000,10.98300000,11.18800000,8635.06000000,1659225599999,97586.94341000,307,4006.82000000,45265.95760000,0
2022-07-31,11.17200000,11.55500000,10.95300000,11.02400000,6216.85000000,1659311999999,69802.43855000,195,3515.86000000,39577.27998000,0
