timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-02-01,5.79100000,5.85600000,5.47000000,5.56130000,44038.00000000,1643759999999,249062.08650000,613,23554.00000000,134082.26890000,0
2022-02-02,5.59120000,5.63290000,5.11370000,5.17260000,43230.00000000,1643846399999,235262.58650000,759,20248.00000000,110474.45890000,0
2022-02-03,5.14740000,5.20050000,4.91150000,5.11940000,44837.00000000,1643932799999,226964.47180000,768,22810.00000000,115463.22690000,0
2022-02-04,5.12890000,5.68880000,5.08590000,5.68350000,48566.00000000,1644019199999,260528.21700000,732,23045.00000000,124345.32810000,0
2022-02-05,5.67640000,6.38230000,5.61650000,6.16900000,92030.00000000,1644105599999,563064.38920000,1520,49834.00000000,305882.28600000,0
2022-02-06,6.17080000,6.65900000,6.16530000,6.54880000,48280.00000000,1644191999999,312748.22090000,1060,27190.00000000,176650.57500000,0
2022-02-07,6.58490000,6.84270000,6.41260000,6.56590000,72185.00000000,1644278399999,477430.32740000,2894,43252.00000000,286908.14450000,0
2022-02-08,6.57530000,6.77150000,6.04030000,6.74220000,137835.00000000,1644364799999,880834.90440000,8165,101958.00000000,653477.95050000,0
2022-02-09,6.74870000,6.82760000,6.32450000,6.54950000,146539.00000000,1644451199999,957281.72710000,11207,123967.00000000,810079.47900000,0
2022-02-10,6.56500000,6.62720000,6.10000000,6.13180000,97936.00000000,1644537599999,629039.66300000,6063,71612.00000000,461204.99070000,0
2022-02-11,6.15970000,6.36100000,5.70000000,5.90790000,52407.00000000,1644623999999,318994.82320000,1858,27329.00000000,167960.97070000,0
2022-02-12,5.88970000,6.16840000,5.76470000,5.90050000,48684.00000000,1644710399999,292988.31070000,754,15109.00000000,90663.78100000,0
2022-02-13,5.90050000,6.07170000,5.55550000,5.71290000,20075.00000000,1644796799999,117069.14280000,425,6509.00000000,38053.67490000,0
2022-02-14,5.70400000,5.73850000,5.45400000,5.65120000,33497.00000000,1644883199999,185869.84900000,725,15750.00000000,87527.55790000,0
2022-02-15,5.65160000,6.20920000,5.61210000,6.15780000,58268.00000000,1644969599999,343736.72970000,956,34730.00000000,205228.46180000,0
2022-02-16,6.17500000,6.24110000,5.67030000,5.79590000,59562.00000000,1645055999999,354456.44550000,1277,37521.00000000,224040.38130000,0
2022-02-17,5.82270000,5.91530000,5.15000000,5.22050000,66848.00000000,1645142399999,367921.60370000,2245,31252.00000000,173028.90760000,0
2022-02-18,5.21480000,5.35690000,4.96860000,5.02630000,93215.00000000,1645228799999,478035.46660000,1809,26083.00000000,135520.32410000,0
2022-02-19,5.04080000,5.09720000,4.75640000,4.87870000,39202.00000000,1645315199999,193408.56730000,503,17362.00000000,85911.23310000,0
2022-02-20,4.87890000,4.87890000,4.40050000,4.46030000,44479.00000000,1645401599999,203094.57450000,704,18775.00000000,85728.56730000,0
2022-02-21,4.45780000,4.74530000,4.01960000,4.04660000,67505.00000000,1645487999999,296338.43170000,1480,32887.00000000,145148.79040000,0
2022-02-22,4.04770000,4.46850000,3.92700000,4.39370000,91198.00000000,1645574399999,381361.13390000,1702,50601.00000000,213202.78360000,0
2022-02-23,4.38880000,4.54990000,4.11360000,4.13370000,82222.00000000,1645660799999,362150.64290000,1660,42068.00000000,184950.50610000,0
2022-02-24,4.13000000,4.32280000,3.66420000,4.22500000,132884.00000000,1645747199999,517174.35310000,2313,57319.00000000,223770.29450000,0
2022-02-25,4.22500000,4.44440000,4.05170000,4.38620000,46762.00000000,1645833599999,198193.72930000,1331,29936.00000000,126792.39190000,0
2022-02-26,4.40750000,4.53280000,4.24560000,4.29290000,30779.00000000,1645919999999,134476.07200000,393,15515.00000000,67823.67710000,0
2022-02-27,4.27870000,4.35050000,3.97370000,4.03450000,33655.00000000,1646006399999,138911.40520000,630,18083.00000000,74768.97100000,0
2022-02-28,4.00620000,4.44330000,3.93440000,4.41870000,35402.00000000,1646092799999,147952.67480000,662,20329.00000000,85421.42250000,0
